Date, data
1668184500000,0
1668184800000,0
1668185100000,0
1668185400000,0
1668185700000,0
1668186000000,0
1668186300000,0
1668186600000,0
1668186900000,0
1668187200000,0
1668187500000,0
1668187800000,0
1668188100000,0
1668188400000,0
1668188700000,0
1668189000000,0
1668189300000,0
1668189600000,0
1668189900000,0
1668190200000,0
1668190500000,0
1668190800000,0.12
1668191100000,28.29
1668191400000,47.52
1668191700000,81.15
1668192000000,120.96
1668192300000,342.78
1668192600000,532.01
1668192900000,671.4
1668193200000,1194.62
1668193500000,1634.52
1668193800000,1717.65
1668194100000,1923.84
1668194400000,1669.73
1668194700000,1281.48
1668195000000,1047.13
1668195300000,1132.44
1668195600000,1024.01
1668195900000,626.52
1668196200000,844.74
1668196500000,1233.48
1668196800000,1346.45
1668197100000,2355.84
1668197400000,3054.82
1668197700000,1833.36
1668198000000,880.13
1668198300000,1251.12
1668198600000,2466.18
1668198900000,3392.64
1668199200000,2933.58
1668199500000,2821.35
1668199800000,3006.96
1668200100000,3308.51
1668200400000,3965.28
1668200700000,2739.37
1668201000000,3289.08
1668201300000,4689.51
1668201600000,2859.12
1668201900000,3013.77
1668202200000,2311.2
1668202500000,2435.48
1668202800000,2416.2
1668203100000,2938.88
1668203400000,2283
1668203700000,2145.43
1668204000000,3261.24
1668204300000,3806.49
1668204600000,2771.04
1668204900000,2145.43
1668205200000,2364.72
1668205500000,2824.37
1668205800000,2960.58
1668206100000,3836.64
1668206400000,4290.38
1668206700000,3787.08
1668207000000,4377.67
1668207300000,5386.68
1668207600000,6524.07
1668207900000,7272.6
1668208200000,5760.36
1668208500000,5546.76
1668208800000,5659.71
1668209100000,6059.52
1668209400000,4665.19
1668209700000,3380.88
1668210000000,3315.37
1668210300000,3804.96
1668210600000,4200.32
1668210900000,3630
1668211200000,3369.31
1668211500000,3773.44
1668211800000,3739.32
1668212100000,3692.83
1668212400000,4279.08
1668212700000,5057.1
1668213000000,6215.16
1668213300000,5671.99
1668213600000,5657.4
1668213900000,4463.52
1668214200000,4667.88
1668214500000,5383.51
1668214800000,6292.49
1668215100000,7428.96
1668215400000,7675.34
1668215700000,9503.52
1668216000000,12875.84
1668216300000,11617.2
1668216600000,13572.36
1668216900000,14419.92
1668217200000,12929.54
1668217500000,12433.68
1668217800000,12036.04
1668218100000,13822.32
1668218400000,13337.7
1668218700000,7905.6
1668219000000,9945.39
1668219300000,10719
1668219600000,11279.44
1668219900000,10120.44
1668220200000,13418.61
1668220500000,13634.23
1668220800000,13279.2
1668221100000,14230.96
1668221400000,14493
1668221700000,7353.27
1668222000000,6312.96
1668222300000,9179.04
1668222600000,10117.08
1668222900000,10430.13
1668223200000,9033.36
1668223500000,11377.32
1668223800000,12080.28
1668224100000,12044.83
1668224400000,11292.48
1668224700000,10672.25
1668225000000,8155.56
1668225300000,9062.73
1668225600000,3936.6
1668225900000,4300.01
1668226200000,4250.64
1668226500000,6645.07
1668226800000,6246.48
1668227100000,7010.97
1668227400000,4937.4
1668227700000,4918.64
1668228000000,4817.44
1668228300000,2942.76
1668228600000,2872.05
1668228900000,2815.56
1668229200000,2075
1668229500000,2237.52
1668229800000,1516.21
1668230100000,1188.84
1668230400000,1112.75
1668230700000,1125.24
1668231000000,1067.6
1668231300000,1278.96
1668231600000,1034.01
1668231900000,789
1668232200000,674.01
1668232500000,647.64
1668232800000,545.18
1668233100000,512.76
1668233400000,528.08
1668233700000,565.92
1668234000000,561.31
1668234300000,571.11
1668234600000,484.68
1668234900000,296.07
1668235200000,201
1668235500000,156.16
1668235800000,113.52
1668236100000,93.07
1668236400000,65.4
1668236700000,47.68
1668237000000,28.56
1668237300000,10.47
1668237600000,0.24
1668237900000,0
1668238200000,0
1668238500000,0
1668238800000,0
1668239100000,0
1668239400000,0
1668239700000,0
1668240000000,0
1668240300000,null
1668240600000,null
1668240900000,null
1668241200000,null
1668241500000,null
1668241800000,null
1668242100000,null
1668242400000,null
1668242700000,null
1668243000000,null
1668243300000,null
1668243600000,null
1668243900000,null
1668244200000,null
1668244500000,null
1668244800000,null
1668245100000,null
1668245400000,0
1668245700000,null
1668246000000,null
1668246300000,null
1668246600000,null
1668246900000,null
1668247200000,null
1668247500000,null
1668247800000,null
1668248100000,null
1668248400000,null
1668248700000,null
1668249000000,null
1668249300000,null
1668249600000,null
1668249900000,null
1668250200000,null
1668250500000,0
