Date, data
1658424300000,0
1658424600000,null
1658424900000,null
1658425200000,null
1658425500000,null
1658425800000,null
1658426100000,null
1658426400000,null
1658426700000,null
1658427000000,null
1658427300000,null
1658427600000,null
1658427900000,null
1658428200000,null
1658428500000,null
1658428800000,null
1658429100000,null
1658429400000,null
1658429700000,null
1658430000000,0
1658430300000,0
1658430600000,0
1658430900000,0
1658431200000,0
1658431500000,0
1658431800000,0
1658432100000,0
1658432400000,0.24
1658432700000,16.74
1658433000000,47.16
1658433300000,80.43
1658433600000,117
1658433900000,154.11
1658434200000,189.48
1658434500000,220.82
1658434800000,251.28
1658435100000,278.28
1658435400000,333.15
1658435700000,576.6
1658436000000,629.46
1658436300000,704.52
1658436600000,782.73
1658436900000,874.68
1658437200000,923.48
1658437500000,1050.12
1658437800000,1145.98
1658438100000,1298.28
1658438400000,1483.83
1658438700000,1624.92
1658439000000,1735.95
1658439300000,1876.08
1658439600000,1930.03
1658439900000,2061.96
1658440200000,2127.13
1658440500000,2331.72
1658440800000,2598.98
1658441100000,2813.64
1658441400000,2951.4
1658441700000,3190.2
1658442000000,3503.56
1658442300000,3804.72
1658442600000,4098.58
1658442900000,4412.64
1658443200000,4634.37
1658443500000,4804.09
1658443800000,4962
1658444100000,5133.07
1658444400000,5265.36
1658444700000,5411.56
1658445000000,5520.24
1658445300000,5650.68
1658445600000,5795.64
1658445900000,5936.39
1658446200000,6051.6
1658446500000,6176.35
1658446800000,6241.68
1658447100000,6362.01
1658447400000,6455.52
1658447700000,6561.27
1658448000000,6636.6
1658448300000,6720.44
1658448600000,6766.44
1658448900000,6846.62
1658449200000,6917.76
1658449500000,6970.39
1658449800000,7039.92
1658450100000,7050.22
1658450400000,7103.28
1658450700000,7113.55
1658451000000,7152.44
1658451300000,7149.6
1658451600000,7161.47
1658451900000,7149.24
1658452200000,7160.27
1658452500000,7145.88
1658452800000,7151.24
1658453100000,7091.16
1658453400000,7072.25
1658453700000,7025.28
1658454000000,6997.12
1658454300000,6952.92
1658454600000,6911.76
1658454900000,6841.91
1658455200000,6786
1658455500000,6671.8
1658455800000,6558
1658456100000,6380.79
1658456400000,6219
1658456700000,6123.49
1658457000000,5987.4
1658457300000,5895.93
1658457600000,5858.52
1658457900000,5757.35
1658458200000,5676.72
1658458500000,5614.68
1658458800000,5460
1658459100000,5337.15
1658459400000,5187.48
1658459700000,5044.33
1658460000000,4874.04
1658460300000,4714.92
1658460600000,4526.76
1658460900000,4349.38
1658461200000,4164.6
1658461500000,3992.27
1658461800000,3800.28
1658462100000,3595.06
1658462400000,3355.32
1658462700000,3107.2
1658463000000,2865.1
1658463300000,2690.76
1658463600000,2520.84
1658463900000,2331.48
1658464200000,2169.75
1658464500000,1958.88
1658464800000,1606.27
1658465100000,1287.24
1658465400000,904.7
1658465700000,462.72
1658466000000,308.47
1658466300000,310.08
1658466600000,182.89
1658466900000,125.04
1658467200000,88.86
1658467500000,51.12
1658467800000,15.77
1658468100000,0.24
1658468400000,0
1658468700000,0
1658469000000,0
1658469300000,0
1658469600000,0
1658469900000,0
1658470200000,0
1658470500000,0
1658470800000,0
1658471100000,null
1658471400000,null
1658471700000,null
1658472000000,null
1658472300000,null
1658472600000,null
1658472900000,null
1658473200000,null
1658473500000,null
1658473800000,null
1658474100000,null
1658474400000,null
1658474700000,null
1658475000000,null
1658475300000,null
1658475600000,0
