Date, data
1683393900000,0
1683394200000,null
1683394500000,null
1683394800000,null
1683395100000,null
1683395400000,null
1683395700000,null
1683396000000,null
1683396300000,null
1683396600000,null
1683396900000,null
1683397200000,null
1683397500000,null
1683397800000,null
1683398100000,null
1683398400000,null
1683398700000,null
1683399000000,null
1683399300000,null
1683399600000,0
1683399900000,0
1683400200000,0
1683400500000,0
1683400800000,0
1683401100000,0
1683401400000,0
1683401700000,0
1683402000000,0
1683402300000,14.09
1683402600000,43.15
1683402900000,46.56
1683403200000,76.09
1683403500000,134.76
1683403800000,249.23
1683404100000,290.4
1683404400000,227.56
1683404700000,336.12
1683405000000,783.45
1683405300000,873.96
1683405600000,908.19
1683405900000,921.72
1683406200000,937.93
1683406500000,912.6
1683406800000,618.62
1683407100000,504.96
1683407400000,597.67
1683407700000,873.6
1683408000000,1415.68
1683408300000,1675.08
1683408600000,1221.95
1683408900000,1179.36
1683409200000,1099.02
1683409500000,902.76
1683409800000,972.12
1683410100000,1107.54
1683410400000,1106.28
1683410700000,1073.98
1683411000000,1058.04
1683411300000,1075.06
1683411600000,997.2
1683411900000,1280.95
1683412200000,1287.36
1683412500000,1187.28
1683412800000,1081.32
1683413100000,1160.43
1683413400000,1278
1683413700000,1407.97
1683414000000,1378.8
1683414300000,1001.62
1683414600000,912.6
1683414900000,1084.7
1683415200000,1313.4
1683415500000,1489.48
1683415800000,1538.16
1683416100000,1406.29
1683416400000,1259.52
1683416700000,1335.85
1683417000000,1258.69
1683417300000,1488.96
1683417600000,1874.17
1683417900000,2130.84
1683418200000,2332.41
1683418500000,2396.16
1683418800000,2337.83
1683419100000,1723.68
1683419400000,1139.48
1683419700000,1230.6
1683420000000,1452.76
1683420300000,1829.76
1683420600000,2117.26
1683420900000,2044.44
1683421200000,1984.58
1683421500000,2080.68
1683421800000,2150.01
1683422100000,1665.48
1683422400000,1676.71
1683422700000,1654.56
1683423000000,1390.03
1683423300000,1408.41
1683423600000,1519.92
1683423900000,1639.75
1683424200000,1309.92
1683424500000,1304.91
1683424800000,1523.28
1683425100000,1881.87
1683425400000,2202.6
1683425700000,2669.42
1683426000000,2937.72
1683426300000,2747.56
1683426600000,2581.08
1683426900000,2459.44
1683427200000,2322.24
1683427500000,2192.99
1683427800000,1975.68
1683428100000,1688.39
1683428400000,1641.36
1683428700000,1709.7
1683429000000,1672.81
1683429300000,1612.68
1683429600000,1340.55
1683429900000,1062.84
1683430200000,935.4
1683430500000,1055.4
1683430800000,942.86
1683431100000,802.08
1683431400000,593.22
1683431700000,555.84
1683432000000,537.35
1683432300000,543.6
1683432600000,549.03
1683432900000,517.92
1683433200000,485.34
1683433500000,426.84
1683433800000,336.88
1683434100000,283.08
1683434400000,258.74
1683434700000,235.44
1683435000000,234.18
1683435300000,237.84
1683435600000,215.4
1683435900000,126.95
1683436200000,52.56
1683436500000,31.18
1683436800000,27.72
1683437100000,29.5
1683437400000,21
1683437700000,0
1683438000000,0
1683438300000,0
1683438600000,0
1683438900000,0
1683439200000,0
1683439500000,null
1683439800000,null
1683440100000,null
1683440400000,null
1683440700000,null
1683441000000,null
1683441300000,null
1683441600000,null
1683441900000,null
1683442200000,null
1683442500000,null
1683442800000,null
1683443100000,null
1683443400000,null
1683443700000,null
1683444000000,null
1683444300000,null
1683444600000,0
1683444900000,null
1683445200000,null
1683445500000,null
1683445800000,null
1683446100000,null
1683446400000,null
1683446700000,null
1683447000000,null
1683447300000,null
1683447600000,null
1683447900000,null
1683448200000,null
1683448500000,null
1683448800000,null
1683449100000,null
1683449400000,null
1683449700000,0
