Date, data
1670169900000,0
1670170200000,0
1670170500000,0
1670170800000,0
1670171100000,0
1670171400000,0
1670171700000,0
1670172000000,0
1670172300000,0.36
1670172600000,4.44
1670172900000,41.78
1670173200000,67.56
1670173500000,98.01
1670173800000,126.24
1670174100000,160.01
1670174400000,191.64
1670174700000,223.1
1670175000000,401.4
1670175300000,599.36
1670175600000,719.16
1670175900000,845.58
1670176200000,983.64
1670176500000,1124.91
1670176800000,1278.48
1670177100000,1434.6
1670177400000,1598.81
1670177700000,1769.88
1670178000000,1951.95
1670178300000,2120.88
1670178600000,2320.49
1670178900000,2502.48
1670179200000,2695.91
1670179500000,2875.56
1670179800000,3072.88
1670180100000,3253.44
1670180400000,3446.25
1670180700000,3621.72
1670181000000,3823.22
1670181300000,4003.44
1670181600000,4194.9
1670181900000,4369.44
1670182200000,4582.47
1670182500000,4788.72
1670182800000,5025.91
1670183100000,5244.44
1670183400000,5492.88
1670183700000,5708.47
1670184000000,5940.96
1670184300000,6152.63
1670184600000,6333.48
1670184900000,6540.44
1670185200000,6724.92
1670185500000,6938.49
1670185800000,7148.04
1670186100000,7373.5
1670186400000,7569.84
1670186700000,7791.89
1670187000000,7996.68
1670187300000,8219.08
1670187600000,8362.2
1670187900000,8594.97
1670188200000,8779.8
1670188500000,9053.58
1670188800000,9245.16
1670189100000,9438.86
1670189400000,9623.88
1670189700000,9807.77
1670190000000,9950.16
1670190300000,10196.43
1670190600000,10342.25
1670190900000,10492.08
1670191200000,10631.92
1670191500000,10824
1670191800000,10951.83
1670192100000,11136.24
1670192400000,11222.97
1670192700000,11302.56
1670193000000,11405.62
1670193300000,11574.72
1670193600000,11647.87
1670193900000,11813.16
1670194200000,11888.31
1670194500000,11998.8
1670194800000,12136.58
1670195100000,12239.88
1670195400000,12498.86
1670195700000,12763.32
1670196000000,12949.77
1670196300000,13002.48
1670196600000,13090.27
1670196900000,13164.91
1670197200000,13329.96
1670197500000,13389.23
1670197800000,13410.96
1670198100000,13447.87
1670198400000,13478.28
1670198700000,13509.99
1670199000000,13592.52
1670199300000,13631.96
1670199600000,13720.56
1670199900000,13714.19
1670200200000,13777.44
1670200500000,13745.62
1670200800000,13767.12
1670201100000,13766.09
1670201400000,13769.4
1670201700000,13759.08
1670202000000,13827.37
1670202300000,13827.96
1670202600000,13846.64
1670202900000,13718.52
1670203200000,13749.35
1670203500000,13681.8
1670203800000,13687.95
1670204100000,13655.28
1670204400000,13552.98
1670204700000,13514.88
1670205000000,13326.5
1670205300000,13254
1670205600000,13169.98
1670205900000,13121.88
1670206200000,13022.73
1670206500000,12966
1670206800000,12870.42
1670207100000,12819.34
1670207400000,12664.08
1670207700000,12577
1670208000000,12486.96
1670208300000,12416.51
1670208600000,12287.76
1670208900000,12174.26
1670209200000,12019.32
1670209500000,11932.49
1670209800000,11748.36
1670210100000,11647.87
1670210400000,11437.56
1670210700000,11292.08
1670211000000,11113.68
1670211300000,10950.5
1670211600000,10763.76
1670211900000,10594.35
1670212200000,10365.36
1670212500000,10194.14
1670212800000,9992.52
1670213100000,9823.79
1670213400000,9622.8
1670213700000,9404.91
1670214000000,9203.72
1670214300000,8947.32
1670214600000,8767.26
1670214900000,8536.8
1670215200000,8326.23
1670215500000,8079.24
1670215800000,7861.36
1670216100000,7621.2
1670216400000,7390.47
1670216700000,7151.52
1670217000000,6907.06
1670217300000,6604.8
1670217600000,6368.39
1670217900000,6120.48
1670218200000,5879.44
1670218500000,5625.36
1670218800000,5372.31
1670219100000,5098.68
1670219400000,4857.47
1670219700000,4595.13
1670220000000,4331.4
1670220300000,4058.25
1670220600000,3817.56
1670220900000,3561.47
1670221200000,3312.96
1670221500000,3040.13
1670221800000,2819.28
1670222100000,2583.45
1670222400000,2362.32
1670222700000,2130.26
1670223000000,1926.24
1670223300000,1727.64
1670223600000,1483.32
1670223900000,1242.78
1670224200000,984.6
1670224500000,673.77
1670224800000,529.56
1670225100000,345.79
1670225400000,203.84
1670225700000,148.56
1670226000000,100.05
1670226300000,61.68
1670226600000,32.51
1670226900000,5.16
1670227200000,0.12
1670227500000,0
1670227800000,0
1670228100000,0
1670228400000,0
1670228700000,0
1670229000000,0
1670229300000,0
1670229600000,0
1670229900000,null
1670230200000,null
1670230500000,null
1670230800000,null
1670231100000,null
1670231400000,null
1670231700000,null
1670232000000,null
1670232300000,null
1670232600000,null
1670232900000,null
1670233200000,null
1670233500000,null
1670233800000,null
1670234100000,null
1670234400000,0
