Date, data
1656768900000,0
1656769200000,null
1656769500000,null
1656769800000,null
1656770100000,null
1656770400000,null
1656770700000,null
1656771000000,null
1656771300000,null
1656771600000,null
1656771900000,null
1656772200000,null
1656772500000,null
1656772800000,null
1656773100000,null
1656773400000,null
1656773700000,null
1656774000000,null
1656774300000,null
1656774600000,null
1656774900000,null
1656775200000,null
1656775500000,null
1656775800000,null
1656776100000,null
1656776400000,null
1656776700000,null
1656777000000,null
1656777300000,null
1656777600000,null
1656777900000,null
1656778200000,null
1656778500000,null
1656778800000,0
1656779100000,null
1656779400000,null
1656779700000,null
1656780000000,null
1656780300000,null
1656780600000,null
1656780900000,null
1656781200000,null
1656781500000,null
1656781800000,null
1656782100000,null
1656782400000,null
1656782700000,null
1656783000000,null
1656783300000,null
1656783600000,null
1656783900000,null
1656784200000,null
1656784500000,null
1656784800000,null
1656785100000,null
1656785400000,null
1656785700000,null
1656786000000,null
1656786300000,null
1656786600000,null
1656786900000,null
1656787200000,null
1656787500000,null
1656787800000,null
1656788100000,null
1656788400000,null
1656788700000,0
1656789000000,0
1656789300000,0
1656789600000,0
1656789900000,0
1656790200000,0
1656790500000,0
1656790800000,0
1656791100000,0
1656791400000,0.36
1656791700000,17.58
1656792000000,53.05
1656792300000,82.32
1656792600000,116.55
1656792900000,148.32
1656793200000,182.77
1656793500000,211.32
1656793800000,238.39
1656794100000,263.64
1656794400000,363.85
1656794700000,466.68
1656795000000,529.4
1656795300000,618.72
1656795600000,655.22
1656795900000,762.84
1656796200000,914.33
1656796500000,1067.76
1656796800000,1160.91
1656797100000,1178.52
1656797400000,1245.79
1656797700000,1263.24
1656798000000,1309.73
1656798300000,1371.96
1656798600000,1564.98
1656798900000,1754.82
1656799200000,1861.2
1656799500000,2049.11
1656799800000,2220.96
1656800100000,2429.34
1656800400000,2680.92
1656800700000,2982.58
1656801000000,3282.6
1656801300000,3547.75
1656801600000,3770.88
1656801900000,4074.74
1656802200000,4297.2
1656802500000,4444.37
1656802800000,4610.76
1656803100000,4749.95
1656803400000,4808.52
1656803700000,4953.67
1656804000000,5095.8
1656804300000,5238.54
1656804600000,5355.48
1656804900000,5469.95
1656805200000,5555.88
1656805500000,5651.52
1656805800000,5733.89
1656806100000,5818.2
1656806400000,5883.29
1656806700000,5944.8
1656807000000,6002.37
1656807300000,6058.8
1656807600000,6147.81
1656807900000,6205.44
1656808200000,6285.91
1656808500000,6307.08
1656808800000,6357.91
1656809100000,6364.44
1656809400000,6386.69
1656809700000,6386.88
1656810000000,6427.75
1656810300000,6403.56
1656810600000,6397.53
1656810900000,6377.76
1656811200000,6370.31
1656811500000,6335.52
1656811800000,6311.56
1656812100000,6264.48
1656812400000,6234.26
1656812700000,6167.32
1656813000000,6077.64
1656813300000,5949.15
1656813600000,5811
1656813900000,5658.5
1656814200000,5531.4
1656814500000,5357.14
1656814800000,5205.36
1656815100000,4997.74
1656815400000,4847.28
1656815700000,4696.49
1656816000000,4673.16
1656816300000,4608.48
1656816600000,4611.58
1656816900000,4571.52
1656817200000,4513.73
1656817500000,4406.76
1656817800000,4319.28
1656818100000,4201.2
1656818400000,4012.25
1656818700000,3899.28
1656819000000,3716.55
1656819300000,3540.48
1656819600000,3331.14
1656819900000,3098.88
1656820200000,2814.14
1656820500000,2544.24
1656820800000,2281.73
1656821100000,2088.48
1656821400000,1960.98
1656821700000,1802.16
1656822000000,1550.29
1656822300000,1159.8
1656822600000,853.28
1656822900000,724.32
1656823200000,553.61
1656823500000,445.11
1656823800000,269.52
1656824100000,161.46
1656824400000,122.76
1656824700000,88.13
1656825000000,56.76
1656825300000,29.98
1656825600000,2.16
1656825900000,0
1656826200000,0
1656826500000,0
1656826800000,0
1656827100000,0
1656827400000,0
1656827700000,0
1656828000000,0
1656828300000,0
1656828600000,null
1656828900000,null
1656829200000,null
1656829500000,null
1656829800000,null
1656830100000,null
1656830400000,null
1656830700000,null
1656831000000,null
1656831300000,null
1656831600000,null
1656831900000,null
1656832200000,null
1656832500000,null
1656832800000,null
1656833100000,0
1656833400000,null
1656833700000,null
1656834000000,null
1656834300000,null
1656834600000,null
1656834900000,null
1656835200000,null
1656835500000,null
1656835800000,null
1656836100000,null
1656836400000,null
1656836700000,null
1656837000000,null
1656837300000,null
1656837600000,null
1656837900000,null
1656838200000,null
1656838500000,null
1656838800000,null
1656839100000,null
1656839400000,null
1656839700000,null
1656840000000,null
1656840300000,null
1656840600000,null
1656840900000,null
1656841200000,null
1656841500000,null
1656841800000,null
1656842100000,null
1656842400000,null
1656842700000,null
1656843000000,null
1656843300000,null
1656843600000,null
1656843900000,null
1656844200000,null
1656844500000,null
1656844800000,null
1656845100000,null
1656845400000,null
1656845700000,null
1656846000000,null
1656846300000,null
1656846600000,null
1656846900000,null
1656847200000,null
1656847500000,null
1656847800000,null
1656848100000,0
