Date, data
1669479600000,0
1669479900000,0
1669480200000,0
1669480500000,0
1669480800000,0
1669481100000,0
1669481400000,0
1669481700000,0
1669482000000,0
1669482300000,0.24
1669482600000,8.91
1669482900000,27.6
1669483200000,29.98
1669483500000,42.72
1669483800000,72.48
1669484100000,160.56
1669484400000,184.45
1669484700000,177.14
1669485000000,225
1669485300000,272.83
1669485600000,280.92
1669485900000,346.27
1669486200000,371.28
1669486500000,384.92
1669486800000,435
1669487100000,385.04
1669487400000,361.2
1669487700000,352.54
1669488000000,466.68
1669488300000,536.15
1669488600000,459.12
1669488900000,439.83
1669489200000,684
1669489500000,785.38
1669489800000,602.28
1669490100000,438.62
1669490400000,432.48
1669490700000,399.12
1669491000000,450.42
1669491300000,695.4
1669491600000,896.99
1669491900000,784.92
1669492200000,602.25
1669492500000,570.24
1669492800000,650.53
1669493100000,752.28
1669493400000,973.2
1669493700000,1313.64
1669494000000,1673.46
1669494300000,2168.88
1669494600000,2732.87
1669494900000,2796.36
1669495200000,2699.28
1669495500000,2980.68
1669495800000,3283.59
1669496100000,3382.8
1669496400000,3600.72
1669496700000,3499.32
1669497000000,3413.38
1669497300000,3964.53
1669497600000,3898.68
1669497900000,4087.51
1669498200000,4150.8
1669498500000,3733.04
1669498800000,3622.68
1669499100000,3970.47
1669499400000,4575.24
1669499700000,5320.29
1669500000000,5644.56
1669500300000,5986.11
1669500600000,5987.64
1669500900000,6746.21
1669501200000,8155.44
1669501500000,8078.81
1669501800000,8056.92
1669502100000,7622.49
1669502400000,6884.04
1669502700000,6476.75
1669503000000,6492.24
1669503300000,6681.43
1669503600000,7780.41
1669503900000,7879.08
1669504200000,6710.69
1669504500000,5909.76
1669504800000,5335.71
1669505100000,4858.44
1669505400000,4552.25
1669505700000,5455.68
1669506000000,6804.12
1669506300000,7109.16
1669506600000,8885.62
1669506900000,10087.68
1669507200000,6255.81
1669507500000,6502.32
1669507800000,6962.81
1669508100000,9568.32
1669508400000,9768.4
1669508700000,10384.92
1669509000000,9826.8
1669509300000,9351.36
1669509600000,10435.18
1669509900000,8324.16
1669510200000,7890.98
1669510500000,8208.72
1669510800000,8535
1669511100000,7073.94
1669511400000,6822.48
1669511700000,7482.7
1669512000000,7681.32
1669512300000,7115.24
1669512600000,9236.4
1669512900000,8218.23
1669513200000,6552.48
1669513500000,5829.11
1669513800000,5163.24
1669514100000,5636.35
1669514400000,4672.32
1669514700000,3086.61
1669515000000,2127.84
1669515300000,1549.93
1669515600000,1409.6
1669515900000,1294.8
1669516200000,1622.05
1669516500000,2563.56
1669516800000,2718.3
1669517100000,3588.84
1669517400000,3621.91
1669517700000,3222.12
1669518000000,3963.37
1669518300000,4787.16
1669518600000,5246.13
1669518900000,6108.6
1669519200000,5773.85
1669519500000,4890.6
1669519800000,4118.45
1669520100000,3450.96
1669520400000,3043.02
1669520700000,3251.76
1669521000000,3548.23
1669521300000,3707.76
1669521600000,3450.82
1669521900000,3190.65
1669522200000,3713.28
1669522500000,4846.15
1669522800000,5310.84
1669523100000,5240.71
1669523400000,3827.88
1669523700000,2163.85
1669524000000,1478.28
1669524300000,667.87
1669524600000,397.2
1669524900000,740.35
1669525200000,1112.4
1669525500000,1308.64
1669525800000,2197.44
1669526100000,4471.46
1669526400000,6690
1669526700000,9820.54
1669527000000,4085.52
1669527300000,3324.4
1669527600000,3759.84
1669527900000,5970.7
1669528200000,6646.2
1669528500000,5066.01
1669528800000,4379.28
1669529100000,4015.63
1669529400000,3734.52
1669529700000,3415.3
1669530000000,3143.09
1669530300000,2850.24
1669530600000,2236.45
1669530900000,2468.04
1669531200000,2189.86
1669531500000,1127.04
1669531800000,386.37
1669532100000,739.92
1669532400000,962.01
1669532700000,998.04
1669533000000,615.61
1669533300000,230.52
1669533600000,184.09
1669533900000,148.08
1669534200000,108.72
1669534500000,70.68
1669534800000,41.18
1669535100000,10.92
1669535400000,0.12
1669535700000,0
1669536000000,0
1669536300000,0
1669536600000,0
1669536900000,0
1669537200000,0
1669537500000,0
1669537800000,0
