Date, data
1663937100000,0
1663937400000,null
1663937700000,null
1663938000000,null
1663938300000,null
1663938600000,null
1663938900000,null
1663939200000,null
1663939500000,null
1663939800000,null
1663940100000,null
1663940400000,null
1663940700000,null
1663941000000,null
1663941300000,null
1663941600000,null
1663941900000,null
1663942200000,null
1663942500000,null
1663942800000,null
1663943100000,null
1663943400000,null
1663943700000,null
1663944000000,null
1663944300000,null
1663944600000,null
1663944900000,null
1663945200000,null
1663945500000,null
1663945800000,null
1663946100000,null
1663946400000,null
1663946700000,null
1663947000000,null
1663947300000,null
1663947600000,null
1663947900000,null
1663948200000,null
1663948500000,null
1663948800000,null
1663949100000,null
1663949400000,null
1663949700000,null
1663950000000,null
1663950300000,null
1663950600000,null
1663950900000,null
1663951200000,null
1663951500000,null
1663951800000,null
1663952100000,null
1663952400000,null
1663952700000,null
1663953000000,null
1663953300000,null
1663953600000,null
1663953900000,null
1663954200000,null
1663954500000,null
1663954800000,0
1663955100000,0
1663955400000,0
1663955700000,0
1663956000000,0
1663956300000,0
1663956600000,0
1663956900000,0.24
1663957200000,35.88
1663957500000,75.96
1663957800000,116.43
1663958100000,159.72
1663958400000,199.51
1663958700000,235.32
1663959000000,270.66
1663959300000,489.84
1663959600000,938.77
1663959900000,1117.8
1663960200000,1274.45
1663960500000,1439.64
1663960800000,1553.52
1663961100000,1613.86
1663961400000,1752
1663961700000,1943.28
1663962000000,2106.24
1663962300000,2281.12
1663962600000,2523.84
1663962900000,2821
1663963200000,2979.72
1663963500000,3202.56
1663963800000,3402.24
1663964100000,3605.54
1663964400000,3761.04
1663964700000,3936.64
1663965000000,4080.84
1663965300000,4245.11
1663965600000,4394.04
1663965900000,4562.49
1663966200000,4743.84
1663966500000,4931.88
1663966800000,5091
1663967100000,5277.91
1663967400000,5508.24
1663967700000,5733.36
1663968000000,5964.2
1663968300000,6159
1663968600000,6368.63
1663968900000,6546.36
1663969200000,6751.87
1663969500000,6951.24
1663969800000,7182.42
1663970100000,7352.28
1663970400000,7569.03
1663970700000,7753.2
1663971000000,7966.84
1663971300000,8139.48
1663971600000,8326.23
1663971900000,8485.56
1663972200000,8704.41
1663972500000,8843.88
1663972800000,9012.52
1663973100000,9153.36
1663973400000,9322.56
1663973700000,9459.36
1663974000000,9603.21
1663974300000,9720.48
1663974600000,9877.61
1663974900000,9954.6
1663975200000,10089.96
1663975500000,10195.71
1663975800000,10314.84
1663976100000,10407.61
1663976400000,10519.8
1663976700000,10596.16
1663977000000,10619.52
1663977300000,10703.32
1663977600000,10747.2
1663977900000,10875.37
1663978200000,10889.64
1663978500000,10962.06
1663978800000,11027.76
1663979100000,11121.23
1663979400000,11086.56
1663979700000,11201.54
1663980000000,11205.84
1663980300000,11246.33
1663980600000,11259.6
1663980900000,11284.25
1663981200000,11336.88
1663981500000,12135.13
1663981800000,11919.6
1663982100000,9092.11
1663982400000,9989.16
1663982700000,10471.3
1663983000000,8991.36
1663983300000,9780.8
1663983600000,10864.68
1663983900000,12831.41
1663984200000,12441.93
1663984500000,12189.6
1663984800000,12525.35
1663985100000,8993.52
1663985400000,8029.08
1663985700000,6565.8
1663986000000,6454.11
1663986300000,6995.76
1663986600000,6025
1663986900000,5389.2
1663987200000,4434.26
1663987500000,5371.32
1663987800000,9457.4
1663988100000,10400.76
1663988400000,9974.29
1663988700000,6038.04
1663989000000,8802.78
1663989300000,9963.84
1663989600000,10465.4
1663989900000,10502.88
1663990200000,6807.49
1663990500000,4160.38
1663990800000,3884.64
1663991100000,3418.31
1663991400000,2611.44
1663991700000,5828.99
1663992000000,7247.28
1663992300000,7762.03
1663992600000,8223.48
1663992900000,7581.31
1663993200000,7870.08
1663993500000,2133.75
1663993800000,1637.52
1663994100000,3139.46
1663994400000,2671.56
1663994700000,1644.44
1663995000000,1313.16
1663995300000,1740.64
1663995600000,1871.88
1663995900000,1693.69
1663996200000,1535.4
1663996500000,1147.06
1663996800000,926.88
1663997100000,1173.31
1663997400000,1070.04
1663997700000,584.31
1663998000000,317.52
1663998300000,172.29
1663998600000,91.79
1663998900000,62.76
1663999200000,39.73
1663999500000,46.2
1663999800000,49.73
1664000100000,19.08
1664000400000,0.84
1664000700000,0.24
1664001000000,0
1664001300000,0
1664001600000,0
1664001900000,0
1664002200000,0
1664002500000,0
1664002800000,0
1664003100000,null
1664003400000,null
1664003700000,null
1664004000000,null
1664004300000,null
1664004600000,null
1664004900000,null
1664005200000,null
1664005500000,null
1664005800000,null
1664006100000,null
1664006400000,null
1664006700000,null
1664007000000,null
1664007300000,null
1664007600000,null
1664007900000,null
1664008200000,0
1664008500000,null
1664008800000,null
1664009100000,null
1664009400000,null
1664009700000,null
1664010000000,null
1664010300000,null
1664010600000,null
1664010900000,null
1664011200000,null
1664011500000,null
1664011800000,null
1664012100000,null
1664012400000,null
1664012700000,null
1664013000000,null
1664013300000,0
