Date, data
1680286500000,0
1680286800000,null
1680287100000,0
1680287400000,0
1680287700000,0
1680288000000,0
1680288300000,0
1680288600000,0
1680288900000,0
1680289200000,0
1680289500000,0
1680289800000,0
1680290100000,0
1680290400000,0
1680290700000,0.36
1680291000000,0.48
1680291300000,0.84
1680291600000,6.26
1680291900000,77.04
1680292200000,55.99
1680292500000,29.52
1680292800000,48.04
1680293100000,192.36
1680293400000,216.84
1680293700000,185.76
1680294000000,153.27
1680294300000,105.84
1680294600000,264.16
1680294900000,232.56
1680295200000,258.38
1680295500000,241.68
1680295800000,495.09
1680296100000,548.88
1680296400000,379.87
1680296700000,298.92
1680297000000,299.44
1680297300000,163.56
1680297600000,141.95
1680297900000,198.72
1680298200000,221.9
1680298500000,229.11
1680298800000,288.36
1680299100000,257.54
1680299400000,183.96
1680299700000,184.09
1680300000000,137.76
1680300300000,126.3
1680300600000,155.04
1680300900000,169.28
1680301200000,219.84
1680301500000,241.89
1680301800000,179.28
1680302100000,223.22
1680302400000,225.48
1680302700000,213.23
1680303000000,185.76
1680303300000,202.27
1680303600000,309.84
1680303900000,349.77
1680304200000,302.76
1680304500000,284.51
1680304800000,561
1680305100000,440.55
1680305400000,447.96
1680305700000,296.55
1680306000000,355.92
1680306300000,406.6
1680306600000,496.25
1680306900000,644.76
1680307200000,742.64
1680307500000,519.84
1680307800000,628.01
1680308100000,351.6
1680308400000,742.27
1680308700000,683.76
1680309000000,585.87
1680309300000,373.08
1680309600000,563.48
1680309900000,442.2
1680310200000,490.76
1680310500000,487.56
1680310800000,375.77
1680311100000,911.52
1680311400000,956.59
1680311700000,992.03
1680312000000,800.4
1680312300000,726.02
1680312600000,817.2
1680312900000,952.37
1680313200000,357.36
1680313500000,977.66
1680313800000,1935
1680314100000,2028.4
1680314400000,1765.08
1680314700000,1334.65
1680315000000,1800.96
1680315300000,2189.5
1680315600000,1884.24
1680315900000,2740.09
1680316200000,3129.36
1680316500000,2904.32
1680316800000,2745.12
1680317100000,3918.1
1680317400000,3810.84
1680317700000,3123.21
1680318000000,2529.36
1680318300000,3092.03
1680318600000,3153.84
1680318900000,2671.83
1680319200000,2501.04
1680319500000,2549.5
1680319800000,2629.91
1680320100000,2780.52
1680320400000,3666.7
1680320700000,3346.08
1680321000000,4571.4
1680321300000,2300.88
1680321600000,1960.49
1680321900000,2122.92
1680322200000,2072.83
1680322500000,2284.68
1680322800000,2330.49
1680323100000,2459.64
1680323400000,2171.56
1680323700000,2068.68
1680324000000,2156.63
1680324300000,1536.48
1680324600000,1487.32
1680324900000,1827
1680325200000,1554.26
1680325500000,1611.84
1680325800000,1257.83
1680326100000,1120.2
1680326400000,2262.34
1680326700000,2106.24
1680327000000,1799.76
1680327300000,1507.56
1680327600000,635.48
1680327900000,365.13
1680328200000,422.16
1680328500000,286.43
1680328800000,218.16
1680329100000,150.86
1680329400000,111.24
1680329700000,55.75
1680330000000,22.08
1680330300000,0.36
1680330600000,0
1680330900000,0
1680331200000,0
1680331500000,0
1680331800000,0
1680332100000,0
1680332400000,0
