Date, data
1662909300000,0
1662909600000,null
1662909900000,null
1662910200000,null
1662910500000,null
1662910800000,null
1662911100000,null
1662911400000,null
1662911700000,null
1662912000000,null
1662912300000,null
1662912600000,null
1662912900000,null
1662913200000,null
1662913500000,null
1662913800000,null
1662914100000,null
1662914400000,null
1662914700000,null
1662915000000,null
1662915300000,null
1662915600000,null
1662915900000,null
1662916200000,null
1662916500000,null
1662916800000,null
1662917100000,null
1662917400000,null
1662917700000,null
1662918000000,null
1662918300000,null
1662918600000,null
1662918900000,null
1662919200000,null
1662919500000,0
1662919800000,0
1662920100000,0
1662920400000,0
1662920700000,0
1662921000000,0
1662921300000,0
1662921600000,0
1662921900000,1.08
1662922200000,60.92
1662922500000,85.92
1662922800000,100.17
1662923100000,141.96
1662923400000,197.82
1662923700000,218.16
1662924000000,311.96
1662924300000,469.68
1662924600000,537.59
1662924900000,541.8
1662925200000,496.66
1662925500000,647.76
1662925800000,882.18
1662926100000,861.96
1662926400000,810.06
1662926700000,917.28
1662927000000,1302.86
1662927300000,1202.28
1662927600000,1084.21
1662927900000,1036.85
1662928200000,1415.4
1662928500000,1436.99
1662928800000,1383.96
1662929100000,1231.22
1662929400000,1242.72
1662929700000,1562.93
1662930000000,1682.4
1662930300000,1778.81
1662930600000,2156.76
1662930900000,2612.12
1662931200000,2692.29
1662931500000,3450.12
1662931800000,3535.1
1662932100000,3874.44
1662932400000,2792.35
1662932700000,2323.08
1662933000000,2300.03
1662933300000,1731.22
1662933600000,2170.2
1662933900000,2486.53
1662934200000,2395.44
1662934500000,2616.2
1662934800000,3263.52
1662935100000,3990.94
1662935400000,3042.12
1662935700000,2546.37
1662936000000,2079.48
1662936300000,2175.77
1662936600000,2826
1662936900000,3087.33
1662937200000,2777.04
1662937500000,2261.86
1662937800000,1993.44
1662938100000,1817.46
1662938400000,2343.84
1662938700000,2830.76
1662939000000,2487.6
1662939300000,2051.16
1662939600000,2210.42
1662939900000,2223.48
1662940200000,1881.75
1662940500000,2279.4
1662940800000,2543.6
1662941100000,2909.76
1662941400000,3171.37
1662941700000,3042.6
1662942000000,2620.41
1662942300000,3202.92
1662942600000,3013.65
1662942900000,3271.08
1662943200000,3597.59
1662943500000,3462.6
1662943800000,3691.38
1662944100000,4157.16
1662944400000,3321.75
1662944700000,3927.84
1662945000000,3870.42
1662945300000,3731.4
1662945600000,3034.72
1662945900000,2512.32
1662946200000,2582.85
1662946500000,2602.2
1662946800000,2401.53
1662947100000,2043.66
1662947400000,1951.32
1662947700000,1773.03
1662948000000,1807.44
1662948300000,2106.18
1662948600000,2038.32
1662948900000,2254.27
1662949200000,2155.2
1662949500000,1744.13
1662949800000,1705.56
1662950100000,978.38
1662950400000,994.77
1662950700000,971.76
1662951000000,1036.9
1662951300000,1383.72
1662951600000,3088.17
1662951900000,4190.88
1662952200000,3150.42
1662952500000,3203.16
1662952800000,3287.56
1662953100000,3890.28
1662953400000,3910.39
1662953700000,3089.76
1662954000000,2560.09
1662954300000,2512.2
1662954600000,1864.41
1662954900000,1384.8
1662955200000,972.24
1662955500000,763.08
1662955800000,752.87
1662956100000,833.28
1662956400000,1059.53
1662956700000,1669.68
1662957000000,2430.3
1662957300000,2038.17
1662957600000,1986.24
1662957900000,1698.38
1662958200000,2366.52
1662958500000,1332.6
1662958800000,1100.28
1662959100000,879.65
1662959400000,897.48
1662959700000,2325.79
1662960000000,2582.52
1662960300000,1295.76
1662960600000,788.52
1662960900000,1078.68
1662961200000,1143.96
1662961500000,769.48
1662961800000,578.4
1662962100000,384.08
1662962400000,259.2
1662962700000,147.61
1662963000000,71.4
1662963300000,16.01
1662963600000,0
1662963900000,0
1662964200000,0
1662964500000,0
1662964800000,0
1662965100000,0
1662965400000,0
1662965700000,0
1662966000000,0
