Date, data
1682620500000,0
1682620800000,0
1682621100000,0
1682621400000,0
1682621700000,0
1682622000000,0
1682622300000,0
1682622600000,0.48
1682622900000,25.2
1682623200000,51.05
1682623500000,81.77
1682623800000,115.2
1682624100000,147.97
1682624400000,180.48
1682624700000,208.05
1682625000000,233.64
1682625300000,258.26
1682625600000,294
1682625900000,335.32
1682626200000,369.84
1682626500000,411.41
1682626800000,444.12
1682627100000,459.45
1682627400000,495
1682627700000,658.72
1682628000000,742.32
1682628300000,952.98
1682628600000,998.04
1682628900000,1026.78
1682629200000,1111.08
1682629500000,1160.79
1682629800000,1321.32
1682630100000,1507.06
1682630400000,1516.8
1682630700000,1633
1682631000000,2150.76
1682631300000,2540.71
1682631600000,2852.11
1682631900000,2863.56
1682632200000,3263.36
1682632500000,3561.6
1682632800000,3920.15
1682633100000,4216.08
1682633400000,4488.08
1682633700000,4667.04
1682634000000,4808.11
1682634300000,4975.8
1682634600000,5112.96
1682634900000,5271.36
1682635200000,5385.79
1682635500000,5552.52
1682635800000,5669.1
1682636100000,5781.12
1682636400000,5894.01
1682636700000,6051.96
1682637000000,6176.35
1682637300000,6295.8
1682637600000,6395.24
1682637900000,6521.48
1682638200000,6563.76
1682638500000,6722.61
1682638800000,6846.48
1682639100000,6955.83
1682639400000,7021.56
1682639700000,7124.39
1682640000000,7195.8
1682640300000,7251.41
1682640600000,7284.96
1682640900000,7314.74
1682641200000,7371.72
1682641500000,7439.6
1682641800000,7494.96
1682642100000,7513.4
1682642400000,7546.8
1682642700000,7535.32
1682643000000,7545.96
1682643300000,7537.61
1682643600000,7552.32
1682643900000,7536.16
1682644200000,7515.6
1682644500000,7486.43
1682644800000,7470.84
1682645100000,7388.31
1682645400000,7407.24
1682645700000,7366.15
1682646000000,7330.56
1682646300000,7257.91
1682646600000,7225.63
1682646900000,7155.48
1682647200000,7108.62
1682647500000,7024.44
1682647800000,6961.24
1682648100000,6860.04
1682648400000,6791.36
1682648700000,6675.84
1682649000000,6581.02
1682649300000,6457.71
1682649600000,6357.96
1682649900000,6220.41
1682650200000,6107.04
1682650500000,5968.9
1682650800000,5826.24
1682651100000,5668.74
1682651400000,5541.24
1682651700000,5385.43
1682652000000,5212.56
1682652300000,5064.2
1682652600000,4891.44
1682652900000,4733.1
1682653200000,4561.68
1682653500000,4386.22
1682653800000,4192.08
1682654100000,4012.74
1682654400000,3820.08
1682654700000,3622.52
1682655000000,3405.72
1682655300000,3207.13
1682655600000,2988.72
1682655900000,2795
1682656200000,2507.84
1682656500000,2064.24
1682656800000,1650.22
1682657100000,1237.32
1682657400000,979.83
1682657700000,699.96
1682658000000,612.6
1682658300000,386.76
1682658600000,280.29
1682658900000,248.52
1682659200000,193.24
1682659500000,143.52
1682659800000,98.73
1682660100000,60.6
1682660400000,33.35
1682660700000,5.52
1682661000000,0
1682661300000,0
1682661600000,0
1682661900000,0
1682662200000,0
1682662500000,0
1682662800000,0
1682663100000,0
1682663400000,0
1682663700000,null
1682664000000,null
1682664300000,null
1682664600000,null
1682664900000,null
1682665200000,null
1682665500000,null
1682665800000,null
1682666100000,null
1682666400000,null
1682666700000,null
1682667000000,null
1682667300000,null
1682667600000,null
1682667900000,null
1682668200000,null
1682668500000,null
1682668800000,null
1682669100000,null
1682669400000,null
1682669700000,null
1682670000000,null
1682670300000,null
1682670600000,null
1682670900000,null
1682671200000,null
1682671500000,null
1682671800000,null
1682672100000,null
1682672400000,null
1682672700000,null
1682673000000,null
1682673300000,null
1682673600000,null
1682673900000,null
1682674200000,null
1682674500000,null
1682674800000,null
1682675100000,null
1682675400000,null
1682675700000,null
1682676000000,null
1682676300000,null
1682676600000,null
1682676900000,null
1682677200000,null
1682677500000,null
1682677800000,null
1682678100000,null
1682678400000,null
1682678700000,0
