Date, data
1682946900000,0
1682947200000,null
1682947500000,null
1682947800000,null
1682948100000,null
1682948400000,null
1682948700000,null
1682949000000,null
1682949300000,null
1682949600000,null
1682949900000,null
1682950200000,null
1682950500000,null
1682950800000,null
1682951100000,null
1682951400000,null
1682951700000,null
1682952000000,null
1682952300000,null
1682952600000,null
1682952900000,null
1682953200000,null
1682953500000,null
1682953800000,null
1682954100000,null
1682954400000,null
1682954700000,null
1682955000000,null
1682955300000,null
1682955600000,null
1682955900000,null
1682956200000,null
1682956500000,null
1682956800000,null
1682957100000,null
1682957400000,null
1682957700000,null
1682958000000,null
1682958300000,null
1682958600000,null
1682958900000,null
1682959200000,null
1682959500000,null
1682959800000,null
1682960100000,null
1682960400000,null
1682960700000,null
1682961000000,null
1682961300000,null
1682961600000,null
1682961900000,null
1682962200000,null
1682962500000,null
1682962800000,null
1682963100000,null
1682963400000,null
1682963700000,null
1682964000000,null
1682964300000,null
1682964600000,null
1682964900000,null
1682965200000,null
1682965500000,null
1682965800000,null
1682966100000,null
1682966400000,0
1682966700000,0
1682967000000,0
1682967300000,0
1682967600000,0
1682967900000,0
1682968200000,0
1682968500000,0.24
1682968800000,0.6
1682969100000,3.01
1682969400000,34.8
1682969700000,64.05
1682970000000,140.76
1682970300000,217.08
1682970600000,201
1682970900000,133.77
1682971200000,122.28
1682971500000,146.41
1682971800000,213.72
1682972100000,303.53
1682972400000,444.28
1682972700000,543.72
1682973000000,545.06
1682973300000,613.68
1682973600000,883.38
1682973900000,857.16
1682974200000,1214.37
1682974500000,712.56
1682974800000,599.24
1682975100000,620.04
1682975400000,612.24
1682975700000,645
1682976000000,394.8
1682976300000,527.28
1682976600000,556.13
1682976900000,829.56
1682977200000,845.82
1682977500000,735.24
1682977800000,607.3
1682978100000,591.84
1682978400000,580.7
1682978700000,649.56
1682979000000,719.28
1682979300000,810.84
1682979600000,692.19
1682979900000,592.33
1682980200000,716.4
1682980500000,732.52
1682980800000,826.68
1682981100000,839.32
1682981400000,900.96
1682981700000,935.64
1682982000000,1607.28
1682982300000,1351.02
1682982600000,1769.28
1682982900000,1512.96
1682983200000,2004.24
1682983500000,1768.58
1682983800000,2294.28
1682984100000,1976.75
1682984400000,2149.8
1682984700000,1611.45
1682985000000,1542.72
1682985300000,1510.8
1682985600000,1342.44
1682985900000,1077.71
1682986200000,940.77
1682986500000,728.76
1682986800000,826.07
1682987100000,748.68
1682987400000,637.77
1682987700000,844.92
1682988000000,959.48
1682988300000,965.28
1682988600000,201.07
1682988900000,448.92
1682989200000,1217.5
1682989500000,841.92
1682989800000,801.39
1682990100000,1068.24
1682990400000,1443.37
1682990700000,1903.68
1682991000000,2106.06
1682991300000,2324.64
1682991600000,2374.56
1682991900000,1742.64
1682992200000,1685.98
1682992500000,1750.05
1682992800000,1225.56
1682993100000,1125.15
1682993400000,945.24
1682993700000,1042.92
1682994000000,1364.04
1682994300000,1167.53
1682994600000,1523.92
1682994900000,1046.4
1682995200000,1140.68
1682995500000,1371.72
1682995800000,1405.2
1682996100000,1293.72
1682996400000,1423.75
1682996700000,1851.6
1682997000000,1659.01
1682997300000,1004.04
1682997600000,968.15
1682997900000,1089.12
1682998200000,1303.83
1682998500000,1213.68
1682998800000,880.62
1682999100000,973.68
1682999400000,1111.42
1682999700000,1124.64
1683000000000,909.51
1683000300000,779.88
1683000600000,672.56
1683000900000,543.36
1683001200000,460.78
1683001500000,439.68
1683001800000,347.36
1683002100000,189.6
1683002400000,288.48
1683002700000,224.58
1683003000000,145.2
1683003300000,117.87
1683003600000,112.2
1683003900000,57.91
1683004200000,56.4
1683004500000,45.63
1683004800000,67.68
1683005100000,33.23
1683005400000,0.12
1683005700000,0
1683006000000,0
1683006300000,0
1683006600000,0
1683006900000,0
1683007200000,0
1683007500000,0
1683007800000,0
1683008100000,null
1683008400000,null
1683008700000,null
1683009000000,null
1683009300000,null
1683009600000,null
1683009900000,null
1683010200000,null
1683010500000,null
1683010800000,null
1683011100000,null
1683011400000,null
1683011700000,null
1683012000000,null
1683012300000,null
1683012600000,null
1683012900000,null
1683013200000,null
1683013500000,null
1683013800000,null
1683014100000,null
1683014400000,null
1683014700000,null
1683015000000,null
1683015300000,null
1683015600000,null
1683015900000,null
1683016200000,null
1683016500000,null
1683016800000,null
1683017100000,null
1683017400000,null
1683017700000,null
1683018000000,null
1683018300000,null
1683018600000,null
1683018900000,null
1683019200000,null
1683019500000,null
1683019800000,null
1683020100000,null
1683020400000,null
1683020700000,null
1683021000000,null
1683021300000,null
1683021600000,null
1683021900000,null
1683022200000,null
1683022500000,null
1683022800000,null
1683023100000,null
1683023400000,null
1683023700000,null
1683024000000,null
1683024300000,null
1683024600000,null
1683024900000,null
1683025200000,null
1683025500000,null
1683025800000,null
1683026100000,0
