"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-04-16 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-04-16 00:00:00
2023-04-16 00:05:00,0000:05:00,00000000,50.00E+00,230.9E+00,230.9E+00,0.0E+00,223.4E+00,223.4E+00,-118.5E+00,237.8E+00,237.7E+00,121.3E+00,2.26E+00,2.25E+00,-44.3E+00,7.71E+00,7.64E+00,-150.1E+00,2.13E+00,2.08E+00,94.9E+00,0.37E+03,1.43E+03,0.44E+03,2.24E+03,0.52E+03,1.72E+03,0.51E+03,2.75E+03,0.37E+03,0.90E+03,0.24E+03,1.54E+03,0.712E+00,0.828E+00,0.877E+00,0.815E+00,0.187E+03,0.000E+03,0.129E+03,0.000E+03,0.00000E+00,0.187E+03,0.000E+03,0.129E+03,0.000E+03,2.24E+03,0.00E+03,1.54E+03,0.00E+03,0.824E+00
2023-04-16 00:10:00,0000:10:00,00000000,49.99E+00,230.5E+00,230.4E+00,0.0E+00,222.8E+00,222.8E+00,-118.5E+00,237.0E+00,237.0E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,7.45E+00,7.39E+00,-151.2E+00,2.11E+00,2.07E+00,95.9E+00,0.00E+03,1.36E+03,0.44E+03,1.80E+03,0.00E+03,1.66E+03,0.50E+03,2.16E+03,0.00E+03,0.90E+03,0.23E+03,1.15E+03,0.000E+99,0.817E+00,0.885E+00,0.833E+00,0.337E+03,0.000E+03,0.224E+03,0.000E+03,0.00000E+00,0.150E+03,0.000E+03,0.096E+03,0.000E+03,1.80E+03,0.00E+03,1.15E+03,0.00E+03,0.843E+00
2023-04-16 00:15:00,0000:15:00,00000000,50.00E+00,230.5E+00,230.5E+00,0.0E+00,222.8E+00,222.7E+00,-118.5E+00,236.9E+00,236.9E+00,121.2E+00,0.00E+00,0.00E+00,-2.3E+00,7.51E+00,7.44E+00,-150.8E+00,0.73E+00,0.71E+00,95.4E+00,0.00E+03,1.37E+03,0.15E+03,1.52E+03,0.00E+03,1.67E+03,0.17E+03,1.84E+03,0.00E+03,0.89E+03,0.08E+03,0.98E+03,0.000E+99,0.821E+00,0.882E+00,0.827E+00,0.464E+03,0.000E+03,0.306E+03,0.000E+03,0.00000E+00,0.127E+03,0.000E+03,0.081E+03,0.000E+03,1.52E+03,0.00E+03,0.98E+03,0.00E+03,0.842E+00
2023-04-16 00:20:00,0000:20:00,00000000,50.00E+00,230.4E+00,230.3E+00,0.0E+00,222.8E+00,222.8E+00,-118.6E+00,237.2E+00,237.2E+00,121.2E+00,3.11E+00,3.10E+00,-43.5E+00,7.41E+00,7.34E+00,-151.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.52E+03,1.34E+03,0.00E+03,1.85E+03,0.72E+03,1.65E+03,0.00E+03,2.37E+03,0.50E+03,0.90E+03,0.00E+03,1.42E+03,0.720E+00,0.811E+00,0.000E+99,0.784E+00,0.618E+03,0.000E+03,0.424E+03,0.000E+03,0.00000E+00,0.155E+03,0.000E+03,0.118E+03,0.000E+03,1.85E+03,0.00E+03,1.42E+03,0.00E+03,0.794E+00
2023-04-16 00:25:00,0000:25:00,00000000,50.00E+00,230.4E+00,230.4E+00,0.0E+00,222.8E+00,222.8E+00,-118.5E+00,237.2E+00,237.1E+00,121.2E+00,2.87E+00,2.85E+00,-44.1E+00,7.20E+00,7.13E+00,-153.5E+00,0.02E+00,0.02E+00,108.3E+00,0.47E+03,1.27E+03,0.01E+03,1.75E+03,0.66E+03,1.60E+03,0.01E+03,2.27E+03,0.46E+03,0.92E+03,0.00E+03,1.42E+03,0.713E+00,0.793E+00,0.936E+00,0.770E+00,0.764E+03,0.000E+03,0.542E+03,0.000E+03,0.00000E+00,0.146E+03,0.000E+03,0.118E+03,0.000E+03,1.75E+03,0.00E+03,1.42E+03,0.00E+03,0.777E+00
2023-04-16 00:30:00,0000:30:00,00000000,50.00E+00,230.7E+00,230.7E+00,0.0E+00,222.9E+00,222.9E+00,-118.5E+00,237.3E+00,237.3E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,7.24E+00,7.17E+00,-153.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,1.28E+03,0.00E+03,1.28E+03,0.00E+03,1.61E+03,0.00E+03,1.61E+03,0.00E+03,0.92E+03,0.00E+03,0.92E+03,0.000E+99,0.794E+00,0.000E+99,0.794E+00,0.871E+03,0.000E+03,0.618E+03,0.000E+03,0.00000E+00,0.107E+03,0.000E+03,0.077E+03,0.000E+03,1.28E+03,0.00E+03,0.92E+03,0.00E+03,0.813E+00
2023-04-16 00:35:00,0000:35:00,00000000,50.00E+00,230.8E+00,230.7E+00,0.0E+00,223.1E+00,223.1E+00,-118.5E+00,237.2E+00,237.2E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,7.29E+00,7.22E+00,-153.4E+00,2.07E+00,2.05E+00,89.7E+00,0.00E+03,1.29E+03,0.41E+03,1.70E+03,0.00E+03,1.63E+03,0.49E+03,2.12E+03,0.00E+03,0.93E+03,0.27E+03,1.21E+03,0.000E+99,0.794E+00,0.840E+00,0.804E+00,1.013E+03,0.000E+03,0.719E+03,0.000E+03,0.00000E+00,0.142E+03,0.000E+03,0.101E+03,0.000E+03,1.70E+03,0.00E+03,1.21E+03,0.00E+03,0.815E+00
2023-04-16 00:40:00,0000:40:00,00000000,50.00E+00,230.6E+00,230.6E+00,0.0E+00,223.2E+00,223.2E+00,-118.5E+00,237.3E+00,237.3E+00,121.2E+00,2.22E+00,2.21E+00,-42.4E+00,7.27E+00,7.20E+00,-153.6E+00,2.97E+00,2.94E+00,87.9E+00,0.38E+03,1.28E+03,0.58E+03,2.24E+03,0.51E+03,1.62E+03,0.71E+03,2.84E+03,0.35E+03,0.93E+03,0.40E+03,1.70E+03,0.733E+00,0.791E+00,0.825E+00,0.789E+00,1.200E+03,0.000E+03,0.861E+03,0.000E+03,0.00000E+00,0.187E+03,0.000E+03,0.141E+03,0.000E+03,2.24E+03,0.00E+03,1.70E+03,0.00E+03,0.797E+00
2023-04-16 00:45:00,0000:45:00,00000000,50.00E+00,230.6E+00,230.6E+00,0.0E+00,223.1E+00,223.1E+00,-118.6E+00,237.4E+00,237.4E+00,121.2E+00,3.74E+00,3.72E+00,-44.2E+00,7.20E+00,7.13E+00,-154.3E+00,2.88E+00,2.85E+00,86.8E+00,0.61E+03,1.26E+03,0.56E+03,2.43E+03,0.86E+03,1.61E+03,0.68E+03,3.15E+03,0.60E+03,0.93E+03,0.40E+03,1.98E+03,0.713E+00,0.784E+00,0.814E+00,0.771E+00,1.402E+03,0.000E+03,1.026E+03,0.000E+03,0.00000E+00,0.203E+03,0.000E+03,0.165E+03,0.000E+03,2.43E+03,0.00E+03,1.98E+03,0.00E+03,0.775E+00
