"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-01-01 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-01-01 00:00:00
2023-01-01 00:05:00,0000:05:00,00000000,50.00E+00,232.6E+00,232.6E+00,0.0E+00,225.2E+00,225.1E+00,-118.4E+00,240.1E+00,240.0E+00,121.4E+00,1.70E+00,1.67E+00,-40.6E+00,3.88E+00,3.85E+00,-144.2E+00,2.60E+00,2.57E+00,88.5E+00,0.29E+03,0.78E+03,0.52E+03,1.59E+03,0.39E+03,0.87E+03,0.62E+03,1.89E+03,0.27E+03,0.39E+03,0.35E+03,1.01E+03,0.737E+00,0.893E+00,0.830E+00,0.840E+00,0.132E+03,0.000E+03,0.085E+03,-0.000E+03,0.00000E+00,0.132E+03,0.000E+03,0.085E+03,-0.000E+03,1.59E+03,0.00E+03,1.01E+03,-0.00E+03,0.843E+00
2023-01-01 00:10:00,0000:10:00,00000000,50.00E+00,232.6E+00,232.6E+00,0.0E+00,225.1E+00,225.1E+00,-118.4E+00,240.0E+00,240.0E+00,121.4E+00,0.74E+00,0.73E+00,-40.4E+00,3.86E+00,3.84E+00,-144.2E+00,3.25E+00,3.22E+00,87.6E+00,0.13E+03,0.77E+03,0.64E+03,1.54E+03,0.17E+03,0.87E+03,0.78E+03,1.82E+03,0.12E+03,0.39E+03,0.44E+03,0.96E+03,0.737E+00,0.892E+00,0.822E+00,0.847E+00,0.261E+03,0.000E+03,0.164E+03,-0.000E+03,0.00000E+00,0.129E+03,0.000E+03,0.080E+03,0.000E+03,1.54E+03,0.00E+03,0.96E+03,0.00E+03,0.850E+00
2023-01-01 00:15:00,0000:15:00,00000000,50.00E+00,232.6E+00,232.6E+00,0.0E+00,225.1E+00,225.1E+00,-118.4E+00,240.2E+00,240.2E+00,121.4E+00,0.00E+00,0.00E+00,-2.3E+00,1.49E+00,1.48E+00,-143.5E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.30E+03,0.00E+03,0.30E+03,0.00E+03,0.33E+03,0.00E+03,0.33E+03,0.00E+03,0.15E+03,0.00E+03,0.15E+03,0.000E+99,0.896E+00,0.000E+99,0.896E+00,0.286E+03,0.000E+03,0.177E+03,-0.000E+03,0.00000E+00,0.025E+03,0.000E+03,0.012E+03,-0.000E+03,0.30E+03,0.00E+03,0.15E+03,-0.00E+03,0.898E+00
2023-01-01 00:20:00,0000:20:00,00000000,49.99E+00,232.5E+00,232.5E+00,0.0E+00,224.9E+00,224.9E+00,-118.4E+00,240.0E+00,240.0E+00,121.4E+00,0.00E+00,0.00E+00,-2.4E+00,2.35E+00,2.33E+00,-144.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.47E+03,0.00E+03,0.47E+03,0.00E+03,0.53E+03,0.00E+03,0.53E+03,0.00E+03,0.24E+03,0.00E+03,0.24E+03,0.000E+99,0.893E+00,0.000E+99,0.893E+00,0.325E+03,0.000E+03,0.196E+03,-0.000E+03,0.00000E+00,0.039E+03,0.000E+03,0.020E+03,0.000E+03,0.47E+03,0.00E+03,0.24E+03,0.00E+03,0.893E+00
2023-01-01 00:25:00,0000:25:00,00000000,49.99E+00,232.6E+00,232.5E+00,0.0E+00,225.0E+00,225.0E+00,-118.4E+00,240.1E+00,240.0E+00,121.4E+00,0.00E+00,0.00E+00,-2.3E+00,3.68E+00,3.66E+00,-144.2E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.74E+03,0.00E+03,0.74E+03,0.00E+03,0.83E+03,0.00E+03,0.83E+03,0.00E+03,0.37E+03,0.00E+03,0.37E+03,0.000E+99,0.893E+00,0.000E+99,0.893E+00,0.387E+03,0.000E+03,0.227E+03,-0.000E+03,0.00000E+00,0.062E+03,0.000E+03,0.031E+03,-0.000E+03,0.74E+03,0.00E+03,0.37E+03,-0.00E+03,0.894E+00
2023-01-01 00:30:00,0000:30:00,00000000,49.97E+00,232.5E+00,232.5E+00,0.0E+00,225.1E+00,225.0E+00,-118.3E+00,240.1E+00,240.1E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,3.86E+00,3.83E+00,-144.1E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.77E+03,0.00E+03,0.77E+03,0.00E+03,0.87E+03,0.00E+03,0.87E+03,0.00E+03,0.39E+03,0.00E+03,0.39E+03,0.000E+99,0.891E+00,0.000E+99,0.891E+00,0.451E+03,0.000E+03,0.260E+03,-0.000E+03,0.00000E+00,0.064E+03,0.000E+03,0.032E+03,-0.000E+03,0.77E+03,0.00E+03,0.39E+03,-0.00E+03,0.893E+00
2023-01-01 00:35:00,0000:35:00,00000000,49.96E+00,232.7E+00,232.6E+00,0.0E+00,225.3E+00,225.3E+00,-118.4E+00,240.1E+00,240.0E+00,121.3E+00,0.00E+00,0.00E+00,-2.2E+00,2.56E+00,2.53E+00,-144.0E+00,2.24E+00,2.21E+00,90.5E+00,0.00E+03,0.51E+03,0.46E+03,0.97E+03,0.00E+03,0.57E+03,0.54E+03,1.11E+03,0.00E+03,0.26E+03,0.28E+03,0.54E+03,0.000E+99,0.892E+00,0.848E+00,0.871E+00,0.532E+03,0.000E+03,0.305E+03,-0.000E+03,0.00000E+00,0.081E+03,0.000E+03,0.045E+03,0.000E+03,0.97E+03,0.00E+03,0.54E+03,0.00E+03,0.872E+00
2023-01-01 00:40:00,0000:40:00,00000000,49.98E+00,232.6E+00,232.5E+00,0.0E+00,225.4E+00,225.4E+00,-118.4E+00,240.0E+00,240.0E+00,121.4E+00,0.79E+00,0.77E+00,-40.7E+00,1.31E+00,1.30E+00,-145.4E+00,2.72E+00,2.69E+00,90.1E+00,0.13E+03,0.26E+03,0.55E+03,0.95E+03,0.18E+03,0.29E+03,0.65E+03,1.13E+03,0.12E+03,0.14E+03,0.35E+03,0.61E+03,0.732E+00,0.884E+00,0.845E+00,0.837E+00,0.610E+03,0.000E+03,0.356E+03,-0.000E+03,0.00000E+00,0.079E+03,0.000E+03,0.051E+03,0.000E+03,0.95E+03,0.00E+03,0.61E+03,0.00E+03,0.840E+00
2023-01-01 00:45:00,0000:45:00,00000000,50.03E+00,232.5E+00,232.5E+00,0.0E+00,225.2E+00,225.2E+00,-118.5E+00,240.1E+00,240.1E+00,121.3E+00,2.42E+00,2.38E+00,-40.3E+00,3.79E+00,3.76E+00,-144.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.41E+03,0.76E+03,0.00E+03,1.17E+03,0.56E+03,0.85E+03,0.00E+03,1.41E+03,0.38E+03,0.38E+03,0.00E+03,0.77E+03,0.732E+00,0.894E+00,0.000E+99,0.829E+00,0.708E+03,0.000E+03,0.420E+03,-0.000E+03,0.00000E+00,0.098E+03,0.000E+03,0.064E+03,-0.000E+03,1.17E+03,0.00E+03,0.77E+03,-0.00E+03,0.835E+00
