"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-02-12 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-02-12 00:00:00
2023-02-12 00:05:00,0000:05:00,00000000,49.99E+00,233.2E+00,233.1E+00,0.0E+00,226.2E+00,226.2E+00,-118.9E+00,239.5E+00,239.4E+00,121.0E+00,5.93E+00,5.90E+00,-43.3E+00,4.76E+00,4.73E+00,-145.2E+00,3.30E+00,3.26E+00,84.8E+00,1.00E+03,0.96E+03,0.63E+03,2.59E+03,1.38E+03,1.08E+03,0.79E+03,3.25E+03,0.95E+03,0.49E+03,0.48E+03,1.96E+03,0.724E+00,0.890E+00,0.796E+00,0.796E+00,0.216E+03,0.000E+03,0.163E+03,0.000E+03,0.00000E+00,0.216E+03,0.000E+03,0.163E+03,0.000E+03,2.59E+03,0.00E+03,1.96E+03,0.00E+03,0.798E+00
2023-02-12 00:10:00,0000:10:00,00000000,50.00E+00,233.3E+00,233.3E+00,0.0E+00,226.6E+00,226.5E+00,-118.9E+00,239.6E+00,239.6E+00,121.0E+00,5.88E+00,5.85E+00,-43.5E+00,0.31E+00,0.31E+00,-143.1E+00,3.79E+00,3.75E+00,81.4E+00,0.99E+03,0.06E+03,0.69E+03,1.74E+03,1.37E+03,0.07E+03,0.91E+03,2.35E+03,0.95E+03,0.03E+03,0.59E+03,1.58E+03,0.722E+00,0.878E+00,0.762E+00,0.742E+00,0.361E+03,0.000E+03,0.294E+03,0.000E+03,0.00000E+00,0.145E+03,0.000E+03,0.131E+03,0.000E+03,1.74E+03,0.00E+03,1.58E+03,0.00E+03,0.742E+00
2023-02-12 00:15:00,0000:15:00,00000000,50.00E+00,233.7E+00,233.6E+00,0.0E+00,226.3E+00,226.2E+00,-118.9E+00,239.5E+00,239.5E+00,121.0E+00,0.64E+00,0.64E+00,-43.5E+00,4.42E+00,4.39E+00,-145.4E+00,3.60E+00,3.56E+00,82.2E+00,0.11E+03,0.89E+03,0.66E+03,1.66E+03,0.15E+03,1.00E+03,0.86E+03,2.01E+03,0.10E+03,0.46E+03,0.55E+03,1.13E+03,0.719E+00,0.889E+00,0.770E+00,0.825E+00,0.499E+03,0.000E+03,0.388E+03,0.000E+03,0.00000E+00,0.138E+03,0.000E+03,0.094E+03,0.000E+03,1.66E+03,0.00E+03,1.13E+03,0.00E+03,0.827E+00
2023-02-12 00:20:00,0000:20:00,00000000,50.00E+00,233.5E+00,233.5E+00,0.0E+00,226.2E+00,226.1E+00,-118.9E+00,239.5E+00,239.5E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,4.07E+00,4.04E+00,-144.8E+00,3.16E+00,3.12E+00,85.0E+00,0.00E+03,0.82E+03,0.60E+03,1.42E+03,0.00E+03,0.92E+03,0.76E+03,1.68E+03,0.00E+03,0.41E+03,0.46E+03,0.88E+03,0.000E+99,0.892E+00,0.797E+00,0.849E+00,0.618E+03,0.000E+03,0.462E+03,0.000E+03,0.00000E+00,0.119E+03,0.000E+03,0.073E+03,0.000E+03,1.42E+03,0.00E+03,0.88E+03,0.00E+03,0.851E+00
2023-02-12 00:25:00,0000:25:00,00000000,50.00E+00,233.1E+00,233.1E+00,0.0E+00,226.3E+00,226.2E+00,-118.9E+00,239.6E+00,239.6E+00,121.0E+00,5.05E+00,5.02E+00,-43.0E+00,0.70E+00,0.70E+00,-147.5E+00,2.85E+00,2.81E+00,86.9E+00,0.86E+03,0.14E+03,0.56E+03,1.55E+03,1.18E+03,0.16E+03,0.68E+03,2.02E+03,0.81E+03,0.08E+03,0.40E+03,1.29E+03,0.727E+00,0.869E+00,0.814E+00,0.767E+00,0.747E+03,0.000E+03,0.569E+03,0.000E+03,0.00000E+00,0.129E+03,0.000E+03,0.108E+03,0.000E+03,1.55E+03,0.00E+03,1.29E+03,0.00E+03,0.768E+00
2023-02-12 00:30:00,0000:30:00,00000000,50.00E+00,233.4E+00,233.3E+00,0.0E+00,226.0E+00,226.0E+00,-118.9E+00,239.6E+00,239.6E+00,121.0E+00,4.62E+00,4.60E+00,-43.5E+00,4.75E+00,4.71E+00,-145.1E+00,2.78E+00,2.73E+00,87.6E+00,0.78E+03,0.95E+03,0.55E+03,2.28E+03,1.08E+03,1.07E+03,0.67E+03,2.81E+03,0.75E+03,0.49E+03,0.38E+03,1.65E+03,0.722E+00,0.889E+00,0.821E+00,0.809E+00,0.937E+03,0.000E+03,0.707E+03,0.000E+03,0.00000E+00,0.190E+03,0.000E+03,0.138E+03,0.000E+03,2.28E+03,0.00E+03,1.65E+03,0.00E+03,0.810E+00
2023-02-12 00:35:00,0000:35:00,00000000,49.99E+00,233.7E+00,233.6E+00,0.0E+00,226.4E+00,226.4E+00,-118.9E+00,239.4E+00,239.4E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,1.99E+00,1.98E+00,-144.9E+00,2.77E+00,2.73E+00,87.6E+00,0.00E+03,0.40E+03,0.55E+03,0.95E+03,0.00E+03,0.45E+03,0.66E+03,1.11E+03,0.00E+03,0.20E+03,0.38E+03,0.59E+03,0.000E+99,0.890E+00,0.821E+00,0.849E+00,1.015E+03,0.000E+03,0.756E+03,0.000E+03,0.00000E+00,0.079E+03,0.000E+03,0.049E+03,0.000E+03,0.95E+03,0.00E+03,0.59E+03,0.00E+03,0.850E+00
2023-02-12 00:40:00,0000:40:00,00000000,50.00E+00,233.9E+00,233.8E+00,0.0E+00,226.4E+00,226.3E+00,-118.9E+00,239.6E+00,239.5E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,2.79E+00,2.78E+00,-145.6E+00,2.77E+00,2.73E+00,87.7E+00,0.00E+03,0.56E+03,0.55E+03,1.11E+03,0.00E+03,0.63E+03,0.66E+03,1.30E+03,0.00E+03,0.29E+03,0.38E+03,0.67E+03,0.000E+99,0.888E+00,0.822E+00,0.854E+00,1.108E+03,0.000E+03,0.812E+03,0.000E+03,0.00000E+00,0.092E+03,0.000E+03,0.056E+03,0.000E+03,1.11E+03,0.00E+03,0.67E+03,0.00E+03,0.855E+00
2023-02-12 00:45:00,0000:45:00,00000000,50.00E+00,233.5E+00,233.5E+00,0.0E+00,226.3E+00,226.2E+00,-118.9E+00,239.8E+00,239.7E+00,121.0E+00,5.25E+00,5.23E+00,-42.9E+00,4.77E+00,4.73E+00,-145.4E+00,3.15E+00,3.11E+00,84.8E+00,0.89E+03,0.96E+03,0.60E+03,2.45E+03,1.23E+03,1.08E+03,0.75E+03,3.06E+03,0.84E+03,0.49E+03,0.46E+03,1.83E+03,0.728E+00,0.888E+00,0.795E+00,0.801E+00,1.312E+03,0.000E+03,0.964E+03,0.000E+03,0.00000E+00,0.204E+03,0.000E+03,0.152E+03,0.000E+03,2.45E+03,0.00E+03,1.83E+03,0.00E+03,0.802E+00
