"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-04-15 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-04-15 00:00:00
2023-04-15 00:05:00,0000:05:00,00000000,50.01E+00,232.0E+00,232.0E+00,0.0E+00,223.9E+00,223.9E+00,-118.6E+00,238.8E+00,238.7E+00,121.2E+00,3.20E+00,3.18E+00,-43.5E+00,14.05E+00,14.02E+00,-134.8E+00,3.23E+00,3.20E+00,83.4E+00,0.53E+03,3.02E+03,0.60E+03,4.15E+03,0.74E+03,3.15E+03,0.77E+03,4.66E+03,0.51E+03,0.90E+03,0.48E+03,2.10E+03,0.721E+00,0.958E+00,0.781E+00,0.891E+00,0.346E+03,0.000E+03,0.175E+03,0.000E+03,0.00000E+00,0.346E+03,0.000E+03,0.175E+03,0.000E+03,4.15E+03,0.00E+03,2.10E+03,0.00E+03,0.893E+00
2023-04-15 00:10:00,0000:10:00,00000000,50.00E+00,232.0E+00,232.0E+00,0.0E+00,223.9E+00,223.8E+00,-118.6E+00,238.6E+00,238.6E+00,121.2E+00,0.00E+00,0.00E+00,-2.3E+00,12.95E+00,12.93E+00,-129.0E+00,2.96E+00,2.92E+00,84.9E+00,0.00E+03,2.82E+03,0.56E+03,3.38E+03,0.00E+03,2.90E+03,0.71E+03,3.61E+03,0.00E+03,0.52E+03,0.43E+03,1.25E+03,0.000E+99,0.972E+00,0.795E+00,0.937E+00,0.628E+03,0.000E+03,0.279E+03,0.000E+03,0.00000E+00,0.282E+03,0.000E+03,0.104E+03,0.000E+03,3.38E+03,0.00E+03,1.25E+03,0.00E+03,0.938E+00
2023-04-15 00:15:00,0000:15:00,00000000,50.00E+00,231.9E+00,231.9E+00,0.0E+00,224.7E+00,224.7E+00,-118.6E+00,238.8E+00,238.8E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,3.58E+00,3.57E+00,-118.4E+00,2.81E+00,2.77E+00,85.0E+00,0.00E+03,0.80E+03,0.53E+03,1.33E+03,0.00E+03,0.80E+03,0.67E+03,1.47E+03,0.00E+03,0.00E+03,0.41E+03,0.59E+03,0.000E+99,-0.997E+00,0.795E+00,0.905E+00,0.739E+03,0.000E+03,0.328E+03,0.000E+03,0.00000E+00,0.111E+03,0.000E+03,0.049E+03,0.000E+03,1.33E+03,0.00E+03,0.59E+03,0.00E+03,0.914E+00
2023-04-15 00:20:00,0000:20:00,00000000,50.00E+00,231.9E+00,231.9E+00,0.0E+00,225.0E+00,225.0E+00,-118.6E+00,239.0E+00,239.0E+00,121.3E+00,4.71E+00,4.69E+00,-43.4E+00,2.24E+00,2.22E+00,-122.1E+00,2.81E+00,2.77E+00,85.0E+00,0.79E+03,0.50E+03,0.53E+03,1.82E+03,1.09E+03,0.50E+03,0.67E+03,2.27E+03,0.76E+03,0.07E+03,0.41E+03,1.35E+03,0.722E+00,0.990E+00,0.795E+00,0.803E+00,0.891E+03,0.000E+03,0.441E+03,0.000E+03,0.00000E+00,0.152E+03,0.000E+03,0.112E+03,0.000E+03,1.82E+03,0.00E+03,1.35E+03,0.00E+03,0.804E+00
2023-04-15 00:25:00,0000:25:00,00000000,49.99E+00,231.9E+00,231.9E+00,0.0E+00,225.0E+00,225.0E+00,-118.6E+00,239.1E+00,239.1E+00,121.3E+00,2.78E+00,2.76E+00,-44.0E+00,2.25E+00,2.23E+00,-121.7E+00,0.96E+00,0.95E+00,85.0E+00,0.46E+03,0.50E+03,0.18E+03,1.14E+03,0.64E+03,0.51E+03,0.23E+03,1.38E+03,0.45E+03,0.07E+03,0.14E+03,0.72E+03,0.716E+00,0.990E+00,0.794E+00,0.830E+00,0.986E+03,0.000E+03,0.501E+03,0.000E+03,0.00000E+00,0.095E+03,0.000E+03,0.060E+03,0.000E+03,1.14E+03,0.00E+03,0.72E+03,0.00E+03,0.847E+00
2023-04-15 00:30:00,0000:30:00,00000000,50.00E+00,232.3E+00,232.3E+00,0.0E+00,225.1E+00,225.1E+00,-118.6E+00,239.1E+00,239.1E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,2.26E+00,2.24E+00,-121.5E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.50E+03,0.00E+03,0.50E+03,0.00E+03,0.51E+03,0.00E+03,0.51E+03,0.00E+03,0.07E+03,0.00E+03,0.07E+03,0.000E+99,0.990E+00,0.000E+99,0.990E+00,1.028E+03,0.000E+03,0.506E+03,0.000E+03,0.00000E+00,0.042E+03,0.000E+03,0.006E+03,0.000E+03,0.50E+03,0.00E+03,0.07E+03,0.00E+03,0.990E+00
2023-04-15 00:35:00,0000:35:00,00000000,49.99E+00,232.4E+00,232.4E+00,0.0E+00,225.1E+00,225.0E+00,-118.5E+00,239.4E+00,239.3E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,2.26E+00,2.24E+00,-121.4E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.50E+03,0.00E+03,0.50E+03,0.00E+03,0.51E+03,0.00E+03,0.51E+03,0.00E+03,0.07E+03,0.00E+03,0.07E+03,0.000E+99,0.989E+00,0.000E+99,0.989E+00,1.070E+03,0.000E+03,0.513E+03,0.000E+03,0.00000E+00,0.042E+03,0.000E+03,0.006E+03,0.000E+03,0.50E+03,0.00E+03,0.07E+03,0.00E+03,0.990E+00
2023-04-15 00:40:00,0000:40:00,00000000,50.00E+00,232.3E+00,232.2E+00,0.0E+00,225.1E+00,225.1E+00,-118.6E+00,239.7E+00,239.7E+00,121.3E+00,4.57E+00,4.55E+00,-42.6E+00,2.26E+00,2.24E+00,-121.5E+00,0.00E+00,0.00E+00,-2.3E+00,0.78E+03,0.50E+03,0.00E+03,1.28E+03,1.06E+03,0.51E+03,0.00E+03,1.57E+03,0.72E+03,0.07E+03,0.00E+03,0.89E+03,0.731E+00,0.989E+00,0.000E+99,0.815E+00,1.176E+03,0.000E+03,0.586E+03,0.000E+03,0.00000E+00,0.107E+03,0.000E+03,0.074E+03,0.000E+03,1.28E+03,0.00E+03,0.89E+03,0.00E+03,0.822E+00
2023-04-15 00:45:00,0000:45:00,00000000,50.00E+00,232.5E+00,232.5E+00,0.0E+00,225.2E+00,225.2E+00,-118.5E+00,239.7E+00,239.7E+00,121.3E+00,3.00E+00,2.99E+00,-43.7E+00,2.26E+00,2.24E+00,-121.4E+00,1.73E+00,1.69E+00,98.7E+00,0.50E+03,0.50E+03,0.37E+03,1.38E+03,0.70E+03,0.51E+03,0.41E+03,1.62E+03,0.48E+03,0.07E+03,0.18E+03,0.82E+03,0.719E+00,0.990E+00,0.902E+00,0.851E+00,1.291E+03,0.000E+03,0.655E+03,0.000E+03,0.00000E+00,0.115E+03,0.000E+03,0.068E+03,0.000E+03,1.38E+03,0.00E+03,0.82E+03,0.00E+03,0.860E+00
