"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-04-29 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-04-29 00:00:00
2023-04-29 00:05:00,0000:05:00,00000000,49.99E+00,230.8E+00,230.7E+00,0.0E+00,223.2E+00,223.2E+00,-118.5E+00,237.4E+00,237.4E+00,121.2E+00,0.00E+00,0.00E+00,-2.3E+00,2.26E+00,2.24E+00,-122.9E+00,1.31E+00,1.29E+00,86.6E+00,0.00E+03,0.50E+03,0.25E+03,0.75E+03,0.00E+03,0.50E+03,0.31E+03,0.82E+03,0.00E+03,0.08E+03,0.18E+03,0.29E+03,0.000E+99,0.988E+00,0.806E+00,0.919E+00,0.062E+03,0.000E+03,0.024E+03,0.000E+03,0.00000E+00,0.062E+03,0.000E+03,0.024E+03,0.000E+03,0.75E+03,0.00E+03,0.29E+03,0.00E+03,0.931E+00
2023-04-29 00:10:00,0000:10:00,00000000,50.01E+00,230.8E+00,230.8E+00,0.0E+00,223.4E+00,223.3E+00,-118.5E+00,237.7E+00,237.7E+00,121.2E+00,1.00E+00,1.00E+00,-42.9E+00,2.26E+00,2.24E+00,-122.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.17E+03,0.50E+03,0.00E+03,0.67E+03,0.23E+03,0.51E+03,0.00E+03,0.74E+03,0.16E+03,0.08E+03,0.00E+03,0.25E+03,0.724E+00,0.989E+00,0.000E+99,0.905E+00,0.118E+03,0.000E+03,0.046E+03,0.000E+03,0.00000E+00,0.056E+03,0.000E+03,0.021E+03,0.000E+03,0.67E+03,0.00E+03,0.25E+03,0.00E+03,0.934E+00
2023-04-29 00:15:00,0000:15:00,00000000,50.00E+00,230.8E+00,230.7E+00,0.0E+00,223.8E+00,223.7E+00,-118.6E+00,237.9E+00,237.9E+00,121.2E+00,4.22E+00,4.20E+00,-44.3E+00,2.26E+00,2.25E+00,-122.9E+00,0.17E+00,0.15E+00,144.3E+00,0.69E+03,0.50E+03,0.03E+03,1.23E+03,0.97E+03,0.51E+03,0.04E+03,1.52E+03,0.68E+03,0.07E+03,-0.02E+03,0.81E+03,0.712E+00,0.989E+00,-0.807E+00,0.807E+00,0.220E+03,0.000E+03,0.116E+03,-0.003E+03,0.00000E+00,0.102E+03,0.000E+03,0.070E+03,-0.003E+03,1.23E+03,0.00E+03,0.84E+03,-0.04E+03,0.825E+00
2023-04-29 00:20:00,0000:20:00,00000000,50.00E+00,231.1E+00,231.0E+00,0.0E+00,223.9E+00,223.8E+00,-118.5E+00,238.1E+00,238.0E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,2.26E+00,2.25E+00,-122.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.50E+03,0.00E+03,0.50E+03,0.00E+03,0.51E+03,0.00E+03,0.51E+03,0.00E+03,0.07E+03,0.00E+03,0.07E+03,0.000E+99,0.989E+00,0.000E+99,0.989E+00,0.262E+03,0.000E+03,0.122E+03,-0.003E+03,0.00000E+00,0.042E+03,0.000E+03,0.006E+03,0.000E+03,0.50E+03,0.00E+03,0.07E+03,0.00E+03,0.989E+00
2023-04-29 00:25:00,0000:25:00,00000000,50.00E+00,231.1E+00,231.0E+00,0.0E+00,223.9E+00,223.9E+00,-118.5E+00,237.8E+00,237.8E+00,121.2E+00,0.00E+00,0.00E+00,-2.3E+00,2.27E+00,2.25E+00,-122.9E+00,1.93E+00,1.89E+00,91.9E+00,0.00E+03,0.50E+03,0.39E+03,0.89E+03,0.00E+03,0.51E+03,0.46E+03,0.97E+03,0.00E+03,0.08E+03,0.24E+03,0.35E+03,0.000E+99,0.989E+00,0.851E+00,0.923E+00,0.336E+03,0.000E+03,0.151E+03,-0.003E+03,0.00000E+00,0.074E+03,0.000E+03,0.030E+03,0.000E+03,0.89E+03,0.00E+03,0.35E+03,0.00E+03,0.929E+00
2023-04-29 00:30:00,0000:30:00,00000000,50.00E+00,231.0E+00,230.9E+00,0.0E+00,223.9E+00,223.9E+00,-118.5E+00,237.9E+00,237.9E+00,121.2E+00,0.69E+00,0.69E+00,-43.3E+00,2.61E+00,2.59E+00,-125.5E+00,3.00E+00,2.93E+00,90.3E+00,0.11E+03,0.57E+03,0.60E+03,1.28E+03,0.16E+03,0.58E+03,0.71E+03,1.46E+03,0.11E+03,0.11E+03,0.39E+03,0.68E+03,0.720E+00,0.978E+00,0.838E+00,0.881E+00,0.443E+03,0.000E+03,0.208E+03,-0.003E+03,0.00000E+00,0.107E+03,0.000E+03,0.057E+03,0.000E+03,1.28E+03,0.00E+03,0.68E+03,0.00E+03,0.883E+00
2023-04-29 00:35:00,0000:35:00,00000000,50.00E+00,231.0E+00,230.9E+00,0.0E+00,223.4E+00,223.3E+00,-118.6E+00,238.0E+00,237.9E+00,121.1E+00,4.63E+00,4.61E+00,-43.4E+00,9.72E+00,9.66E+00,-141.0E+00,3.08E+00,2.99E+00,90.8E+00,0.77E+03,2.00E+03,0.61E+03,3.38E+03,1.07E+03,2.17E+03,0.73E+03,3.97E+03,0.74E+03,0.85E+03,0.40E+03,2.08E+03,0.723E+00,0.919E+00,0.837E+00,0.851E+00,0.725E+03,0.000E+03,0.381E+03,-0.003E+03,0.00000E+00,0.282E+03,0.000E+03,0.173E+03,0.000E+03,3.38E+03,0.00E+03,2.08E+03,0.00E+03,0.852E+00
2023-04-29 00:40:00,0000:40:00,00000000,50.00E+00,231.2E+00,231.2E+00,0.0E+00,223.6E+00,223.6E+00,-118.5E+00,237.9E+00,237.8E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,8.03E+00,7.96E+00,-149.1E+00,2.89E+00,2.83E+00,89.1E+00,0.00E+03,1.50E+03,0.57E+03,2.07E+03,0.00E+03,1.80E+03,0.69E+03,2.48E+03,0.00E+03,0.92E+03,0.39E+03,1.32E+03,0.000E+99,0.838E+00,0.827E+00,0.835E+00,0.898E+03,0.000E+03,0.492E+03,-0.003E+03,0.00000E+00,0.173E+03,0.000E+03,0.110E+03,0.000E+03,2.07E+03,0.00E+03,1.32E+03,0.00E+03,0.843E+00
2023-04-29 00:45:00,0000:45:00,00000000,50.00E+00,231.3E+00,231.2E+00,0.0E+00,223.7E+00,223.7E+00,-118.5E+00,237.9E+00,237.9E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,7.87E+00,7.81E+00,-150.3E+00,2.87E+00,2.80E+00,88.8E+00,0.00E+03,1.46E+03,0.56E+03,2.02E+03,0.00E+03,1.76E+03,0.68E+03,2.44E+03,0.00E+03,0.93E+03,0.39E+03,1.33E+03,0.000E+99,0.828E+00,0.825E+00,0.827E+00,1.066E+03,0.000E+03,0.603E+03,-0.003E+03,0.00000E+00,0.168E+03,0.000E+03,0.111E+03,0.000E+03,2.02E+03,0.00E+03,1.33E+03,0.00E+03,0.835E+00
