"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-03-05 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-03-05 00:00:00
2023-03-05 00:05:00,0000:05:00,00000000,50.00E+00,232.6E+00,232.6E+00,0.0E+00,226.0E+00,226.0E+00,-118.7E+00,239.8E+00,239.7E+00,121.1E+00,5.96E+00,5.93E+00,-43.3E+00,3.38E+00,3.36E+00,-144.5E+00,3.26E+00,3.23E+00,82.5E+00,1.00E+03,0.68E+03,0.60E+03,2.29E+03,1.39E+03,0.76E+03,0.78E+03,2.93E+03,0.96E+03,0.34E+03,0.50E+03,1.82E+03,0.723E+00,0.892E+00,0.773E+00,0.780E+00,0.191E+03,0.000E+03,0.152E+03,0.000E+03,0.00000E+00,0.191E+03,0.000E+03,0.152E+03,0.000E+03,2.29E+03,0.00E+03,1.82E+03,0.00E+03,0.782E+00
2023-03-05 00:10:00,0000:10:00,00000000,50.00E+00,232.5E+00,232.4E+00,0.0E+00,226.0E+00,226.0E+00,-118.7E+00,239.7E+00,239.6E+00,121.1E+00,5.82E+00,5.79E+00,-42.9E+00,3.38E+00,3.36E+00,-144.7E+00,3.28E+00,3.25E+00,82.8E+00,0.98E+03,0.68E+03,0.61E+03,2.28E+03,1.35E+03,0.76E+03,0.79E+03,2.90E+03,0.93E+03,0.34E+03,0.50E+03,1.79E+03,0.728E+00,0.891E+00,0.776E+00,0.784E+00,0.380E+03,0.000E+03,0.302E+03,0.000E+03,0.00000E+00,0.190E+03,0.000E+03,0.149E+03,0.000E+03,2.28E+03,0.00E+03,1.79E+03,0.00E+03,0.785E+00
2023-03-05 00:15:00,0000:15:00,00000000,50.01E+00,232.8E+00,232.7E+00,0.0E+00,226.1E+00,226.1E+00,-118.7E+00,239.7E+00,239.7E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.46E+00,3.44E+00,-144.6E+00,3.25E+00,3.21E+00,82.4E+00,0.00E+03,0.70E+03,0.60E+03,1.30E+03,0.00E+03,0.78E+03,0.78E+03,1.56E+03,0.00E+03,0.35E+03,0.50E+03,0.86E+03,0.000E+99,0.891E+00,0.771E+00,0.831E+00,0.488E+03,0.000E+03,0.373E+03,0.000E+03,0.00000E+00,0.108E+03,0.000E+03,0.072E+03,0.000E+03,1.30E+03,0.00E+03,0.86E+03,0.00E+03,0.833E+00
2023-03-05 00:20:00,0000:20:00,00000000,49.99E+00,232.8E+00,232.7E+00,0.0E+00,226.2E+00,226.2E+00,-118.7E+00,240.0E+00,240.0E+00,121.1E+00,2.74E+00,2.72E+00,-42.7E+00,3.36E+00,3.34E+00,-144.5E+00,3.24E+00,3.21E+00,82.0E+00,0.46E+03,0.68E+03,0.60E+03,1.74E+03,0.64E+03,0.76E+03,0.78E+03,2.18E+03,0.44E+03,0.34E+03,0.50E+03,1.30E+03,0.728E+00,0.892E+00,0.767E+00,0.799E+00,0.633E+03,0.000E+03,0.482E+03,0.000E+03,0.00000E+00,0.145E+03,0.000E+03,0.109E+03,0.000E+03,1.74E+03,0.00E+03,1.30E+03,0.00E+03,0.800E+00
2023-03-05 00:25:00,0000:25:00,00000000,49.99E+00,232.4E+00,232.4E+00,0.0E+00,226.3E+00,226.2E+00,-118.7E+00,239.9E+00,239.8E+00,121.1E+00,5.97E+00,5.94E+00,-42.9E+00,2.47E+00,2.45E+00,-144.8E+00,3.18E+00,3.15E+00,82.3E+00,1.01E+03,0.50E+03,0.59E+03,2.09E+03,1.39E+03,0.56E+03,0.76E+03,2.71E+03,0.95E+03,0.25E+03,0.49E+03,1.71E+03,0.728E+00,0.889E+00,0.770E+00,0.773E+00,0.808E+03,0.000E+03,0.624E+03,0.000E+03,0.00000E+00,0.174E+03,0.000E+03,0.143E+03,0.000E+03,2.09E+03,0.00E+03,1.71E+03,0.00E+03,0.774E+00
2023-03-05 00:30:00,0000:30:00,00000000,50.00E+00,232.7E+00,232.7E+00,0.0E+00,226.4E+00,226.3E+00,-118.7E+00,239.7E+00,239.6E+00,121.1E+00,1.07E+00,1.07E+00,-43.1E+00,2.33E+00,2.31E+00,-144.9E+00,2.84E+00,2.81E+00,84.3E+00,0.18E+03,0.47E+03,0.54E+03,1.18E+03,0.25E+03,0.53E+03,0.68E+03,1.46E+03,0.17E+03,0.24E+03,0.42E+03,0.84E+03,0.725E+00,0.886E+00,0.790E+00,0.813E+00,0.906E+03,0.000E+03,0.694E+03,0.000E+03,0.00000E+00,0.099E+03,0.000E+03,0.070E+03,0.000E+03,1.18E+03,0.00E+03,0.84E+03,0.00E+03,0.815E+00
2023-03-05 00:35:00,0000:35:00,00000000,49.99E+00,232.8E+00,232.8E+00,0.0E+00,226.2E+00,226.1E+00,-118.6E+00,239.8E+00,239.8E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.16E+00,2.15E+00,-145.2E+00,2.84E+00,2.81E+00,84.3E+00,0.00E+03,0.43E+03,0.54E+03,0.97E+03,0.00E+03,0.49E+03,0.68E+03,1.17E+03,0.00E+03,0.22E+03,0.42E+03,0.65E+03,0.000E+99,0.888E+00,0.789E+00,0.830E+00,0.987E+03,0.000E+03,0.748E+03,0.000E+03,0.00000E+00,0.081E+03,0.000E+03,0.054E+03,0.000E+03,0.97E+03,0.00E+03,0.65E+03,0.00E+03,0.832E+00
2023-03-05 00:40:00,0000:40:00,00000000,50.00E+00,232.7E+00,232.6E+00,0.0E+00,226.1E+00,226.1E+00,-118.7E+00,240.0E+00,240.0E+00,121.1E+00,3.97E+00,3.95E+00,-43.1E+00,3.39E+00,3.37E+00,-144.8E+00,2.85E+00,2.81E+00,84.3E+00,0.67E+03,0.68E+03,0.54E+03,1.89E+03,0.92E+03,0.77E+03,0.68E+03,2.37E+03,0.64E+03,0.35E+03,0.42E+03,1.41E+03,0.724E+00,0.890E+00,0.790E+00,0.797E+00,1.145E+03,0.000E+03,0.866E+03,0.000E+03,0.00000E+00,0.157E+03,0.000E+03,0.118E+03,0.000E+03,1.89E+03,0.00E+03,1.41E+03,0.00E+03,0.801E+00
2023-03-05 00:45:00,0000:45:00,00000000,49.99E+00,232.5E+00,232.5E+00,0.0E+00,226.2E+00,226.1E+00,-118.7E+00,240.0E+00,239.9E+00,121.1E+00,5.73E+00,5.70E+00,-43.7E+00,3.36E+00,3.34E+00,-144.7E+00,2.86E+00,2.82E+00,84.4E+00,0.96E+03,0.68E+03,0.54E+03,2.18E+03,1.33E+03,0.76E+03,0.69E+03,2.78E+03,0.93E+03,0.34E+03,0.42E+03,1.72E+03,0.719E+00,0.890E+00,0.790E+00,0.783E+00,1.326E+03,0.000E+03,1.009E+03,0.000E+03,0.00000E+00,0.181E+03,0.000E+03,0.143E+03,0.000E+03,2.18E+03,0.00E+03,1.72E+03,0.00E+03,0.785E+00
