"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-03-21 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-03-21 10:27:50,POWER OFF
2023-03-21 10:27:59,POWER ON
2023-03-21 10:30:00,0010:30:00,10000000,50.00E+00,228.8E+00,228.8E+00,0.0E+00,220.6E+00,220.5E+00,-118.9E+00,233.3E+00,233.3E+00,121.3E+00,21.49E+00,21.45E+00,-19.7E+00,27.32E+00,27.27E+00,-138.8E+00,30.36E+00,30.17E+00,105.1E+00,4.61E+03,5.65E+03,6.75E+03,17.01E+03,4.92E+03,6.03E+03,7.08E+03,18.03E+03,1.69E+03,2.08E+03,2.14E+03,5.93E+03,0.938E+00,0.937E+00,0.953E+00,0.944E+00,80.909E+03,0.000E+03,25.192E+03,-0.234E+03,0.00000E+00,1.375E+03,0.000E+03,0.479E+03,0.000E+03,16.50E+03,0.00E+03,5.75E+03,0.00E+03,0.944E+00
2023-03-21 10:35:00,0010:35:00,00000000,49.99E+00,229.3E+00,229.2E+00,0.0E+00,220.7E+00,220.7E+00,-118.9E+00,233.7E+00,233.7E+00,121.3E+00,20.18E+00,20.13E+00,-19.6E+00,28.76E+00,28.70E+00,-139.3E+00,28.33E+00,28.11E+00,104.8E+00,4.34E+03,5.93E+03,6.29E+03,16.56E+03,4.63E+03,6.35E+03,6.62E+03,17.59E+03,1.58E+03,2.25E+03,2.05E+03,5.90E+03,0.938E+00,0.934E+00,0.950E+00,0.941E+00,82.288E+03,0.000E+03,25.683E+03,-0.234E+03,0.00000E+00,1.380E+03,0.000E+03,0.492E+03,0.000E+03,16.56E+03,0.00E+03,5.90E+03,0.00E+03,0.942E+00
2023-03-21 10:40:00,0010:40:00,00000000,50.01E+00,228.8E+00,228.8E+00,0.0E+00,220.4E+00,220.3E+00,-118.9E+00,232.9E+00,232.8E+00,121.3E+00,15.59E+00,15.53E+00,-27.3E+00,24.37E+00,24.29E+00,-144.9E+00,26.14E+00,25.90E+00,100.3E+00,3.14E+03,4.80E+03,5.61E+03,13.55E+03,3.57E+03,5.37E+03,6.09E+03,15.02E+03,1.65E+03,2.38E+03,2.31E+03,6.38E+03,0.881E+00,0.894E+00,0.922E+00,0.902E+00,83.418E+03,0.000E+03,26.215E+03,-0.234E+03,0.00000E+00,1.129E+03,0.000E+03,0.532E+03,0.000E+03,13.55E+03,0.00E+03,6.38E+03,0.00E+03,0.905E+00
2023-03-21 10:45:00,0010:45:00,00000000,50.00E+00,228.3E+00,228.3E+00,0.0E+00,220.5E+00,220.4E+00,-118.9E+00,232.7E+00,232.7E+00,121.3E+00,17.50E+00,17.43E+00,-32.5E+00,22.05E+00,21.97E+00,-146.8E+00,26.41E+00,26.18E+00,96.3E+00,3.35E+03,4.27E+03,5.52E+03,13.14E+03,3.99E+03,4.86E+03,6.15E+03,15.00E+03,2.17E+03,2.31E+03,2.70E+03,7.22E+03,0.838E+00,0.879E+00,0.898E+00,0.876E+00,84.512E+03,0.000E+03,26.817E+03,-0.234E+03,0.00000E+00,1.095E+03,0.000E+03,0.602E+03,0.000E+03,13.14E+03,0.00E+03,7.22E+03,0.00E+03,0.876E+00
2023-03-21 10:50:00,0010:50:00,00000000,49.99E+00,228.7E+00,228.7E+00,0.0E+00,220.7E+00,220.6E+00,-118.9E+00,233.2E+00,233.2E+00,121.2E+00,22.26E+00,22.20E+00,-30.6E+00,26.31E+00,26.20E+00,-143.4E+00,27.82E+00,27.61E+00,98.7E+00,4.35E+03,5.25E+03,5.94E+03,15.54E+03,5.09E+03,5.80E+03,6.49E+03,17.38E+03,2.61E+03,2.45E+03,2.59E+03,7.71E+03,0.855E+00,0.904E+00,0.915E+00,0.894E+00,85.807E+03,0.000E+03,27.460E+03,-0.234E+03,0.00000E+00,1.295E+03,0.000E+03,0.643E+03,0.000E+03,15.54E+03,0.00E+03,7.71E+03,0.00E+03,0.896E+00
2023-03-21 10:55:00,0010:55:00,00000000,50.00E+00,229.0E+00,229.0E+00,0.0E+00,220.6E+00,220.5E+00,-119.0E+00,233.6E+00,233.6E+00,121.3E+00,18.85E+00,18.78E+00,-35.6E+00,24.18E+00,24.05E+00,-146.7E+00,24.04E+00,23.81E+00,96.4E+00,3.50E+03,4.69E+03,5.04E+03,13.23E+03,4.32E+03,5.33E+03,5.61E+03,15.26E+03,2.53E+03,2.53E+03,2.47E+03,7.61E+03,0.810E+00,0.880E+00,0.898E+00,0.867E+00,86.909E+03,0.000E+03,28.094E+03,-0.234E+03,0.00000E+00,1.102E+03,0.000E+03,0.634E+03,0.000E+03,13.23E+03,0.00E+03,7.61E+03,0.00E+03,0.867E+00
2023-03-21 11:00:00,0011:00:00,00000000,50.01E+00,229.1E+00,229.0E+00,0.0E+00,220.9E+00,220.8E+00,-118.9E+00,233.9E+00,233.9E+00,121.3E+00,18.48E+00,18.42E+00,-35.8E+00,23.91E+00,23.82E+00,-141.8E+00,24.20E+00,23.97E+00,96.3E+00,3.42E+03,4.84E+03,5.08E+03,13.34E+03,4.23E+03,5.28E+03,5.66E+03,15.17E+03,2.49E+03,2.09E+03,2.50E+03,7.22E+03,0.808E+00,0.917E+00,0.897E+00,0.879E+00,88.021E+03,0.000E+03,28.696E+03,-0.234E+03,0.00000E+00,1.111E+03,0.000E+03,0.602E+03,0.000E+03,13.34E+03,0.00E+03,7.22E+03,0.00E+03,0.879E+00
2023-03-21 11:05:00,0011:05:00,00000000,50.00E+00,229.4E+00,229.4E+00,0.0E+00,220.5E+00,220.5E+00,-119.0E+00,233.8E+00,233.8E+00,121.2E+00,14.51E+00,14.44E+00,-32.3E+00,30.35E+00,30.28E+00,-135.1E+00,27.97E+00,27.76E+00,98.1E+00,2.80E+03,6.41E+03,5.95E+03,15.16E+03,3.33E+03,6.69E+03,6.54E+03,16.56E+03,1.80E+03,1.91E+03,2.67E+03,6.62E+03,0.841E+00,0.958E+00,0.911E+00,0.916E+00,89.284E+03,0.000E+03,29.248E+03,-0.234E+03,0.00000E+00,1.263E+03,0.000E+03,0.552E+03,0.000E+03,15.16E+03,0.00E+03,6.62E+03,0.00E+03,0.916E+00
