"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-03-06 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-03-06 00:00:00
2023-03-06 00:05:00,0000:05:00,00000000,50.00E+00,232.3E+00,232.2E+00,0.0E+00,225.3E+00,225.2E+00,-118.6E+00,239.8E+00,239.8E+00,121.1E+00,5.84E+00,5.81E+00,-44.4E+00,2.94E+00,2.92E+00,-144.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.96E+03,0.59E+03,0.00E+03,1.55E+03,1.36E+03,0.66E+03,0.00E+03,2.02E+03,0.95E+03,0.30E+03,0.00E+03,1.28E+03,0.711E+00,0.892E+00,0.000E+99,0.770E+00,0.130E+03,0.000E+03,0.106E+03,0.000E+03,0.00000E+00,0.130E+03,0.000E+03,0.106E+03,0.000E+03,1.55E+03,0.00E+03,1.28E+03,0.00E+03,0.773E+00
2023-03-06 00:10:00,0000:10:00,00000000,50.01E+00,232.6E+00,232.5E+00,0.0E+00,225.3E+00,225.3E+00,-118.6E+00,239.7E+00,239.7E+00,121.1E+00,0.60E+00,0.59E+00,-44.6E+00,2.92E+00,2.90E+00,-144.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.10E+03,0.59E+03,0.00E+03,0.68E+03,0.14E+03,0.66E+03,0.00E+03,0.79E+03,0.10E+03,0.29E+03,0.00E+03,0.39E+03,0.708E+00,0.893E+00,0.000E+99,0.861E+00,0.187E+03,0.000E+03,0.139E+03,-0.000E+03,0.00000E+00,0.057E+03,0.000E+03,0.033E+03,-0.000E+03,0.68E+03,0.00E+03,0.39E+03,-0.00E+03,0.868E+00
2023-03-06 00:15:00,0000:15:00,00000000,49.99E+00,232.6E+00,232.6E+00,0.0E+00,225.3E+00,225.3E+00,-118.6E+00,239.4E+00,239.3E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.90E+00,3.87E+00,-137.3E+00,2.68E+00,2.66E+00,85.0E+00,0.00E+03,0.80E+03,0.51E+03,1.32E+03,0.00E+03,0.88E+03,0.64E+03,1.52E+03,0.00E+03,0.29E+03,0.39E+03,0.74E+03,0.000E+99,0.916E+00,0.799E+00,0.866E+00,0.296E+03,0.000E+03,0.201E+03,-0.000E+03,0.00000E+00,0.110E+03,0.000E+03,0.062E+03,0.000E+03,1.32E+03,0.00E+03,0.74E+03,0.00E+03,0.871E+00
2023-03-06 00:20:00,0000:20:00,00000000,50.01E+00,232.4E+00,232.3E+00,0.0E+00,224.9E+00,224.9E+00,-118.7E+00,239.6E+00,239.6E+00,121.0E+00,5.30E+00,5.28E+00,-44.0E+00,10.62E+00,10.61E+00,-114.9E+00,3.14E+00,3.11E+00,84.5E+00,0.88E+03,2.38E+03,0.60E+03,3.86E+03,1.23E+03,2.39E+03,0.75E+03,4.37E+03,0.86E+03,-0.17E+03,0.46E+03,2.05E+03,0.715E+00,-0.997E+00,0.794E+00,0.883E+00,0.618E+03,0.000E+03,0.371E+03,-0.000E+03,0.00000E+00,0.322E+03,0.000E+03,0.170E+03,0.000E+03,3.86E+03,0.00E+03,2.05E+03,0.00E+03,0.884E+00
2023-03-06 00:25:00,0000:25:00,00000000,49.99E+00,232.6E+00,232.5E+00,0.0E+00,225.0E+00,224.9E+00,-118.7E+00,239.6E+00,239.6E+00,121.0E+00,0.91E+00,0.90E+00,-44.3E+00,10.55E+00,10.55E+00,-114.9E+00,2.91E+00,2.87E+00,84.9E+00,0.15E+03,2.37E+03,0.56E+03,3.07E+03,0.21E+03,2.37E+03,0.70E+03,3.28E+03,0.15E+03,-0.17E+03,0.42E+03,1.12E+03,0.711E+00,-0.997E+00,0.797E+00,0.936E+00,0.874E+03,0.000E+03,0.465E+03,-0.000E+03,0.00000E+00,0.256E+03,0.000E+03,0.094E+03,0.000E+03,3.07E+03,0.00E+03,1.12E+03,0.00E+03,0.939E+00
2023-03-06 00:30:00,0000:30:00,00000000,50.00E+00,232.7E+00,232.6E+00,0.0E+00,225.1E+00,225.1E+00,-118.6E+00,239.5E+00,239.4E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,6.54E+00,6.51E+00,-131.0E+00,2.87E+00,2.83E+00,84.5E+00,0.00E+03,1.40E+03,0.54E+03,1.95E+03,0.00E+03,1.47E+03,0.69E+03,2.16E+03,0.00E+03,0.32E+03,0.42E+03,0.90E+03,0.000E+99,0.955E+00,0.792E+00,0.903E+00,1.036E+03,0.000E+03,0.540E+03,-0.000E+03,0.00000E+00,0.162E+03,0.000E+03,0.075E+03,0.000E+03,1.95E+03,0.00E+03,0.90E+03,0.00E+03,0.908E+00
2023-03-06 00:35:00,0000:35:00,00000000,50.00E+00,232.8E+00,232.8E+00,0.0E+00,225.0E+00,224.9E+00,-118.6E+00,239.6E+00,239.5E+00,121.0E+00,3.03E+00,3.01E+00,-44.0E+00,10.12E+00,10.07E+00,-141.1E+00,2.84E+00,2.81E+00,83.9E+00,0.50E+03,2.09E+03,0.54E+03,3.13E+03,0.70E+03,2.28E+03,0.68E+03,3.66E+03,0.49E+03,0.90E+03,0.42E+03,1.89E+03,0.714E+00,0.919E+00,0.787E+00,0.855E+00,1.297E+03,0.000E+03,0.697E+03,-0.000E+03,0.00000E+00,0.261E+03,0.000E+03,0.157E+03,0.000E+03,3.13E+03,0.00E+03,1.89E+03,0.00E+03,0.856E+00
2023-03-06 00:40:00,0000:40:00,00000000,49.99E+00,232.7E+00,232.7E+00,0.0E+00,225.4E+00,225.4E+00,-118.7E+00,239.6E+00,239.6E+00,121.0E+00,2.94E+00,2.93E+00,-44.5E+00,7.14E+00,7.10E+00,-143.1E+00,2.83E+00,2.79E+00,83.7E+00,0.49E+03,1.45E+03,0.53E+03,2.47E+03,0.68E+03,1.61E+03,0.68E+03,2.97E+03,0.48E+03,0.68E+03,0.42E+03,1.64E+03,0.709E+00,0.905E+00,0.784E+00,0.832E+00,1.503E+03,0.000E+03,0.834E+03,-0.000E+03,0.00000E+00,0.206E+03,0.000E+03,0.137E+03,0.000E+03,2.47E+03,0.00E+03,1.64E+03,0.00E+03,0.833E+00
2023-03-06 00:45:00,0000:45:00,00000000,50.00E+00,232.9E+00,232.8E+00,0.0E+00,225.7E+00,225.6E+00,-118.6E+00,239.6E+00,239.6E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.92E+00,3.90E+00,-144.0E+00,2.82E+00,2.78E+00,83.6E+00,0.00E+03,0.79E+03,0.53E+03,1.32E+03,0.00E+03,0.88E+03,0.68E+03,1.56E+03,0.00E+03,0.39E+03,0.42E+03,0.82E+03,0.000E+99,0.896E+00,0.783E+00,0.847E+00,1.613E+03,0.000E+03,0.902E+03,-0.000E+03,0.00000E+00,0.110E+03,0.000E+03,0.068E+03,0.000E+03,1.32E+03,0.00E+03,0.82E+03,0.00E+03,0.849E+00
