"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-01-10 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-01-10 00:00:00
2023-01-10 00:05:00,0000:05:00,00000000,50.01E+00,232.7E+00,232.7E+00,0.0E+00,225.6E+00,225.6E+00,-118.5E+00,239.5E+00,239.5E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.71E+00,2.68E+00,-134.2E+00,5.26E+00,5.11E+00,109.5E+00,0.00E+03,0.55E+03,1.18E+03,1.72E+03,0.00E+03,0.61E+03,1.26E+03,1.87E+03,0.00E+03,0.19E+03,0.27E+03,0.53E+03,0.000E+99,0.895E+00,0.935E+00,0.922E+00,0.144E+03,0.000E+03,0.050E+03,-0.006E+03,0.00000E+00,0.144E+03,0.000E+03,0.050E+03,-0.006E+03,1.72E+03,0.00E+03,0.60E+03,-0.07E+03,0.945E+00
2023-01-10 00:10:00,0000:10:00,00000000,50.00E+00,232.7E+00,232.6E+00,0.0E+00,225.6E+00,225.6E+00,-118.6E+00,239.6E+00,239.6E+00,121.2E+00,0.02E+00,0.02E+00,-30.7E+00,2.24E+00,2.22E+00,-122.4E+00,3.80E+00,3.74E+00,91.4E+00,0.00E+03,0.50E+03,0.77E+03,1.28E+03,0.00E+03,0.50E+03,0.91E+03,1.42E+03,0.00E+03,0.07E+03,0.47E+03,0.61E+03,0.677E+00,0.990E+00,0.852E+00,0.900E+00,0.250E+03,0.000E+03,0.101E+03,-0.006E+03,0.00000E+00,0.107E+03,0.000E+03,0.051E+03,0.000E+03,1.28E+03,0.00E+03,0.61E+03,0.00E+03,0.901E+00
2023-01-10 00:15:00,0000:15:00,00000000,50.00E+00,233.0E+00,232.9E+00,0.0E+00,225.8E+00,225.8E+00,-118.6E+00,239.6E+00,239.6E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.24E+00,2.23E+00,-122.2E+00,6.01E+00,5.88E+00,102.6E+00,0.00E+03,0.50E+03,1.33E+03,1.83E+03,0.00E+03,0.51E+03,1.44E+03,1.95E+03,0.00E+03,0.07E+03,0.54E+03,0.65E+03,0.000E+99,0.990E+00,0.926E+00,0.943E+00,0.403E+03,0.000E+03,0.155E+03,-0.006E+03,0.00000E+00,0.153E+03,0.000E+03,0.054E+03,0.000E+03,1.83E+03,0.00E+03,0.65E+03,0.00E+03,0.943E+00
2023-01-10 00:20:00,0000:20:00,00000000,49.99E+00,233.0E+00,232.9E+00,0.0E+00,225.9E+00,225.8E+00,-118.5E+00,239.2E+00,239.2E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,2.24E+00,2.23E+00,-122.0E+00,12.55E+00,12.47E+00,112.4E+00,0.00E+03,0.50E+03,2.93E+03,3.43E+03,0.00E+03,0.51E+03,3.00E+03,3.51E+03,0.00E+03,0.07E+03,0.54E+03,0.63E+03,0.000E+99,0.990E+00,0.977E+00,0.979E+00,0.689E+03,0.000E+03,0.208E+03,-0.006E+03,0.00000E+00,0.286E+03,0.000E+03,0.053E+03,0.000E+03,3.43E+03,0.00E+03,0.63E+03,0.00E+03,0.983E+00
2023-01-10 00:25:00,0000:25:00,00000000,50.01E+00,232.9E+00,232.9E+00,0.0E+00,226.0E+00,225.9E+00,-118.4E+00,238.9E+00,238.8E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.24E+00,2.23E+00,-121.8E+00,16.85E+00,16.82E+00,115.6E+00,0.00E+03,0.50E+03,4.00E+03,4.50E+03,0.00E+03,0.51E+03,4.02E+03,4.53E+03,0.00E+03,0.07E+03,0.44E+03,0.51E+03,0.000E+99,0.990E+00,0.994E+00,0.994E+00,1.064E+03,0.000E+03,0.251E+03,-0.006E+03,0.00000E+00,0.375E+03,0.000E+03,0.043E+03,0.000E+03,4.50E+03,0.00E+03,0.51E+03,0.00E+03,0.994E+00
2023-01-10 00:30:00,0000:30:00,00000000,49.99E+00,233.1E+00,233.0E+00,0.0E+00,226.1E+00,226.0E+00,-118.4E+00,238.7E+00,238.7E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,2.24E+00,2.22E+00,-121.8E+00,17.69E+00,17.66E+00,116.1E+00,0.00E+03,0.50E+03,4.20E+03,4.70E+03,0.00E+03,0.51E+03,4.22E+03,4.73E+03,0.00E+03,0.07E+03,0.45E+03,0.52E+03,0.000E+99,0.990E+00,0.994E+00,0.994E+00,1.456E+03,0.000E+03,0.294E+03,-0.006E+03,0.00000E+00,0.392E+03,0.000E+03,0.044E+03,0.000E+03,4.70E+03,0.00E+03,0.52E+03,0.00E+03,0.994E+00
2023-01-10 00:35:00,0000:35:00,00000000,50.00E+00,233.2E+00,233.1E+00,0.0E+00,226.1E+00,226.0E+00,-118.5E+00,239.2E+00,239.2E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.24E+00,2.22E+00,-121.8E+00,12.47E+00,12.38E+00,115.4E+00,0.00E+03,0.50E+03,2.93E+03,3.43E+03,0.00E+03,0.51E+03,2.98E+03,3.49E+03,0.00E+03,0.07E+03,0.36E+03,0.41E+03,0.000E+99,0.990E+00,0.984E+00,0.985E+00,1.742E+03,0.000E+03,0.334E+03,-0.011E+03,0.00000E+00,0.286E+03,0.000E+03,0.039E+03,-0.005E+03,3.43E+03,0.00E+03,0.47E+03,-0.06E+03,0.991E+00
2023-01-10 00:40:00,0000:40:00,00000000,50.00E+00,232.9E+00,232.9E+00,0.0E+00,225.8E+00,225.7E+00,-118.6E+00,239.9E+00,239.9E+00,121.1E+00,1.03E+00,1.02E+00,-42.2E+00,2.24E+00,2.22E+00,-122.0E+00,3.13E+00,2.98E+00,130.9E+00,0.18E+03,0.50E+03,0.70E+03,1.38E+03,0.24E+03,0.51E+03,0.75E+03,1.50E+03,0.16E+03,0.07E+03,-0.26E+03,-0.14E+03,0.732E+00,0.990E+00,-0.937E+00,0.922E+00,1.857E+03,0.000E+03,0.350E+03,-0.039E+03,0.00000E+00,0.115E+03,0.000E+03,0.017E+03,-0.028E+03,1.38E+03,0.00E+03,0.20E+03,-0.34E+03,0.990E+00
2023-01-10 00:45:00,0000:45:00,00000000,50.00E+00,232.8E+00,232.7E+00,0.0E+00,225.8E+00,225.8E+00,-118.7E+00,240.2E+00,240.2E+00,121.1E+00,5.80E+00,5.77E+00,-42.7E+00,2.24E+00,2.22E+00,-122.1E+00,1.12E+00,1.08E+00,130.6E+00,0.99E+03,0.50E+03,0.25E+03,1.74E+03,1.35E+03,0.50E+03,0.27E+03,2.12E+03,0.92E+03,0.07E+03,-0.09E+03,1.21E+03,0.730E+00,0.990E+00,-0.945E+00,0.819E+00,2.002E+03,0.000E+03,0.452E+03,-0.039E+03,0.00000E+00,0.145E+03,0.000E+03,0.101E+03,0.000E+03,1.74E+03,0.00E+03,1.21E+03,0.00E+03,0.820E+00
