"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-12-26 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-12-26 00:00:00
2022-12-26 00:05:00,0000:05:00,00000000,49.99E+00,232.9E+00,232.9E+00,0.0E+00,225.8E+00,225.8E+00,-118.7E+00,239.7E+00,239.7E+00,121.0E+00,2.52E+00,2.50E+00,-43.2E+00,2.14E+00,2.13E+00,-145.7E+00,0.00E+00,0.00E+00,-2.3E+00,0.42E+03,0.43E+03,0.00E+03,0.85E+03,0.59E+03,0.48E+03,0.00E+03,1.07E+03,0.40E+03,0.22E+03,0.00E+03,0.64E+03,0.724E+00,0.886E+00,0.000E+99,0.797E+00,0.071E+03,0.000E+03,0.053E+03,0.000E+03,0.00000E+00,0.071E+03,0.000E+03,0.053E+03,0.000E+03,0.85E+03,0.00E+03,0.64E+03,0.00E+03,0.799E+00
2022-12-26 00:10:00,0000:10:00,00000000,50.01E+00,233.0E+00,233.0E+00,0.0E+00,225.7E+00,225.7E+00,-118.7E+00,239.8E+00,239.7E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,4.03E+00,4.00E+00,-144.9E+00,1.08E+00,1.07E+00,90.6E+00,0.00E+03,0.81E+03,0.22E+03,1.03E+03,0.00E+03,0.91E+03,0.26E+03,1.17E+03,0.00E+03,0.41E+03,0.14E+03,0.55E+03,0.000E+99,0.888E+00,0.849E+00,0.880E+00,0.157E+03,0.000E+03,0.099E+03,-0.000E+03,0.00000E+00,0.085E+03,0.000E+03,0.046E+03,-0.000E+03,1.03E+03,0.00E+03,0.55E+03,-0.00E+03,0.882E+00
2022-12-26 00:15:00,0000:15:00,00000000,50.00E+00,233.4E+00,233.3E+00,0.0E+00,226.0E+00,226.0E+00,-118.7E+00,240.0E+00,240.0E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.99E+00,3.97E+00,-145.2E+00,3.21E+00,3.17E+00,90.1E+00,0.00E+03,0.80E+03,0.65E+03,1.45E+03,0.00E+03,0.90E+03,0.77E+03,1.67E+03,0.00E+03,0.41E+03,0.41E+03,0.82E+03,0.000E+99,0.888E+00,0.847E+00,0.869E+00,0.278E+03,0.000E+03,0.168E+03,-0.000E+03,0.00000E+00,0.121E+03,0.000E+03,0.069E+03,0.000E+03,1.45E+03,0.00E+03,0.82E+03,0.00E+03,0.870E+00
2022-12-26 00:20:00,0000:20:00,00000000,49.99E+00,233.4E+00,233.4E+00,0.0E+00,225.8E+00,225.8E+00,-118.8E+00,240.2E+00,240.2E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,7.42E+00,7.42E+00,-115.1E+00,1.23E+00,1.22E+00,89.6E+00,0.00E+03,1.67E+03,0.25E+03,1.92E+03,0.00E+03,1.67E+03,0.30E+03,1.97E+03,0.00E+03,-0.11E+03,0.16E+03,0.10E+03,0.000E+99,-0.998E+00,0.843E+00,0.974E+00,0.438E+03,0.000E+03,0.184E+03,-0.008E+03,0.00000E+00,0.160E+03,0.000E+03,0.017E+03,-0.008E+03,1.92E+03,0.00E+03,0.20E+03,-0.10E+03,0.995E+00
2022-12-26 00:25:00,0000:25:00,00000000,50.01E+00,233.5E+00,233.5E+00,0.0E+00,225.6E+00,225.6E+00,-118.8E+00,240.3E+00,240.3E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,10.58E+00,10.58E+00,-115.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,2.38E+03,0.00E+03,2.38E+03,0.00E+03,2.39E+03,0.00E+03,2.39E+03,0.00E+03,-0.16E+03,0.00E+03,-0.16E+03,0.000E+99,-0.998E+00,0.000E+99,-0.998E+00,0.636E+03,0.000E+03,0.184E+03,-0.022E+03,0.00000E+00,0.198E+03,0.000E+03,0.000E+03,-0.014E+03,2.38E+03,0.00E+03,0.00E+03,-0.16E+03,1.000E+00
2022-12-26 00:30:00,0000:30:00,00000000,50.00E+00,233.4E+00,233.3E+00,0.0E+00,225.9E+00,225.9E+00,-118.8E+00,240.1E+00,240.1E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,6.34E+00,6.33E+00,-116.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,1.42E+03,0.00E+03,1.42E+03,0.00E+03,1.43E+03,0.00E+03,1.43E+03,0.00E+03,-0.06E+03,0.00E+03,-0.06E+03,0.000E+99,-0.992E+00,0.000E+99,-0.992E+00,0.754E+03,0.000E+03,0.187E+03,-0.030E+03,0.00000E+00,0.118E+03,0.000E+03,0.003E+03,-0.008E+03,1.42E+03,0.00E+03,0.04E+03,-0.09E+03,1.000E+00
2022-12-26 00:35:00,0000:35:00,00000000,50.00E+00,233.5E+00,233.5E+00,0.0E+00,225.6E+00,225.5E+00,-118.8E+00,240.2E+00,240.1E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,10.76E+00,10.71E+00,-140.0E+00,0.01E+00,0.01E+00,115.9E+00,0.00E+03,2.25E+03,0.00E+03,2.25E+03,0.00E+03,2.43E+03,0.00E+03,2.43E+03,0.00E+03,0.91E+03,0.00E+03,0.91E+03,0.000E+99,0.927E+00,0.953E+00,0.927E+00,0.942E+03,0.000E+03,0.263E+03,-0.030E+03,0.00000E+00,0.188E+03,0.000E+03,0.076E+03,0.000E+03,2.25E+03,0.00E+03,0.91E+03,0.00E+03,0.927E+00
2022-12-26 00:40:00,0000:40:00,00000000,49.99E+00,233.4E+00,233.3E+00,0.0E+00,225.7E+00,225.6E+00,-118.7E+00,240.2E+00,240.2E+00,121.0E+00,1.09E+00,1.08E+00,-42.5E+00,9.84E+00,9.79E+00,-142.8E+00,1.43E+00,1.42E+00,87.5E+00,0.18E+03,2.02E+03,0.28E+03,2.48E+03,0.25E+03,2.22E+03,0.34E+03,2.82E+03,0.17E+03,0.93E+03,0.19E+03,1.31E+03,0.731E+00,0.908E+00,0.824E+00,0.882E+00,1.149E+03,0.000E+03,0.373E+03,-0.030E+03,0.00000E+00,0.207E+03,0.000E+03,0.109E+03,0.000E+03,2.48E+03,0.00E+03,1.31E+03,0.00E+03,0.884E+00
2022-12-26 00:45:00,0000:45:00,00000000,50.00E+00,233.3E+00,233.2E+00,0.0E+00,226.1E+00,226.0E+00,-118.8E+00,240.3E+00,240.2E+00,121.0E+00,5.76E+00,5.72E+00,-43.2E+00,6.11E+00,6.07E+00,-144.4E+00,3.57E+00,3.54E+00,87.0E+00,0.97E+03,1.24E+03,0.70E+03,2.91E+03,1.34E+03,1.38E+03,0.86E+03,3.58E+03,0.93E+03,0.61E+03,0.49E+03,2.07E+03,0.725E+00,0.896E+00,0.820E+00,0.814E+00,1.392E+03,0.000E+03,0.546E+03,-0.030E+03,0.00000E+00,0.243E+03,0.000E+03,0.173E+03,0.000E+03,2.91E+03,0.00E+03,2.07E+03,0.00E+03,0.814E+00
