"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-12-16 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-12-16 00:00:00
2022-12-16 00:05:00,0000:05:00,00000000,49.99E+00,232.1E+00,232.1E+00,0.0E+00,223.2E+00,223.1E+00,-118.8E+00,238.4E+00,238.4E+00,121.0E+00,5.05E+00,5.02E+00,-42.8E+00,2.22E+00,2.20E+00,-122.5E+00,1.45E+00,1.42E+00,94.9E+00,0.85E+03,0.49E+03,0.30E+03,1.65E+03,1.17E+03,0.50E+03,0.35E+03,2.01E+03,0.80E+03,0.07E+03,0.16E+03,1.15E+03,0.729E+00,0.989E+00,0.881E+00,0.819E+00,0.137E+03,0.000E+03,0.096E+03,0.000E+03,0.00000E+00,0.137E+03,0.000E+03,0.096E+03,0.000E+03,1.65E+03,0.00E+03,1.15E+03,0.00E+03,0.821E+00
2022-12-16 00:10:00,0000:10:00,00000000,50.00E+00,232.5E+00,232.5E+00,0.0E+00,223.1E+00,223.1E+00,-118.8E+00,238.3E+00,238.3E+00,121.1E+00,2.84E+00,2.83E+00,-43.1E+00,2.22E+00,2.20E+00,-122.5E+00,0.01E+00,0.01E+00,120.9E+00,0.48E+03,0.49E+03,0.00E+03,0.97E+03,0.66E+03,0.49E+03,0.00E+03,1.16E+03,0.45E+03,0.07E+03,-0.00E+03,0.58E+03,0.726E+00,0.989E+00,0.924E+00,0.839E+00,0.218E+03,0.000E+03,0.144E+03,0.000E+03,0.00000E+00,0.081E+03,0.000E+03,0.049E+03,0.000E+03,0.97E+03,0.00E+03,0.58E+03,0.00E+03,0.857E+00
2022-12-16 00:15:00,0000:15:00,00000000,50.01E+00,232.8E+00,232.8E+00,0.0E+00,223.2E+00,223.2E+00,-118.7E+00,238.3E+00,238.3E+00,121.0E+00,0.00E+00,0.00E+00,-2.5E+00,2.22E+00,2.20E+00,-122.5E+00,0.00E+00,0.00E+00,-2.5E+00,0.00E+03,0.49E+03,0.00E+03,0.49E+03,0.00E+03,0.49E+03,0.00E+03,0.49E+03,0.00E+03,0.07E+03,0.00E+03,0.07E+03,0.000E+99,0.989E+00,0.000E+99,0.989E+00,0.259E+03,0.000E+03,0.150E+03,0.000E+03,0.00000E+00,0.041E+03,0.000E+03,0.006E+03,0.000E+03,0.49E+03,0.00E+03,0.07E+03,0.00E+03,0.989E+00
2022-12-16 00:20:00,0000:20:00,00000000,50.00E+00,232.8E+00,232.8E+00,0.0E+00,222.9E+00,222.9E+00,-118.7E+00,238.3E+00,238.2E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,6.39E+00,6.35E+00,-137.4E+00,1.28E+00,1.26E+00,92.7E+00,0.00E+03,1.33E+03,0.26E+03,1.59E+03,0.00E+03,1.42E+03,0.30E+03,1.73E+03,0.00E+03,0.49E+03,0.15E+03,0.65E+03,0.000E+99,0.933E+00,0.867E+00,0.922E+00,0.392E+03,0.000E+03,0.204E+03,0.000E+03,0.00000E+00,0.133E+03,0.000E+03,0.054E+03,0.000E+03,1.59E+03,0.00E+03,0.65E+03,0.00E+03,0.927E+00
2022-12-16 00:25:00,0000:25:00,00000000,50.00E+00,233.0E+00,233.0E+00,0.0E+00,222.7E+00,222.7E+00,-118.7E+00,238.2E+00,238.2E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,9.96E+00,9.90E+00,-141.9E+00,3.63E+00,3.58E+00,92.2E+00,0.00E+03,2.03E+03,0.75E+03,2.77E+03,0.00E+03,2.22E+03,0.86E+03,3.08E+03,0.00E+03,0.90E+03,0.44E+03,1.34E+03,0.000E+99,0.914E+00,0.864E+00,0.900E+00,0.623E+03,0.000E+03,0.316E+03,0.000E+03,0.00000E+00,0.231E+03,0.000E+03,0.112E+03,0.000E+03,2.77E+03,0.00E+03,1.34E+03,0.00E+03,0.900E+00
2022-12-16 00:30:00,0000:30:00,00000000,50.00E+00,233.0E+00,233.0E+00,0.0E+00,222.7E+00,222.6E+00,-118.7E+00,238.4E+00,238.4E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,9.69E+00,9.63E+00,-142.9E+00,1.11E+00,1.10E+00,91.8E+00,0.00E+03,1.96E+03,0.23E+03,2.18E+03,0.00E+03,2.16E+03,0.27E+03,2.42E+03,0.00E+03,0.91E+03,0.14E+03,1.05E+03,0.000E+99,0.907E+00,0.860E+00,0.902E+00,0.805E+03,0.000E+03,0.403E+03,0.000E+03,0.00000E+00,0.182E+03,0.000E+03,0.087E+03,0.000E+03,2.18E+03,0.00E+03,1.05E+03,0.00E+03,0.902E+00
2022-12-16 00:35:00,0000:35:00,00000000,50.00E+00,233.0E+00,233.0E+00,0.0E+00,222.7E+00,222.6E+00,-118.7E+00,238.6E+00,238.6E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,9.52E+00,9.46E+00,-143.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,1.91E+03,0.00E+03,1.91E+03,0.00E+03,2.12E+03,0.00E+03,2.12E+03,0.00E+03,0.92E+03,0.00E+03,0.92E+03,0.000E+99,0.902E+00,0.000E+99,0.902E+00,0.964E+03,0.000E+03,0.479E+03,0.000E+03,0.00000E+00,0.159E+03,0.000E+03,0.076E+03,0.000E+03,1.91E+03,0.00E+03,0.92E+03,0.00E+03,0.902E+00
2022-12-16 00:40:00,0000:40:00,00000000,50.00E+00,233.0E+00,233.0E+00,0.0E+00,222.7E+00,222.6E+00,-118.7E+00,238.6E+00,238.5E+00,120.9E+00,0.34E+00,0.34E+00,-40.8E+00,9.42E+00,9.37E+00,-144.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.06E+03,1.88E+03,0.00E+03,1.94E+03,0.08E+03,2.10E+03,0.00E+03,2.18E+03,0.05E+03,0.92E+03,0.00E+03,0.98E+03,0.745E+00,0.898E+00,0.000E+99,0.892E+00,1.126E+03,0.000E+03,0.561E+03,0.000E+03,0.00000E+00,0.162E+03,0.000E+03,0.082E+03,0.000E+03,1.94E+03,0.00E+03,0.98E+03,0.00E+03,0.893E+00
2022-12-16 00:45:00,0000:45:00,00000000,50.00E+00,232.6E+00,232.6E+00,0.0E+00,222.7E+00,222.7E+00,-118.7E+00,238.5E+00,238.5E+00,121.0E+00,5.80E+00,5.77E+00,-43.0E+00,7.46E+00,7.38E+00,-156.4E+00,2.12E+00,2.09E+00,95.2E+00,0.98E+03,1.27E+03,0.45E+03,2.70E+03,1.35E+03,1.66E+03,0.51E+03,3.52E+03,0.93E+03,1.01E+03,0.24E+03,2.23E+03,0.727E+00,0.764E+00,0.885E+00,0.767E+00,1.351E+03,0.000E+03,0.747E+03,0.000E+03,0.00000E+00,0.225E+03,0.000E+03,0.186E+03,0.000E+03,2.70E+03,0.00E+03,2.23E+03,0.00E+03,0.771E+00
