"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-10-07 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-10-07 00:00:00
2022-10-07 00:05:00,0000:05:00,00000000,49.98E+00,231.0E+00,231.0E+00,0.0E+00,223.5E+00,223.5E+00,-118.8E+00,237.1E+00,237.1E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+00,0.00E+00,-2.3E+00,0.02E+00,0.02E+00,111.1E+00,0.00E+03,0.00E+03,0.01E+03,0.01E+03,0.00E+03,0.00E+03,0.01E+03,0.01E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.000E+99,0.000E+99,0.946E+00,0.946E+00,0.000E+03,0.000E+03,0.000E+03,-0.000E+03,0.00000E+00,0.000E+03,0.000E+03,0.000E+03,-0.000E+03,0.01E+03,0.00E+03,0.00E+03,-0.00E+03,0.964E+00
2022-10-07 00:10:00,0000:10:00,00000000,49.99E+00,231.2E+00,231.2E+00,0.0E+00,223.4E+00,223.4E+00,-118.8E+00,237.1E+00,237.1E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.03E+00,3.01E+00,-143.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.61E+03,0.00E+03,0.61E+03,0.00E+03,0.68E+03,0.00E+03,0.68E+03,0.00E+03,0.29E+03,0.00E+03,0.29E+03,0.000E+99,0.901E+00,0.000E+99,0.901E+00,0.051E+03,0.000E+03,0.024E+03,-0.000E+03,0.00000E+00,0.051E+03,0.000E+03,0.024E+03,-0.000E+03,0.61E+03,0.00E+03,0.29E+03,-0.00E+03,0.902E+00
2022-10-07 00:15:00,0000:15:00,00000000,49.99E+00,231.1E+00,231.1E+00,0.0E+00,223.6E+00,223.6E+00,-118.8E+00,237.1E+00,237.1E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,0.45E+00,0.44E+00,-142.0E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.09E+03,0.00E+03,0.09E+03,0.00E+03,0.10E+03,0.00E+03,0.10E+03,0.00E+03,0.04E+03,0.00E+03,0.04E+03,0.000E+99,0.889E+00,0.000E+99,0.889E+00,0.059E+03,0.000E+03,0.028E+03,-0.000E+03,0.00000E+00,0.007E+03,0.000E+03,0.004E+03,-0.000E+03,0.09E+03,0.00E+03,0.04E+03,-0.00E+03,0.899E+00
2022-10-07 00:20:00,0000:20:00,00000000,49.98E+00,231.1E+00,231.0E+00,0.0E+00,223.4E+00,223.4E+00,-118.8E+00,237.0E+00,236.9E+00,121.1E+00,0.67E+00,0.67E+00,-41.9E+00,2.57E+00,2.55E+00,-143.6E+00,0.00E+00,0.00E+00,-2.3E+00,0.11E+03,0.52E+03,0.00E+03,0.63E+03,0.15E+03,0.57E+03,0.00E+03,0.73E+03,0.10E+03,0.25E+03,0.00E+03,0.35E+03,0.734E+00,0.902E+00,0.000E+99,0.866E+00,0.111E+03,0.000E+03,0.057E+03,-0.000E+03,0.00000E+00,0.052E+03,0.000E+03,0.029E+03,0.000E+03,0.63E+03,0.00E+03,0.35E+03,0.00E+03,0.873E+00
2022-10-07 00:25:00,0000:25:00,00000000,50.00E+00,231.2E+00,231.1E+00,0.0E+00,223.6E+00,223.6E+00,-118.8E+00,237.2E+00,237.2E+00,121.1E+00,0.43E+00,0.42E+00,-41.6E+00,1.81E+00,1.79E+00,-143.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.07E+03,0.36E+03,0.00E+03,0.43E+03,0.10E+03,0.40E+03,0.00E+03,0.50E+03,0.07E+03,0.17E+03,0.00E+03,0.24E+03,0.711E+00,0.902E+00,0.000E+99,0.864E+00,0.147E+03,0.000E+03,0.078E+03,-0.000E+03,0.00000E+00,0.036E+03,0.000E+03,0.020E+03,-0.000E+03,0.43E+03,0.00E+03,0.24E+03,-0.00E+03,0.872E+00
2022-10-07 00:30:00,0000:30:00,00000000,50.00E+00,231.2E+00,231.1E+00,0.0E+00,223.7E+00,223.7E+00,-118.8E+00,237.3E+00,237.3E+00,121.1E+00,0.33E+00,0.33E+00,-41.8E+00,1.16E+00,1.15E+00,-143.7E+00,0.01E+00,0.01E+00,121.6E+00,0.06E+03,0.23E+03,0.00E+03,0.29E+03,0.08E+03,0.26E+03,0.00E+03,0.34E+03,0.05E+03,0.11E+03,-0.00E+03,0.17E+03,0.725E+00,0.899E+00,-0.950E+00,0.860E+00,0.172E+03,0.000E+03,0.091E+03,-0.000E+03,0.00000E+00,0.024E+03,0.000E+03,0.014E+03,-0.000E+03,0.29E+03,0.00E+03,0.17E+03,-0.00E+03,0.869E+00
2022-10-07 00:35:00,0000:35:00,00000000,49.99E+00,231.3E+00,231.3E+00,0.0E+00,223.8E+00,223.8E+00,-118.8E+00,237.5E+00,237.5E+00,121.1E+00,0.48E+00,0.47E+00,-41.5E+00,2.99E+00,2.97E+00,-143.5E+00,0.00E+00,0.00E+00,-2.3E+00,0.08E+03,0.60E+03,0.00E+03,0.68E+03,0.11E+03,0.67E+03,0.00E+03,0.78E+03,0.08E+03,0.29E+03,0.00E+03,0.37E+03,0.716E+00,0.900E+00,0.000E+99,0.874E+00,0.228E+03,0.000E+03,0.122E+03,-0.000E+03,0.00000E+00,0.057E+03,0.000E+03,0.031E+03,-0.000E+03,0.68E+03,0.00E+03,0.37E+03,-0.00E+03,0.880E+00
2022-10-07 00:40:00,0000:40:00,00000000,49.98E+00,231.4E+00,231.4E+00,0.0E+00,224.1E+00,224.1E+00,-118.9E+00,237.7E+00,237.6E+00,121.1E+00,0.57E+00,0.56E+00,-42.1E+00,0.03E+00,0.03E+00,-147.8E+00,0.00E+00,0.00E+00,-2.3E+00,0.10E+03,0.01E+03,0.00E+03,0.10E+03,0.13E+03,0.01E+03,0.00E+03,0.14E+03,0.09E+03,0.00E+03,0.00E+03,0.09E+03,0.721E+00,0.851E+00,0.000E+99,0.727E+00,0.237E+03,0.000E+03,0.130E+03,-0.000E+03,0.00000E+00,0.008E+03,0.000E+03,0.008E+03,0.000E+03,0.10E+03,0.00E+03,0.09E+03,0.00E+03,0.728E+00
2022-10-07 00:45:00,0000:45:00,00000000,49.98E+00,231.8E+00,231.8E+00,0.0E+00,224.3E+00,224.3E+00,-118.9E+00,238.1E+00,238.1E+00,121.0E+00,0.31E+00,0.31E+00,-41.6E+00,3.02E+00,3.00E+00,-144.3E+00,0.00E+00,0.00E+00,-2.3E+00,0.05E+03,0.61E+03,0.00E+03,0.66E+03,0.07E+03,0.68E+03,0.00E+03,0.75E+03,0.05E+03,0.30E+03,0.00E+03,0.35E+03,0.720E+00,0.895E+00,0.000E+99,0.878E+00,0.291E+03,0.000E+03,0.159E+03,-0.000E+03,0.00000E+00,0.055E+03,0.000E+03,0.029E+03,-0.000E+03,0.66E+03,0.00E+03,0.35E+03,-0.00E+03,0.883E+00
