"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-07-10 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-07-10 00:00:00
2022-07-10 00:05:00,0000:05:00,00000000,50.05E+00,231.5E+00,231.4E+00,0.0E+00,222.2E+00,222.1E+00,-118.1E+00,240.0E+00,239.9E+00,121.2E+00,2.38E+00,2.37E+00,12.9E+00,2.27E+00,2.25E+00,-121.4E+00,0.28E+00,0.27E+00,97.0E+00,0.53E+03,0.50E+03,0.06E+03,1.09E+03,0.55E+03,0.50E+03,0.07E+03,1.12E+03,-0.14E+03,0.07E+03,0.03E+03,-0.13E+03,-0.968E+00,0.989E+00,0.886E+00,-0.973E+00,0.091E+03,0.000E+03,0.005E+03,-0.016E+03,0.00000E+00,0.091E+03,0.000E+03,0.005E+03,-0.016E+03,1.09E+03,0.00E+03,0.06E+03,-0.19E+03,0.998E+00
2022-07-10 00:10:00,0000:10:00,00000000,49.98E+00,231.4E+00,231.4E+00,0.0E+00,222.2E+00,222.2E+00,-118.1E+00,239.8E+00,239.8E+00,121.2E+00,2.32E+00,2.31E+00,13.2E+00,2.26E+00,2.24E+00,-121.5E+00,0.02E+00,0.02E+00,112.9E+00,0.52E+03,0.50E+03,0.00E+03,1.02E+03,0.54E+03,0.50E+03,0.01E+03,1.04E+03,-0.14E+03,0.07E+03,0.00E+03,-0.21E+03,-0.968E+00,0.989E+00,0.902E+00,-0.978E+00,0.176E+03,0.000E+03,0.006E+03,-0.034E+03,0.00000E+00,0.085E+03,0.000E+03,0.000E+03,-0.018E+03,1.02E+03,0.00E+03,0.00E+03,-0.22E+03,1.000E+00
2022-07-10 00:15:00,0000:15:00,00000000,50.00E+00,231.6E+00,231.5E+00,0.0E+00,222.4E+00,222.3E+00,-118.0E+00,239.9E+00,239.9E+00,121.2E+00,2.23E+00,2.22E+00,13.7E+00,2.26E+00,2.24E+00,-121.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.50E+03,0.50E+03,0.00E+03,1.00E+03,0.52E+03,0.50E+03,0.00E+03,1.02E+03,-0.13E+03,0.07E+03,0.00E+03,-0.22E+03,-0.965E+00,0.990E+00,0.000E+99,-0.977E+00,0.259E+03,0.000E+03,0.006E+03,-0.052E+03,0.00000E+00,0.083E+03,0.000E+03,0.000E+03,-0.018E+03,1.00E+03,0.00E+03,0.00E+03,-0.22E+03,1.000E+00
2022-07-10 00:20:00,0000:20:00,00000000,49.99E+00,231.7E+00,231.7E+00,0.0E+00,222.6E+00,222.6E+00,-118.1E+00,240.3E+00,240.3E+00,121.2E+00,2.23E+00,2.22E+00,13.7E+00,3.62E+00,3.59E+00,-130.7E+00,0.00E+00,0.00E+00,-2.4E+00,0.50E+03,0.77E+03,0.00E+03,1.27E+03,0.52E+03,0.81E+03,0.00E+03,1.32E+03,-0.14E+03,0.22E+03,0.00E+03,0.00E+03,-0.965E+00,0.953E+00,0.000E+99,0.958E+00,0.365E+03,0.000E+03,0.021E+03,-0.067E+03,0.00000E+00,0.106E+03,0.000E+03,0.015E+03,-0.015E+03,1.27E+03,0.00E+03,0.18E+03,-0.18E+03,0.990E+00
2022-07-10 00:25:00,0000:25:00,00000000,50.00E+00,232.0E+00,232.0E+00,0.0E+00,222.5E+00,222.5E+00,-118.1E+00,240.6E+00,240.6E+00,121.2E+00,4.02E+00,4.00E+00,-15.0E+00,9.60E+00,9.55E+00,-141.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.84E+03,1.95E+03,0.00E+03,2.78E+03,0.93E+03,2.14E+03,0.00E+03,3.07E+03,0.22E+03,0.87E+03,0.00E+03,1.28E+03,0.896E+00,0.912E+00,0.000E+99,0.907E+00,0.597E+03,0.000E+03,0.128E+03,-0.067E+03,0.00000E+00,0.232E+03,0.000E+03,0.107E+03,0.000E+03,2.78E+03,0.00E+03,1.28E+03,0.00E+03,0.908E+00
2022-07-10 00:30:00,0000:30:00,00000000,49.99E+00,231.9E+00,231.9E+00,0.0E+00,222.9E+00,222.9E+00,-118.2E+00,240.6E+00,240.6E+00,121.1E+00,6.72E+00,6.69E+00,-31.6E+00,7.35E+00,7.27E+00,-154.6E+00,2.10E+00,1.97E+00,139.9E+00,1.32E+03,1.27E+03,0.45E+03,3.04E+03,1.56E+03,1.64E+03,0.51E+03,3.70E+03,0.83E+03,0.97E+03,-0.24E+03,2.08E+03,0.848E+00,0.778E+00,-0.884E+00,0.822E+00,0.850E+03,0.000E+03,0.301E+03,-0.067E+03,0.00000E+00,0.254E+03,0.000E+03,0.173E+03,0.000E+03,3.04E+03,0.00E+03,2.08E+03,0.00E+03,0.826E+00
2022-07-10 00:35:00,0000:35:00,00000000,49.98E+00,232.2E+00,232.1E+00,0.0E+00,223.2E+00,223.1E+00,-118.0E+00,240.6E+00,240.6E+00,121.2E+00,3.50E+00,3.48E+00,-9.6E+00,7.60E+00,7.53E+00,-152.9E+00,0.51E+00,0.48E+00,139.9E+00,0.74E+03,1.35E+03,0.11E+03,2.19E+03,0.81E+03,1.70E+03,0.12E+03,2.63E+03,0.12E+03,0.97E+03,-0.06E+03,1.41E+03,0.906E+00,0.795E+00,-0.885E+00,0.834E+00,1.033E+03,0.000E+03,0.418E+03,-0.067E+03,0.00000E+00,0.183E+03,0.000E+03,0.117E+03,0.000E+03,2.19E+03,0.00E+03,1.41E+03,0.00E+03,0.841E+00
2022-07-10 00:40:00,0000:40:00,00000000,49.99E+00,232.4E+00,232.3E+00,0.0E+00,223.3E+00,223.2E+00,-118.0E+00,240.8E+00,240.7E+00,121.2E+00,2.37E+00,2.36E+00,12.9E+00,7.61E+00,7.54E+00,-153.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.53E+03,1.34E+03,0.00E+03,1.87E+03,0.55E+03,1.70E+03,0.00E+03,2.25E+03,-0.14E+03,0.98E+03,0.00E+03,1.19E+03,-0.968E+00,0.789E+00,0.000E+99,0.833E+00,1.189E+03,0.000E+03,0.517E+03,-0.067E+03,0.00000E+00,0.156E+03,0.000E+03,0.099E+03,0.000E+03,1.87E+03,0.00E+03,1.19E+03,0.00E+03,0.845E+00
2022-07-10 00:45:00,0000:45:00,00000000,49.99E+00,232.4E+00,232.4E+00,0.0E+00,222.8E+00,222.7E+00,-118.1E+00,240.9E+00,240.9E+00,121.1E+00,2.78E+00,2.77E+00,3.4E+00,14.16E+00,14.13E+00,-134.7E+00,0.01E+00,0.01E+00,124.2E+00,0.61E+03,3.02E+03,0.00E+03,3.63E+03,0.65E+03,3.16E+03,0.00E+03,3.80E+03,-0.05E+03,0.93E+03,-0.00E+03,1.14E+03,-0.944E+00,0.956E+00,-0.898E+00,0.954E+00,1.492E+03,0.000E+03,0.612E+03,-0.067E+03,0.00000E+00,0.302E+03,0.000E+03,0.095E+03,0.000E+03,3.63E+03,0.00E+03,1.14E+03,0.00E+03,0.954E+00
