"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-09-18 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-09-18 00:00:00
2022-09-18 00:05:00,0000:05:00,00000000,50.00E+00,230.4E+00,230.4E+00,0.0E+00,223.1E+00,223.0E+00,-118.9E+00,236.3E+00,236.2E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,3.39E+00,3.36E+00,-143.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.68E+03,0.00E+03,0.68E+03,0.00E+03,0.75E+03,0.00E+03,0.75E+03,0.00E+03,0.32E+03,0.00E+03,0.32E+03,0.000E+99,0.903E+00,0.000E+99,0.903E+00,0.057E+03,0.000E+03,0.027E+03,-0.000E+03,0.00000E+00,0.057E+03,0.000E+03,0.027E+03,-0.000E+03,0.68E+03,0.00E+03,0.32E+03,-0.00E+03,0.905E+00
2022-09-18 00:10:00,0000:10:00,00000000,50.00E+00,230.5E+00,230.5E+00,0.0E+00,223.2E+00,223.1E+00,-118.9E+00,236.2E+00,236.2E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,3.40E+00,3.38E+00,-143.1E+00,0.02E+00,0.02E+00,110.6E+00,0.00E+03,0.68E+03,0.00E+03,0.69E+03,0.00E+03,0.76E+03,0.01E+03,0.76E+03,0.00E+03,0.32E+03,0.00E+03,0.32E+03,0.000E+99,0.904E+00,0.902E+00,0.904E+00,0.114E+03,0.000E+03,0.054E+03,-0.000E+03,0.00000E+00,0.057E+03,0.000E+03,0.027E+03,-0.000E+03,0.69E+03,0.00E+03,0.32E+03,-0.00E+03,0.906E+00
2022-09-18 00:15:00,0000:15:00,00000000,49.99E+00,230.4E+00,230.3E+00,0.0E+00,223.2E+00,223.2E+00,-118.9E+00,236.3E+00,236.2E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,0.44E+00,0.43E+00,-141.8E+00,0.01E+00,0.01E+00,119.8E+00,0.00E+03,0.09E+03,0.00E+03,0.09E+03,0.00E+03,0.10E+03,0.00E+03,0.10E+03,0.00E+03,0.04E+03,-0.00E+03,0.04E+03,0.000E+99,0.899E+00,0.974E+00,0.900E+00,0.122E+03,0.000E+03,0.057E+03,-0.000E+03,0.00000E+00,0.008E+03,0.000E+03,0.003E+03,-0.000E+03,0.09E+03,0.00E+03,0.04E+03,-0.00E+03,0.909E+00
2022-09-18 00:20:00,0000:20:00,00000000,50.00E+00,230.4E+00,230.4E+00,0.0E+00,223.0E+00,223.0E+00,-118.9E+00,236.4E+00,236.3E+00,121.0E+00,1.15E+00,1.14E+00,-42.5E+00,2.93E+00,2.91E+00,-143.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.19E+03,0.59E+03,0.00E+03,0.78E+03,0.26E+03,0.65E+03,0.00E+03,0.92E+03,0.18E+03,0.28E+03,0.00E+03,0.46E+03,0.730E+00,0.906E+00,0.000E+99,0.855E+00,0.187E+03,0.000E+03,0.095E+03,-0.000E+03,0.00000E+00,0.065E+03,0.000E+03,0.038E+03,0.000E+03,0.78E+03,0.00E+03,0.46E+03,0.00E+03,0.864E+00
2022-09-18 00:25:00,0000:25:00,00000000,50.00E+00,230.4E+00,230.4E+00,0.0E+00,223.0E+00,222.9E+00,-118.9E+00,236.5E+00,236.4E+00,120.9E+00,2.65E+00,2.64E+00,-43.3E+00,3.49E+00,3.46E+00,-143.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.44E+03,0.70E+03,0.00E+03,1.14E+03,0.61E+03,0.78E+03,0.00E+03,1.39E+03,0.42E+03,0.33E+03,0.00E+03,0.75E+03,0.724E+00,0.905E+00,0.000E+99,0.825E+00,0.282E+03,0.000E+03,0.158E+03,-0.000E+03,0.00000E+00,0.095E+03,0.000E+03,0.063E+03,0.000E+03,1.14E+03,0.00E+03,0.75E+03,0.00E+03,0.836E+00
2022-09-18 00:30:00,0000:30:00,00000000,50.00E+00,230.5E+00,230.4E+00,0.0E+00,223.1E+00,223.1E+00,-118.9E+00,236.4E+00,236.4E+00,120.9E+00,0.90E+00,0.90E+00,-41.4E+00,1.71E+00,1.70E+00,-142.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.15E+03,0.34E+03,0.00E+03,0.50E+03,0.21E+03,0.38E+03,0.00E+03,0.59E+03,0.14E+03,0.16E+03,0.00E+03,0.30E+03,0.736E+00,0.903E+00,0.000E+99,0.844E+00,0.324E+03,0.000E+03,0.183E+03,-0.000E+03,0.00000E+00,0.041E+03,0.000E+03,0.025E+03,-0.000E+03,0.50E+03,0.00E+03,0.30E+03,-0.00E+03,0.854E+00
2022-09-18 00:35:00,0000:35:00,00000000,49.99E+00,230.6E+00,230.5E+00,0.0E+00,223.2E+00,223.1E+00,-119.0E+00,236.5E+00,236.5E+00,120.9E+00,0.58E+00,0.57E+00,-39.2E+00,1.54E+00,1.53E+00,-143.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.10E+03,0.31E+03,0.00E+03,0.41E+03,0.13E+03,0.34E+03,0.00E+03,0.48E+03,0.09E+03,0.15E+03,0.00E+03,0.24E+03,0.725E+00,0.902E+00,0.000E+99,0.853E+00,0.358E+03,0.000E+03,0.203E+03,-0.000E+03,0.00000E+00,0.034E+03,0.000E+03,0.020E+03,0.000E+03,0.41E+03,0.00E+03,0.24E+03,0.00E+03,0.862E+00
2022-09-18 00:40:00,0000:40:00,00000000,50.00E+00,230.5E+00,230.5E+00,0.0E+00,223.2E+00,223.1E+00,-118.9E+00,236.5E+00,236.5E+00,120.9E+00,0.71E+00,0.70E+00,-39.4E+00,3.37E+00,3.35E+00,-143.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.12E+03,0.68E+03,0.00E+03,0.80E+03,0.16E+03,0.75E+03,0.00E+03,0.91E+03,0.11E+03,0.32E+03,0.00E+03,0.43E+03,0.743E+00,0.903E+00,0.000E+99,0.874E+00,0.424E+03,0.000E+03,0.239E+03,-0.000E+03,0.00000E+00,0.067E+03,0.000E+03,0.036E+03,-0.000E+03,0.80E+03,0.00E+03,0.43E+03,-0.00E+03,0.880E+00
2022-09-18 00:45:00,0000:45:00,00000000,50.00E+00,230.7E+00,230.6E+00,0.0E+00,223.4E+00,223.3E+00,-118.9E+00,236.7E+00,236.7E+00,120.9E+00,0.89E+00,0.88E+00,-40.9E+00,3.04E+00,3.02E+00,-143.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.15E+03,0.61E+03,0.00E+03,0.76E+03,0.21E+03,0.68E+03,0.00E+03,0.88E+03,0.14E+03,0.29E+03,0.00E+03,0.43E+03,0.728E+00,0.905E+00,0.000E+99,0.864E+00,0.488E+03,0.000E+03,0.275E+03,-0.000E+03,0.00000E+00,0.064E+03,0.000E+03,0.036E+03,-0.000E+03,0.76E+03,0.00E+03,0.43E+03,-0.00E+03,0.870E+00
