"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-10-08 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-10-08 00:00:00
2022-10-08 00:05:00,0000:05:00,00000000,49.99E+00,233.3E+00,233.2E+00,0.0E+00,226.0E+00,225.9E+00,-118.8E+00,239.5E+00,239.5E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,3.45E+00,3.43E+00,-145.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.69E+03,0.00E+03,0.69E+03,0.00E+03,0.78E+03,0.00E+03,0.78E+03,0.00E+03,0.35E+03,0.00E+03,0.35E+03,0.000E+99,0.888E+00,0.000E+99,0.888E+00,0.058E+03,0.000E+03,0.030E+03,-0.000E+03,0.00000E+00,0.058E+03,0.000E+03,0.030E+03,-0.000E+03,0.69E+03,0.00E+03,0.36E+03,-0.00E+03,0.890E+00
2022-10-08 00:10:00,0000:10:00,00000000,50.00E+00,233.2E+00,233.2E+00,0.0E+00,226.0E+00,225.9E+00,-118.8E+00,239.4E+00,239.3E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,1.49E+00,1.48E+00,-144.7E+00,0.01E+00,0.01E+00,129.7E+00,0.00E+03,0.30E+03,0.00E+03,0.30E+03,0.00E+03,0.34E+03,0.00E+03,0.34E+03,0.00E+03,0.15E+03,-0.00E+03,0.15E+03,0.000E+99,0.891E+00,-0.925E+00,0.891E+00,0.083E+03,0.000E+03,0.042E+03,-0.000E+03,0.00000E+00,0.025E+03,0.000E+03,0.013E+03,-0.000E+03,0.30E+03,0.00E+03,0.15E+03,-0.00E+03,0.894E+00
2022-10-08 00:15:00,0000:15:00,00000000,50.01E+00,233.5E+00,233.5E+00,0.0E+00,225.8E+00,225.8E+00,-118.8E+00,239.5E+00,239.5E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,6.82E+00,6.74E+00,-161.7E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,1.09E+03,0.00E+03,1.09E+03,0.00E+03,1.54E+03,0.00E+03,1.54E+03,0.00E+03,1.04E+03,0.00E+03,1.04E+03,0.000E+99,0.710E+00,0.000E+99,0.710E+00,0.174E+03,0.000E+03,0.129E+03,-0.000E+03,0.00000E+00,0.091E+03,0.000E+03,0.087E+03,0.000E+03,1.09E+03,0.00E+03,1.04E+03,0.00E+03,0.723E+00
2022-10-08 00:20:00,0000:20:00,00000000,49.99E+00,233.5E+00,233.5E+00,0.0E+00,225.9E+00,225.8E+00,-118.8E+00,239.6E+00,239.6E+00,120.9E+00,0.62E+00,0.62E+00,-42.4E+00,7.22E+00,7.14E+00,-158.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.11E+03,1.21E+03,0.00E+03,1.32E+03,0.15E+03,1.63E+03,0.00E+03,1.78E+03,0.10E+03,1.04E+03,0.00E+03,1.15E+03,0.729E+00,0.742E+00,0.000E+99,0.741E+00,0.284E+03,0.000E+03,0.225E+03,-0.000E+03,0.00000E+00,0.110E+03,0.000E+03,0.095E+03,0.000E+03,1.32E+03,0.00E+03,1.15E+03,0.00E+03,0.754E+00
2022-10-08 00:25:00,0000:25:00,00000000,50.01E+00,233.7E+00,233.7E+00,0.0E+00,226.1E+00,226.1E+00,-118.8E+00,239.8E+00,239.7E+00,120.9E+00,0.43E+00,0.42E+00,-41.7E+00,6.28E+00,6.19E+00,-169.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.07E+03,0.89E+03,0.00E+03,0.96E+03,0.10E+03,1.42E+03,0.00E+03,1.52E+03,0.07E+03,1.10E+03,0.00E+03,1.17E+03,0.728E+00,0.628E+00,0.000E+99,0.634E+00,0.364E+03,0.000E+03,0.323E+03,-0.000E+03,0.00000E+00,0.080E+03,0.000E+03,0.098E+03,0.000E+03,0.97E+03,0.00E+03,1.17E+03,0.00E+03,0.635E+00
2022-10-08 00:30:00,0000:30:00,00000000,50.00E+00,233.7E+00,233.7E+00,0.0E+00,225.9E+00,225.9E+00,-118.8E+00,239.9E+00,239.9E+00,121.0E+00,0.64E+00,0.63E+00,-42.0E+00,7.29E+00,7.21E+00,-158.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.11E+03,1.23E+03,0.00E+03,1.34E+03,0.15E+03,1.65E+03,0.00E+03,1.80E+03,0.10E+03,1.04E+03,0.00E+03,1.15E+03,0.729E+00,0.746E+00,0.000E+99,0.745E+00,0.476E+03,0.000E+03,0.418E+03,-0.000E+03,0.00000E+00,0.112E+03,0.000E+03,0.096E+03,0.000E+03,1.34E+03,0.00E+03,1.15E+03,0.00E+03,0.759E+00
2022-10-08 00:35:00,0000:35:00,00000000,50.00E+00,233.7E+00,233.7E+00,0.0E+00,226.0E+00,226.0E+00,-118.8E+00,239.7E+00,239.7E+00,121.0E+00,0.83E+00,0.82E+00,-41.9E+00,6.30E+00,6.21E+00,-170.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.14E+03,0.88E+03,0.00E+03,1.02E+03,0.19E+03,1.42E+03,0.00E+03,1.62E+03,0.13E+03,1.12E+03,0.00E+03,1.26E+03,0.732E+00,0.616E+00,0.000E+99,0.630E+00,0.560E+03,0.000E+03,0.523E+03,-0.000E+03,0.00000E+00,0.085E+03,0.000E+03,0.105E+03,0.000E+03,1.02E+03,0.00E+03,1.25E+03,0.00E+03,0.630E+00
2022-10-08 00:40:00,0000:40:00,00000000,50.00E+00,233.6E+00,233.5E+00,0.0E+00,226.3E+00,226.3E+00,-118.8E+00,239.9E+00,239.9E+00,121.0E+00,0.49E+00,0.49E+00,-41.9E+00,2.03E+00,2.01E+00,-127.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.08E+03,0.44E+03,0.00E+03,0.52E+03,0.12E+03,0.46E+03,0.00E+03,0.58E+03,0.08E+03,0.10E+03,0.00E+03,0.19E+03,0.728E+00,0.955E+00,0.000E+99,0.909E+00,0.604E+03,0.000E+03,0.538E+03,-0.000E+03,0.00000E+00,0.044E+03,0.000E+03,0.015E+03,0.000E+03,0.52E+03,0.00E+03,0.19E+03,0.00E+03,0.942E+00
2022-10-08 00:45:00,0000:45:00,00000000,50.01E+00,233.7E+00,233.7E+00,0.0E+00,226.0E+00,225.9E+00,-119.0E+00,240.1E+00,240.0E+00,120.9E+00,0.48E+00,0.47E+00,-41.9E+00,10.61E+00,10.61E+00,-117.9E+00,0.02E+00,0.02E+00,112.4E+00,0.08E+03,2.40E+03,0.01E+03,2.48E+03,0.11E+03,2.40E+03,0.01E+03,2.51E+03,0.08E+03,-0.08E+03,0.00E+03,0.07E+03,0.732E+00,-0.999E+00,0.905E+00,0.987E+00,0.811E+03,0.000E+03,0.550E+03,-0.006E+03,0.00000E+00,0.207E+03,0.000E+03,0.012E+03,-0.006E+03,2.48E+03,0.00E+03,0.14E+03,-0.08E+03,0.998E+00
