"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-09-12 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-09-12 00:00:00
2022-09-12 00:05:00,0000:05:00,00000000,49.99E+00,231.4E+00,231.3E+00,0.0E+00,223.6E+00,223.5E+00,-118.4E+00,238.5E+00,238.4E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,2.90E+00,2.88E+00,-142.8E+00,1.67E+00,1.67E+00,125.0E+00,0.00E+03,0.58E+03,0.40E+03,0.98E+03,0.00E+03,0.65E+03,0.40E+03,1.04E+03,0.00E+03,0.27E+03,-0.03E+03,0.35E+03,0.000E+99,0.905E+00,-0.997E+00,0.940E+00,0.082E+03,0.000E+03,0.029E+03,0.000E+03,0.00000E+00,0.082E+03,0.000E+03,0.029E+03,0.000E+03,0.98E+03,0.00E+03,0.35E+03,0.00E+03,0.943E+00
2022-09-12 00:10:00,0000:10:00,00000000,50.01E+00,231.4E+00,231.4E+00,0.0E+00,223.8E+00,223.7E+00,-118.5E+00,238.7E+00,238.6E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,3.02E+00,3.00E+00,-143.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.61E+03,0.00E+03,0.61E+03,0.00E+03,0.67E+03,0.00E+03,0.67E+03,0.00E+03,0.29E+03,0.00E+03,0.29E+03,0.000E+99,0.901E+00,0.000E+99,0.901E+00,0.132E+03,0.000E+03,0.053E+03,-0.000E+03,0.00000E+00,0.051E+03,0.000E+03,0.024E+03,-0.000E+03,0.61E+03,0.00E+03,0.29E+03,-0.00E+03,0.903E+00
2022-09-12 00:15:00,0000:15:00,00000000,50.00E+00,231.4E+00,231.3E+00,0.0E+00,223.7E+00,223.7E+00,-118.5E+00,238.4E+00,238.4E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,2.47E+00,2.45E+00,-142.6E+00,0.73E+00,0.72E+00,92.8E+00,0.00E+03,0.50E+03,0.15E+03,0.65E+03,0.00E+03,0.55E+03,0.17E+03,0.73E+03,0.00E+03,0.23E+03,0.09E+03,0.32E+03,0.000E+99,0.904E+00,0.862E+00,0.894E+00,0.187E+03,0.000E+03,0.080E+03,-0.000E+03,0.00000E+00,0.054E+03,0.000E+03,0.027E+03,-0.000E+03,0.65E+03,0.00E+03,0.32E+03,-0.00E+03,0.895E+00
2022-09-12 00:20:00,0000:20:00,00000000,50.00E+00,231.3E+00,231.2E+00,0.0E+00,223.9E+00,223.9E+00,-118.4E+00,238.3E+00,238.3E+00,121.3E+00,0.89E+00,0.88E+00,-40.1E+00,0.57E+00,0.57E+00,-144.6E+00,2.53E+00,2.49E+00,89.6E+00,0.16E+03,0.11E+03,0.50E+03,0.77E+03,0.21E+03,0.13E+03,0.60E+03,0.94E+03,0.13E+03,0.06E+03,0.33E+03,0.52E+03,0.756E+00,0.890E+00,0.835E+00,0.825E+00,0.251E+03,0.000E+03,0.124E+03,-0.000E+03,0.00000E+00,0.064E+03,0.000E+03,0.044E+03,0.000E+03,0.77E+03,0.00E+03,0.52E+03,0.00E+03,0.827E+00
2022-09-12 00:25:00,0000:25:00,00000000,50.00E+00,231.1E+00,231.0E+00,0.0E+00,223.6E+00,223.6E+00,-118.6E+00,238.7E+00,238.7E+00,121.2E+00,5.64E+00,5.61E+00,-43.5E+00,3.00E+00,2.98E+00,-143.1E+00,0.37E+00,0.36E+00,87.0E+00,0.94E+03,0.60E+03,0.07E+03,1.61E+03,1.30E+03,0.67E+03,0.09E+03,2.06E+03,0.90E+03,0.29E+03,0.05E+03,1.27E+03,0.721E+00,0.900E+00,0.811E+00,0.783E+00,0.385E+03,0.000E+03,0.229E+03,-0.000E+03,0.00000E+00,0.134E+03,0.000E+03,0.106E+03,0.000E+03,1.61E+03,0.00E+03,1.27E+03,0.00E+03,0.786E+00
2022-09-12 00:30:00,0000:30:00,00000000,49.99E+00,231.4E+00,231.3E+00,0.0E+00,223.9E+00,223.8E+00,-118.5E+00,238.9E+00,238.9E+00,121.3E+00,2.93E+00,2.91E+00,-44.7E+00,1.02E+00,1.01E+00,-142.9E+00,0.01E+00,0.01E+00,121.0E+00,0.48E+03,0.20E+03,0.00E+03,0.68E+03,0.68E+03,0.23E+03,0.00E+03,0.91E+03,0.48E+03,0.10E+03,-0.00E+03,0.58E+03,0.707E+00,0.895E+00,0.931E+00,0.755E+00,0.442E+03,0.000E+03,0.278E+03,-0.000E+03,0.00000E+00,0.057E+03,0.000E+03,0.048E+03,-0.000E+03,0.68E+03,0.00E+03,0.58E+03,-0.00E+03,0.764E+00
2022-09-12 00:35:00,0000:35:00,00000000,50.02E+00,231.7E+00,231.7E+00,0.0E+00,224.1E+00,224.0E+00,-118.5E+00,239.1E+00,239.0E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,1.94E+00,1.93E+00,-143.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.39E+03,0.00E+03,0.39E+03,0.00E+03,0.43E+03,0.00E+03,0.43E+03,0.00E+03,0.19E+03,0.00E+03,0.19E+03,0.000E+99,0.902E+00,0.000E+99,0.902E+00,0.475E+03,0.000E+03,0.293E+03,-0.000E+03,0.00000E+00,0.033E+03,0.000E+03,0.016E+03,0.000E+03,0.39E+03,0.00E+03,0.19E+03,0.00E+03,0.902E+00
2022-09-12 00:40:00,0000:40:00,00000000,50.00E+00,231.9E+00,231.8E+00,0.0E+00,224.5E+00,224.4E+00,-118.4E+00,239.2E+00,239.2E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,3.03E+00,3.01E+00,-143.7E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.61E+03,0.00E+03,0.61E+03,0.00E+03,0.68E+03,0.00E+03,0.68E+03,0.00E+03,0.30E+03,0.00E+03,0.30E+03,0.000E+99,0.895E+00,0.000E+99,0.895E+00,0.526E+03,0.000E+03,0.318E+03,-0.000E+03,0.00000E+00,0.051E+03,0.000E+03,0.025E+03,-0.000E+03,0.61E+03,0.00E+03,0.30E+03,-0.00E+03,0.897E+00
2022-09-12 00:45:00,0000:45:00,00000000,50.00E+00,231.9E+00,231.9E+00,0.0E+00,224.7E+00,224.7E+00,-118.5E+00,239.2E+00,239.2E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.000E+99,0.000E+99,0.000E+99,0.000E+99,0.526E+03,0.000E+03,0.318E+03,-0.000E+03,0.00000E+00,0.000E+03,0.000E+03,0.000E+03,0.000E+03,0.00E+03,0.00E+03,0.00E+03,0.00E+03,0.000E+99
