"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-11-07 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-11-07 00:00:00
2022-11-07 00:05:00,0000:05:00,00000000,50.00E+00,234.7E+00,234.6E+00,0.0E+00,227.5E+00,227.4E+00,-118.9E+00,240.3E+00,240.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,3.84E+00,3.82E+00,-146.0E+00,1.08E+00,1.05E+00,92.4E+00,0.00E+03,0.77E+03,0.22E+03,0.99E+03,0.00E+03,0.87E+03,0.26E+03,1.13E+03,0.00E+03,0.41E+03,0.14E+03,0.54E+03,0.000E+99,0.883E+00,0.852E+00,0.876E+00,0.083E+03,0.000E+03,0.045E+03,0.000E+03,0.00000E+00,0.083E+03,0.000E+03,0.045E+03,0.000E+03,0.99E+03,0.00E+03,0.54E+03,0.00E+03,0.877E+00
2022-11-07 00:10:00,0000:10:00,00000000,50.00E+00,234.6E+00,234.6E+00,0.0E+00,227.7E+00,227.6E+00,-118.9E+00,240.3E+00,240.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,0.25E+00,0.25E+00,-142.4E+00,0.01E+00,0.01E+00,126.0E+00,0.00E+03,0.05E+03,0.00E+03,0.05E+03,0.00E+03,0.06E+03,0.00E+03,0.06E+03,0.00E+03,0.03E+03,-0.00E+03,0.02E+03,0.000E+99,0.875E+00,-0.917E+00,0.876E+00,0.087E+03,0.000E+03,0.047E+03,-0.000E+03,0.00000E+00,0.004E+03,0.000E+03,0.002E+03,-0.000E+03,0.05E+03,0.00E+03,0.03E+03,-0.00E+03,0.898E+00
2022-11-07 00:15:00,0000:15:00,00000000,50.01E+00,234.8E+00,234.8E+00,0.0E+00,227.5E+00,227.4E+00,-118.9E+00,240.5E+00,240.5E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,3.59E+00,3.57E+00,-146.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.72E+03,0.00E+03,0.72E+03,0.00E+03,0.82E+03,0.00E+03,0.82E+03,0.00E+03,0.38E+03,0.00E+03,0.38E+03,0.000E+99,0.884E+00,0.000E+99,0.884E+00,0.147E+03,0.000E+03,0.079E+03,-0.000E+03,0.00000E+00,0.060E+03,0.000E+03,0.032E+03,0.000E+03,0.72E+03,0.00E+03,0.38E+03,0.00E+03,0.884E+00
2022-11-07 00:20:00,0000:20:00,00000000,50.00E+00,234.7E+00,234.6E+00,0.0E+00,227.6E+00,227.5E+00,-118.9E+00,240.6E+00,240.5E+00,121.0E+00,0.68E+00,0.67E+00,-42.5E+00,3.64E+00,3.62E+00,-145.8E+00,2.00E+00,1.96E+00,91.1E+00,0.11E+03,0.73E+03,0.41E+03,1.25E+03,0.16E+03,0.83E+03,0.48E+03,1.47E+03,0.11E+03,0.38E+03,0.25E+03,0.76E+03,0.712E+00,0.885E+00,0.848E+00,0.854E+00,0.252E+03,0.000E+03,0.143E+03,-0.000E+03,0.00000E+00,0.105E+03,0.000E+03,0.063E+03,0.000E+03,1.25E+03,0.00E+03,0.76E+03,0.00E+03,0.855E+00
2022-11-07 00:25:00,0000:25:00,00000000,50.00E+00,234.5E+00,234.5E+00,0.0E+00,227.8E+00,227.7E+00,-118.9E+00,240.5E+00,240.4E+00,121.0E+00,2.42E+00,2.39E+00,-42.7E+00,0.17E+00,0.16E+00,-152.1E+00,1.40E+00,1.38E+00,81.6E+00,0.40E+03,0.03E+03,0.26E+03,0.69E+03,0.57E+03,0.04E+03,0.34E+03,0.94E+03,0.40E+03,0.02E+03,0.22E+03,0.64E+03,0.710E+00,0.829E+00,0.762E+00,0.734E+00,0.309E+03,0.000E+03,0.196E+03,-0.000E+03,0.00000E+00,0.058E+03,0.000E+03,0.053E+03,0.000E+03,0.69E+03,0.00E+03,0.64E+03,0.00E+03,0.735E+00
2022-11-07 00:30:00,0000:30:00,00000000,50.00E+00,234.9E+00,234.8E+00,0.0E+00,227.7E+00,227.6E+00,-118.9E+00,240.6E+00,240.5E+00,120.9E+00,1.89E+00,1.87E+00,-43.1E+00,3.87E+00,3.84E+00,-146.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.32E+03,0.77E+03,0.00E+03,1.09E+03,0.44E+03,0.88E+03,0.00E+03,1.32E+03,0.31E+03,0.41E+03,0.00E+03,0.73E+03,0.713E+00,0.881E+00,0.000E+99,0.824E+00,0.400E+03,0.000E+03,0.257E+03,-0.000E+03,0.00000E+00,0.091E+03,0.000E+03,0.061E+03,-0.000E+03,1.09E+03,0.00E+03,0.73E+03,-0.00E+03,0.830E+00
2022-11-07 00:35:00,0000:35:00,00000000,50.00E+00,234.9E+00,234.8E+00,0.0E+00,227.9E+00,227.8E+00,-119.0E+00,240.5E+00,240.5E+00,120.9E+00,1.88E+00,1.86E+00,-43.0E+00,0.72E+00,0.72E+00,-145.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.31E+03,0.14E+03,0.00E+03,0.46E+03,0.44E+03,0.16E+03,0.00E+03,0.61E+03,0.31E+03,0.08E+03,0.00E+03,0.39E+03,0.710E+00,0.881E+00,0.000E+99,0.757E+00,0.438E+03,0.000E+03,0.289E+03,-0.000E+03,0.00000E+00,0.038E+03,0.000E+03,0.032E+03,-0.000E+03,0.46E+03,0.00E+03,0.39E+03,-0.00E+03,0.765E+00
2022-11-07 00:40:00,0000:40:00,00000000,50.00E+00,234.9E+00,234.8E+00,0.0E+00,227.8E+00,227.7E+00,-119.0E+00,240.6E+00,240.6E+00,120.9E+00,1.93E+00,1.91E+00,-43.1E+00,3.08E+00,3.06E+00,-146.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.32E+03,0.62E+03,0.00E+03,0.94E+03,0.45E+03,0.70E+03,0.00E+03,1.15E+03,0.32E+03,0.33E+03,0.00E+03,0.65E+03,0.711E+00,0.881E+00,0.000E+99,0.814E+00,0.516E+03,0.000E+03,0.343E+03,-0.000E+03,0.00000E+00,0.078E+03,0.000E+03,0.054E+03,0.000E+03,0.94E+03,0.00E+03,0.65E+03,0.00E+03,0.820E+00
2022-11-07 00:45:00,0000:45:00,00000000,50.00E+00,234.9E+00,234.8E+00,0.0E+00,227.7E+00,227.6E+00,-119.0E+00,240.6E+00,240.5E+00,120.8E+00,1.71E+00,1.69E+00,-43.2E+00,5.25E+00,5.25E+00,-116.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.28E+03,1.19E+03,0.00E+03,1.47E+03,0.40E+03,1.19E+03,0.00E+03,1.59E+03,0.28E+03,-0.07E+03,0.00E+03,0.33E+03,0.710E+00,-0.998E+00,0.000E+99,0.926E+00,0.639E+03,0.000E+03,0.375E+03,-0.004E+03,0.00000E+00,0.123E+03,0.000E+03,0.032E+03,-0.004E+03,1.47E+03,0.00E+03,0.38E+03,-0.05E+03,0.968E+00
