"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-08-01 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-08-01 00:00:00
2022-08-01 00:05:00,0000:05:00,00000000,50.00E+00,232.0E+00,231.9E+00,0.0E+00,221.9E+00,221.8E+00,-118.6E+00,238.4E+00,238.3E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.49E+00,0.48E+00,-142.7E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.10E+03,0.00E+03,0.10E+03,0.00E+03,0.11E+03,0.00E+03,0.11E+03,0.00E+03,0.05E+03,0.00E+03,0.05E+03,0.000E+99,0.881E+00,0.000E+99,0.881E+00,0.008E+03,0.000E+03,0.004E+03,-0.000E+03,0.00000E+00,0.008E+03,0.000E+03,0.004E+03,-0.000E+03,0.10E+03,0.00E+03,0.05E+03,-0.00E+03,0.892E+00
2022-08-01 00:10:00,0000:10:00,00000000,49.99E+00,232.1E+00,232.0E+00,0.0E+00,222.1E+00,222.0E+00,-118.6E+00,238.4E+00,238.4E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,2.33E+00,2.31E+00,-144.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.46E+03,0.00E+03,0.46E+03,0.00E+03,0.52E+03,0.00E+03,0.52E+03,0.00E+03,0.23E+03,0.00E+03,0.23E+03,0.000E+99,0.894E+00,0.000E+99,0.894E+00,0.047E+03,0.000E+03,0.023E+03,-0.000E+03,0.00000E+00,0.039E+03,0.000E+03,0.019E+03,0.000E+03,0.46E+03,0.00E+03,0.23E+03,0.00E+03,0.894E+00
2022-08-01 00:15:00,0000:15:00,00000000,50.00E+00,231.9E+00,231.9E+00,0.0E+00,222.0E+00,221.9E+00,-118.6E+00,238.4E+00,238.4E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.62E+00,2.60E+00,-143.8E+00,0.69E+00,0.68E+00,94.0E+00,0.00E+03,0.52E+03,0.14E+03,0.66E+03,0.00E+03,0.58E+03,0.17E+03,0.75E+03,0.00E+03,0.26E+03,0.08E+03,0.34E+03,0.000E+99,0.896E+00,0.864E+00,0.889E+00,0.102E+03,0.000E+03,0.052E+03,-0.000E+03,0.00000E+00,0.055E+03,0.000E+03,0.028E+03,-0.000E+03,0.66E+03,0.00E+03,0.34E+03,-0.00E+03,0.890E+00
2022-08-01 00:20:00,0000:20:00,00000000,49.99E+00,232.2E+00,232.1E+00,0.0E+00,222.1E+00,222.1E+00,-118.6E+00,238.7E+00,238.6E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.23E+00,0.23E+00,-146.9E+00,0.12E+00,0.11E+00,88.0E+00,0.00E+03,0.05E+03,0.02E+03,0.07E+03,0.00E+03,0.05E+03,0.03E+03,0.08E+03,0.00E+03,0.03E+03,0.02E+03,0.04E+03,0.000E+99,0.873E+00,0.820E+00,0.854E+00,0.107E+03,0.000E+03,0.055E+03,-0.000E+03,0.00000E+00,0.006E+03,0.000E+03,0.003E+03,0.000E+03,0.07E+03,0.00E+03,0.04E+03,0.00E+03,0.855E+00
2022-08-01 00:25:00,0000:25:00,00000000,50.00E+00,232.2E+00,232.1E+00,0.0E+00,222.3E+00,222.2E+00,-118.6E+00,238.8E+00,238.8E+00,121.0E+00,2.86E+00,2.84E+00,-42.8E+00,2.89E+00,2.86E+00,-144.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.48E+03,0.57E+03,0.00E+03,1.05E+03,0.66E+03,0.64E+03,0.00E+03,1.30E+03,0.46E+03,0.29E+03,0.00E+03,0.76E+03,0.728E+00,0.893E+00,0.000E+99,0.809E+00,0.195E+03,0.000E+03,0.119E+03,-0.000E+03,0.00000E+00,0.088E+03,0.000E+03,0.064E+03,0.000E+03,1.05E+03,0.00E+03,0.76E+03,0.00E+03,0.810E+00
2022-08-01 00:30:00,0000:30:00,00000000,49.99E+00,232.1E+00,232.0E+00,0.0E+00,222.3E+00,222.2E+00,-118.6E+00,239.0E+00,239.0E+00,121.1E+00,4.20E+00,4.18E+00,-44.4E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+00,0.00E+00,-2.3E+00,0.69E+03,0.00E+03,0.00E+03,0.69E+03,0.97E+03,0.00E+03,0.00E+03,0.97E+03,0.69E+03,0.00E+03,0.00E+03,0.69E+03,0.711E+00,0.000E+99,0.000E+99,0.711E+00,0.253E+03,0.000E+03,0.176E+03,-0.000E+03,0.00000E+00,0.058E+03,0.000E+03,0.057E+03,0.000E+03,0.69E+03,0.00E+03,0.69E+03,0.00E+03,0.711E+00
2022-08-01 00:35:00,0000:35:00,00000000,49.95E+00,232.2E+00,232.1E+00,0.0E+00,222.2E+00,222.1E+00,-118.6E+00,238.6E+00,238.6E+00,121.1E+00,0.00E+00,0.00E+00,-2.3E+00,2.88E+00,2.85E+00,-144.7E+00,1.43E+00,1.41E+00,89.1E+00,0.00E+03,0.57E+03,0.28E+03,0.85E+03,0.00E+03,0.64E+03,0.34E+03,0.98E+03,0.00E+03,0.29E+03,0.19E+03,0.48E+03,0.000E+99,0.887E+00,0.832E+00,0.868E+00,0.324E+03,0.000E+03,0.216E+03,-0.000E+03,0.00000E+00,0.071E+03,0.000E+03,0.040E+03,0.000E+03,0.85E+03,0.00E+03,0.48E+03,0.00E+03,0.869E+00
2022-08-01 00:40:00,0000:40:00,00000000,49.99E+00,231.7E+00,231.7E+00,0.0E+00,222.1E+00,222.1E+00,-118.5E+00,238.6E+00,238.5E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.22E+00,0.21E+00,88.3E+00,0.00E+03,0.00E+03,0.04E+03,0.04E+03,0.00E+03,0.00E+03,0.05E+03,0.05E+03,0.00E+03,0.00E+03,0.03E+03,0.03E+03,0.000E+99,0.000E+99,0.819E+00,0.819E+00,0.327E+03,0.000E+03,0.218E+03,-0.000E+03,0.00000E+00,0.004E+03,0.000E+03,0.002E+03,-0.000E+03,0.04E+03,0.00E+03,0.03E+03,-0.00E+03,0.825E+00
2022-08-01 00:45:00,0000:45:00,00000000,50.00E+00,231.8E+00,231.7E+00,0.0E+00,222.0E+00,221.9E+00,-118.5E+00,238.7E+00,238.6E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,2.85E+00,2.83E+00,-144.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.56E+03,0.00E+03,0.56E+03,0.00E+03,0.63E+03,0.00E+03,0.63E+03,0.00E+03,0.28E+03,0.00E+03,0.28E+03,0.000E+99,0.892E+00,0.000E+99,0.892E+00,0.374E+03,0.000E+03,0.242E+03,-0.000E+03,0.00000E+00,0.047E+03,0.000E+03,0.024E+03,-0.000E+03,0.56E+03,0.00E+03,0.28E+03,-0.00E+03,0.894E+00
