"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-08-03 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-08-03 00:00:00
2022-08-03 00:05:00,0000:05:00,00000000,49.99E+00,232.3E+00,232.2E+00,0.0E+00,222.5E+00,222.5E+00,-118.2E+00,239.8E+00,239.8E+00,121.2E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+00,0.00E+00,-2.3E+00,4.64E+00,4.49E+00,109.0E+00,0.00E+03,0.00E+03,1.03E+03,1.03E+03,0.00E+03,0.00E+03,1.11E+03,1.11E+03,0.00E+03,0.00E+03,0.29E+03,0.29E+03,0.000E+99,0.000E+99,0.926E+00,0.926E+00,0.086E+03,0.000E+03,0.029E+03,-0.005E+03,0.00000E+00,0.086E+03,0.000E+03,0.029E+03,-0.005E+03,1.03E+03,0.00E+03,0.35E+03,-0.06E+03,0.946E+00
2022-08-03 00:10:00,0000:10:00,00000000,50.00E+00,232.4E+00,232.3E+00,0.0E+00,222.0E+00,222.0E+00,-118.3E+00,239.7E+00,239.7E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.44E+00,3.42E+00,-144.2E+00,3.85E+00,3.67E+00,127.8E+00,0.00E+03,0.68E+03,0.86E+03,1.54E+03,0.00E+03,0.76E+03,0.92E+03,1.68E+03,0.00E+03,0.34E+03,-0.25E+03,0.32E+03,0.000E+99,0.891E+00,-0.936E+00,0.915E+00,0.214E+03,0.000E+03,0.071E+03,-0.020E+03,0.00000E+00,0.128E+03,0.000E+03,0.041E+03,-0.015E+03,1.54E+03,0.00E+03,0.49E+03,-0.18E+03,0.952E+00
2022-08-03 00:15:00,0000:15:00,00000000,50.00E+00,232.6E+00,232.5E+00,0.0E+00,221.9E+00,221.9E+00,-118.4E+00,239.9E+00,239.9E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,5.99E+00,5.98E+00,-115.3E+00,4.24E+00,4.06E+00,130.0E+00,0.00E+03,1.32E+03,0.96E+03,2.29E+03,0.00E+03,1.33E+03,1.02E+03,2.34E+03,0.00E+03,-0.08E+03,-0.33E+03,-0.50E+03,0.000E+99,-0.998E+00,-0.946E+00,-0.975E+00,0.405E+03,0.000E+03,0.071E+03,-0.062E+03,0.00000E+00,0.190E+03,0.000E+03,0.000E+03,-0.042E+03,2.29E+03,0.00E+03,0.00E+03,-0.50E+03,1.000E+00
2022-08-03 00:20:00,0000:20:00,00000000,49.99E+00,232.6E+00,232.6E+00,0.0E+00,221.7E+00,221.7E+00,-118.4E+00,240.2E+00,240.1E+00,121.0E+00,0.00E+00,0.00E+00,-2.3E+00,10.58E+00,10.58E+00,-115.2E+00,3.84E+00,3.65E+00,135.0E+00,0.00E+03,2.34E+03,0.85E+03,3.19E+03,0.00E+03,2.35E+03,0.92E+03,3.27E+03,0.00E+03,-0.15E+03,-0.36E+03,-0.71E+03,0.000E+99,-0.998E+00,-0.921E+00,-0.976E+00,0.671E+03,0.000E+03,0.071E+03,-0.121E+03,0.00000E+00,0.266E+03,0.000E+03,0.000E+03,-0.059E+03,3.19E+03,0.00E+03,0.00E+03,-0.71E+03,1.000E+00
2022-08-03 00:25:00,0000:25:00,00000000,50.00E+00,232.5E+00,232.5E+00,0.0E+00,221.8E+00,221.8E+00,-118.4E+00,240.3E+00,240.3E+00,121.1E+00,2.46E+00,2.44E+00,-41.1E+00,8.43E+00,8.42E+00,-115.2E+00,3.40E+00,3.31E+00,101.9E+00,0.43E+03,1.86E+03,0.73E+03,3.02E+03,0.57E+03,1.87E+03,0.82E+03,3.26E+03,0.38E+03,-0.12E+03,0.31E+03,1.00E+03,0.747E+00,-0.998E+00,0.899E+00,0.929E+00,0.923E+03,0.000E+03,0.157E+03,-0.124E+03,0.00000E+00,0.252E+03,0.000E+03,0.087E+03,-0.003E+03,3.02E+03,0.00E+03,1.04E+03,-0.04E+03,0.946E+00
2022-08-03 00:30:00,0000:30:00,00000000,50.00E+00,232.6E+00,232.5E+00,0.0E+00,221.7E+00,221.6E+00,-118.4E+00,240.6E+00,240.6E+00,121.1E+00,5.76E+00,5.73E+00,-43.5E+00,8.50E+00,8.45E+00,-139.9E+00,1.75E+00,1.66E+00,137.5E+00,0.97E+03,1.74E+03,0.38E+03,3.09E+03,1.34E+03,1.88E+03,0.42E+03,3.64E+03,0.93E+03,0.71E+03,-0.18E+03,1.93E+03,0.721E+00,0.925E+00,-0.907E+00,0.848E+00,1.180E+03,0.000E+03,0.318E+03,-0.124E+03,0.00000E+00,0.257E+03,0.000E+03,0.161E+03,0.000E+03,3.09E+03,0.00E+03,1.93E+03,0.00E+03,0.848E+00
2022-08-03 00:35:00,0000:35:00,00000000,50.00E+00,232.0E+00,231.9E+00,0.0E+00,220.7E+00,220.6E+00,-118.4E+00,239.1E+00,239.0E+00,121.0E+00,0.62E+00,0.61E+00,-44.0E+00,9.73E+00,9.67E+00,-141.7E+00,2.59E+00,2.46E+00,137.3E+00,0.10E+03,1.96E+03,0.56E+03,2.62E+03,0.14E+03,2.15E+03,0.62E+03,2.91E+03,0.10E+03,0.88E+03,-0.26E+03,1.25E+03,0.715E+00,0.913E+00,-0.908E+00,0.902E+00,1.399E+03,0.000E+03,0.422E+03,-0.124E+03,0.00000E+00,0.219E+03,0.000E+03,0.104E+03,0.000E+03,2.62E+03,0.00E+03,1.25E+03,0.00E+03,0.903E+00
2022-08-03 00:40:00,0000:40:00,00000000,50.00E+00,231.6E+00,231.5E+00,0.0E+00,220.8E+00,220.7E+00,-118.4E+00,238.9E+00,238.8E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,3.99E+00,3.96E+00,-143.0E+00,3.47E+00,3.29E+00,140.1E+00,0.00E+03,0.79E+03,0.73E+03,1.52E+03,0.00E+03,0.88E+03,0.83E+03,1.71E+03,0.00E+03,0.37E+03,-0.34E+03,0.33E+03,0.000E+99,0.904E+00,-0.877E+00,0.891E+00,1.526E+03,0.000E+03,0.467E+03,-0.142E+03,0.00000E+00,0.127E+03,0.000E+03,0.046E+03,-0.018E+03,1.52E+03,0.00E+03,0.55E+03,-0.22E+03,0.941E+00
2022-08-03 00:45:00,0000:45:00,00000000,50.00E+00,231.6E+00,231.6E+00,0.0E+00,220.9E+00,220.9E+00,-118.4E+00,238.8E+00,238.8E+00,121.2E+00,0.00E+00,0.00E+00,-2.4E+00,3.78E+00,3.76E+00,-143.6E+00,4.83E+00,4.66E+00,119.8E+00,0.00E+03,0.75E+03,1.09E+03,1.84E+03,0.00E+03,0.83E+03,1.15E+03,1.99E+03,0.00E+03,0.37E+03,0.18E+03,0.56E+03,0.000E+99,0.897E+00,0.945E+00,0.925E+00,1.679E+03,0.000E+03,0.521E+03,-0.149E+03,0.00000E+00,0.153E+03,0.000E+03,0.054E+03,-0.007E+03,1.84E+03,0.00E+03,0.65E+03,-0.09E+03,0.943E+00
