"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-08-23 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-08-23 00:00:00
2022-08-23 00:05:00,0000:05:00,00000000,50.01E+00,231.5E+00,231.4E+00,0.0E+00,221.2E+00,221.1E+00,-118.2E+00,238.9E+00,238.9E+00,120.6E+00,0.00E+00,0.00E+00,-2.5E+00,10.63E+00,10.63E+00,-116.1E+00,7.00E+00,6.85E+00,135.0E+00,0.00E+03,2.35E+03,1.58E+03,3.93E+03,0.00E+03,2.35E+03,1.67E+03,4.02E+03,0.00E+03,-0.11E+03,-0.53E+03,-0.85E+03,0.000E+99,-0.999E+00,-0.948E+00,-0.978E+00,0.328E+03,0.000E+03,0.000E+03,-0.071E+03,0.00000E+00,0.328E+03,0.000E+03,0.000E+03,-0.071E+03,3.93E+03,0.00E+03,0.00E+03,-0.85E+03,1.000E+00
2022-08-23 00:10:00,0000:10:00,00000000,49.99E+00,231.7E+00,231.6E+00,0.0E+00,221.3E+00,221.2E+00,-118.2E+00,239.1E+00,239.1E+00,120.6E+00,0.00E+00,0.00E+00,-2.4E+00,9.43E+00,9.43E+00,-116.1E+00,7.02E+00,6.87E+00,135.1E+00,0.00E+03,2.08E+03,1.59E+03,3.67E+03,0.00E+03,2.09E+03,1.68E+03,3.76E+03,0.00E+03,-0.10E+03,-0.53E+03,-0.81E+03,0.000E+99,-0.999E+00,-0.948E+00,-0.976E+00,0.634E+03,0.000E+03,0.000E+03,-0.138E+03,0.00000E+00,0.306E+03,0.000E+03,0.000E+03,-0.068E+03,3.67E+03,0.00E+03,0.00E+03,-0.81E+03,1.000E+00
2022-08-23 00:15:00,0000:15:00,00000000,50.01E+00,231.9E+00,231.8E+00,0.0E+00,221.4E+00,221.4E+00,-118.1E+00,239.1E+00,239.1E+00,120.6E+00,0.00E+00,0.00E+00,-2.4E+00,7.53E+00,7.49E+00,-141.4E+00,7.00E+00,6.85E+00,135.2E+00,0.00E+03,1.52E+03,1.59E+03,3.11E+03,0.00E+03,1.67E+03,1.67E+03,3.34E+03,0.00E+03,0.68E+03,-0.53E+03,0.91E+03,0.000E+99,0.912E+00,-0.948E+00,0.930E+00,0.893E+03,0.000E+03,0.089E+03,-0.151E+03,0.00000E+00,0.259E+03,0.000E+03,0.089E+03,-0.013E+03,3.11E+03,0.00E+03,1.06E+03,-0.16E+03,0.946E+00
2022-08-23 00:20:00,0000:20:00,00000000,50.00E+00,232.0E+00,231.9E+00,0.0E+00,221.3E+00,221.3E+00,-118.1E+00,238.9E+00,238.9E+00,120.6E+00,0.28E+00,0.27E+00,-40.6E+00,9.80E+00,9.75E+00,-143.9E+00,7.00E+00,6.86E+00,135.1E+00,0.05E+03,1.94E+03,1.59E+03,3.58E+03,0.06E+03,2.17E+03,1.67E+03,3.91E+03,0.04E+03,0.96E+03,-0.53E+03,1.57E+03,0.745E+00,0.896E+00,-0.948E+00,0.916E+00,1.191E+03,0.000E+03,0.219E+03,-0.151E+03,0.00000E+00,0.298E+03,0.000E+03,0.131E+03,0.000E+03,3.58E+03,0.00E+03,1.57E+03,0.00E+03,0.916E+00
2022-08-23 00:25:00,0000:25:00,00000000,49.99E+00,231.6E+00,231.6E+00,0.0E+00,221.6E+00,221.6E+00,-118.2E+00,239.3E+00,239.3E+00,120.7E+00,5.84E+00,5.80E+00,-44.0E+00,4.35E+00,4.32E+00,-145.2E+00,7.12E+00,6.98E+00,132.9E+00,0.97E+03,0.85E+03,1.63E+03,3.45E+03,1.35E+03,0.96E+03,1.71E+03,4.02E+03,0.94E+03,0.45E+03,-0.49E+03,2.06E+03,0.715E+00,0.884E+00,-0.957E+00,0.858E+00,1.478E+03,0.000E+03,0.391E+03,-0.151E+03,0.00000E+00,0.287E+03,0.000E+03,0.172E+03,0.000E+03,3.45E+03,0.00E+03,2.06E+03,0.00E+03,0.858E+00
2022-08-23 00:30:00,0000:30:00,00000000,50.01E+00,232.0E+00,231.9E+00,0.0E+00,222.0E+00,222.0E+00,-118.1E+00,239.5E+00,239.5E+00,120.7E+00,1.75E+00,1.74E+00,-46.1E+00,3.45E+00,3.43E+00,-146.0E+00,7.20E+00,7.06E+00,131.4E+00,0.28E+03,0.67E+03,1.66E+03,2.61E+03,0.41E+03,0.76E+03,1.72E+03,2.89E+03,0.29E+03,0.36E+03,-0.46E+03,0.62E+03,0.690E+00,0.879E+00,-0.963E+00,0.902E+00,1.696E+03,0.000E+03,0.467E+03,-0.175E+03,0.00000E+00,0.218E+03,0.000E+03,0.076E+03,-0.024E+03,2.61E+03,0.00E+03,0.91E+03,-0.28E+03,0.944E+00
2022-08-23 00:35:00,0000:35:00,00000000,49.99E+00,232.2E+00,232.2E+00,0.0E+00,222.2E+00,222.2E+00,-118.0E+00,239.5E+00,239.5E+00,120.8E+00,0.12E+00,0.11E+00,-40.5E+00,3.56E+00,3.54E+00,-146.1E+00,9.07E+00,8.95E+00,125.0E+00,0.02E+03,0.69E+03,2.14E+03,2.85E+03,0.03E+03,0.79E+03,2.17E+03,2.99E+03,0.02E+03,0.38E+03,-0.37E+03,0.38E+03,0.726E+00,0.875E+00,-0.983E+00,0.952E+00,1.933E+03,0.000E+03,0.517E+03,-0.194E+03,0.00000E+00,0.237E+03,0.000E+03,0.050E+03,-0.019E+03,2.85E+03,0.00E+03,0.60E+03,-0.23E+03,0.978E+00
2022-08-23 00:40:00,0000:40:00,00000000,50.01E+00,232.1E+00,232.1E+00,0.0E+00,222.4E+00,222.3E+00,-118.0E+00,238.7E+00,238.7E+00,120.8E+00,4.94E+00,4.92E+00,-43.3E+00,3.68E+00,3.66E+00,-146.0E+00,20.09E+00,20.05E+00,123.2E+00,0.83E+03,0.72E+03,4.78E+03,6.33E+03,1.15E+03,0.82E+03,4.80E+03,6.76E+03,0.79E+03,0.39E+03,-0.40E+03,2.24E+03,0.724E+00,0.874E+00,-0.997E+00,0.935E+00,2.460E+03,0.000E+03,0.707E+03,-0.197E+03,0.00000E+00,0.527E+03,0.000E+03,0.190E+03,-0.003E+03,6.33E+03,0.00E+03,2.28E+03,-0.04E+03,0.941E+00
2022-08-23 00:45:00,0000:45:00,00000000,50.00E+00,232.3E+00,232.3E+00,0.0E+00,222.7E+00,222.7E+00,-118.0E+00,238.8E+00,238.7E+00,120.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.02E+00,0.02E+00,-120.8E+00,20.05E+00,20.01E+00,123.3E+00,0.00E+03,0.00E+03,4.77E+03,4.78E+03,0.00E+03,0.00E+03,4.79E+03,4.79E+03,0.00E+03,0.00E+03,-0.39E+03,-0.39E+03,0.000E+99,0.992E+00,-0.997E+00,-0.997E+00,2.858E+03,0.000E+03,0.707E+03,-0.230E+03,0.00000E+00,0.398E+03,0.000E+03,0.000E+03,-0.033E+03,4.78E+03,0.00E+03,0.00E+03,-0.39E+03,1.000E+00
