"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-07-05 09:05:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-07-05 09:05:00
2022-07-05 09:10:00,0000:05:00,00000000,50.00E+00,232.4E+00,232.4E+00,0.0E+00,223.7E+00,223.6E+00,-118.6E+00,238.1E+00,238.1E+00,121.3E+00,0.18E+00,0.17E+00,-39.1E+00,8.48E+00,8.37E+00,-144.1E+00,7.92E+00,7.69E+00,129.5E+00,0.03E+03,1.67E+03,1.81E+03,3.51E+03,0.04E+03,1.90E+03,1.89E+03,3.82E+03,0.03E+03,0.85E+03,-0.53E+03,1.48E+03,0.749E+00,0.882E+00,-0.959E+00,0.919E+00,0.293E+03,0.000E+03,0.124E+03,0.000E+03,0.00000E+00,0.293E+03,0.000E+03,0.124E+03,0.000E+03,3.51E+03,0.00E+03,1.48E+03,0.00E+03,0.921E+00
2022-07-05 09:15:00,0000:10:00,00000000,50.00E+00,232.2E+00,232.2E+00,0.0E+00,223.5E+00,223.5E+00,-118.6E+00,237.8E+00,237.8E+00,121.2E+00,2.90E+00,2.87E+00,-41.2E+00,8.46E+00,8.35E+00,-144.0E+00,8.28E+00,8.08E+00,125.9E+00,0.50E+03,1.67E+03,1.91E+03,4.08E+03,0.67E+03,1.89E+03,1.97E+03,4.53E+03,0.45E+03,0.84E+03,-0.33E+03,1.96E+03,0.744E+00,0.884E+00,-0.971E+00,0.901E+00,0.633E+03,0.000E+03,0.287E+03,0.000E+03,0.00000E+00,0.340E+03,0.000E+03,0.164E+03,0.000E+03,4.08E+03,0.00E+03,1.96E+03,0.00E+03,0.901E+00
2022-07-05 09:20:00,0000:15:00,00000000,50.00E+00,231.8E+00,231.8E+00,0.0E+00,223.2E+00,223.2E+00,-118.5E+00,237.6E+00,237.5E+00,121.2E+00,0.34E+00,0.31E+00,-5.4E+00,8.37E+00,8.26E+00,-143.9E+00,5.74E+00,5.53E+00,125.3E+00,0.07E+03,1.65E+03,1.30E+03,3.02E+03,0.08E+03,1.87E+03,1.36E+03,3.31E+03,0.03E+03,0.84E+03,-0.13E+03,1.34E+03,0.872E+00,0.884E+00,-0.951E+00,0.911E+00,0.885E+03,0.000E+03,0.399E+03,0.000E+03,0.00000E+00,0.252E+03,0.000E+03,0.111E+03,0.000E+03,3.02E+03,0.00E+03,1.34E+03,0.00E+03,0.914E+00
2022-07-05 09:25:00,0000:20:00,00000000,50.01E+00,231.2E+00,231.1E+00,0.0E+00,222.9E+00,222.9E+00,-118.6E+00,237.6E+00,237.6E+00,121.2E+00,5.88E+00,5.82E+00,-41.8E+00,8.36E+00,8.25E+00,-143.7E+00,6.27E+00,6.01E+00,126.6E+00,1.00E+03,1.65E+03,1.41E+03,4.06E+03,1.36E+03,1.86E+03,1.49E+03,4.71E+03,0.92E+03,0.83E+03,-0.11E+03,2.38E+03,0.737E+00,0.885E+00,-0.947E+00,0.862E+00,1.223E+03,0.000E+03,0.597E+03,0.000E+03,0.00000E+00,0.338E+03,0.000E+03,0.198E+03,0.000E+03,4.06E+03,0.00E+03,2.38E+03,0.00E+03,0.863E+00
2022-07-05 09:30:00,0000:25:00,00000000,50.01E+00,232.4E+00,232.4E+00,0.0E+00,223.8E+00,223.8E+00,-118.5E+00,238.4E+00,238.4E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,8.36E+00,8.25E+00,-144.5E+00,6.40E+00,5.98E+00,116.2E+00,0.00E+03,1.64E+03,1.41E+03,3.06E+03,0.00E+03,1.87E+03,1.53E+03,3.39E+03,0.00E+03,0.85E+03,0.53E+03,1.46E+03,0.000E+99,0.878E+00,0.928E+00,0.900E+00,1.478E+03,0.000E+03,0.718E+03,0.000E+03,0.00000E+00,0.255E+03,0.000E+03,0.121E+03,0.000E+03,3.06E+03,0.00E+03,1.46E+03,0.00E+03,0.903E+00
2022-07-05 09:35:00,0000:30:00,00000000,50.00E+00,232.4E+00,232.4E+00,0.0E+00,224.0E+00,224.0E+00,-118.4E+00,238.5E+00,238.5E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,8.41E+00,8.30E+00,-144.5E+00,6.53E+00,6.22E+00,124.9E+00,0.00E+03,1.65E+03,1.47E+03,3.12E+03,0.00E+03,1.88E+03,1.56E+03,3.44E+03,0.00E+03,0.86E+03,-0.00E+03,1.43E+03,0.000E+99,0.878E+00,-0.942E+00,0.907E+00,1.738E+03,0.000E+03,0.837E+03,0.000E+03,0.00000E+00,0.260E+03,0.000E+03,0.119E+03,0.000E+03,3.12E+03,0.00E+03,1.43E+03,0.00E+03,0.909E+00
2022-07-05 09:40:00,0000:35:00,00000000,50.00E+00,232.6E+00,232.6E+00,0.0E+00,224.2E+00,224.1E+00,-118.5E+00,238.6E+00,238.6E+00,121.2E+00,3.23E+00,3.20E+00,-40.9E+00,8.54E+00,8.44E+00,-144.3E+00,6.74E+00,6.32E+00,116.4E+00,0.56E+03,1.69E+03,1.50E+03,3.75E+03,0.75E+03,1.91E+03,1.61E+03,4.27E+03,0.50E+03,0.87E+03,0.57E+03,2.05E+03,0.747E+00,0.881E+00,0.934E+00,0.878E+00,2.050E+03,0.000E+03,1.008E+03,0.000E+03,0.00000E+00,0.313E+03,0.000E+03,0.170E+03,0.000E+03,3.75E+03,0.00E+03,2.05E+03,0.00E+03,0.878E+00
2022-07-05 09:45:00,0000:40:00,00000000,50.00E+00,232.2E+00,232.1E+00,0.0E+00,223.6E+00,223.5E+00,-118.6E+00,238.2E+00,238.2E+00,121.2E+00,2.79E+00,2.76E+00,-41.7E+00,8.57E+00,8.47E+00,-143.7E+00,7.12E+00,6.77E+00,121.8E+00,0.48E+03,1.70E+03,1.60E+03,3.77E+03,0.65E+03,1.92E+03,1.70E+03,4.26E+03,0.44E+03,0.85E+03,0.23E+03,1.92E+03,0.739E+00,0.885E+00,-0.942E+00,0.886E+00,2.365E+03,0.000E+03,1.168E+03,0.000E+03,0.00000E+00,0.314E+03,0.000E+03,0.160E+03,0.000E+03,3.77E+03,0.00E+03,1.92E+03,0.00E+03,0.891E+00
2022-07-05 09:50:00,0000:45:00,00000000,50.00E+00,231.6E+00,231.6E+00,0.0E+00,223.1E+00,223.1E+00,-118.4E+00,237.5E+00,237.5E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,8.10E+00,8.00E+00,-145.4E+00,6.38E+00,6.18E+00,126.3E+00,0.00E+03,1.57E+03,1.45E+03,3.03E+03,0.00E+03,1.81E+03,1.51E+03,3.32E+03,0.00E+03,0.85E+03,-0.32E+03,1.35E+03,0.000E+99,0.871E+00,-0.959E+00,0.911E+00,2.617E+03,0.000E+03,1.280E+03,0.000E+03,0.00000E+00,0.252E+03,0.000E+03,0.112E+03,0.000E+03,3.03E+03,0.00E+03,1.35E+03,0.00E+03,0.913E+00
2022-07-05 09:55:00,0000:50:00,00000000,49.99E+00,231.5E+00,231.5E+00,0.0E+00,223.0E+00,223.0E+00,-118.4E+00,237.3E+00,237.2E+00,121.2E+00,0.42E+00,0.39E+00,-1.1E+00,7.65E+00,7.54E+00,-147.5E+00,6.47E+00,6.08E+00,118.4E+00,0.09E+03,1.46E+03,1.44E+03,2.99E+03,0.10E+03,1.71E+03,1.54E+03,3.34E+03,0.03E+03,0.86E+03,0.30E+03,1.48E+03,0.920E+00,0.853E+00,0.937E+00,0.894E+00,2.866E+03,0.000E+03,1.403E+03,0.000E+03,0.00000E+00,0.249E+03,0.000E+03,0.123E+03,0.000E+03,2.99E+03,0.00E+03,1.48E+03,0.00E+03,0.896E+00
