"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-08-04 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-08-04 00:00:00
2022-08-04 00:05:00,0000:05:00,00000000,50.02E+00,234.2E+00,234.1E+00,0.0E+00,225.7E+00,225.6E+00,-118.5E+00,240.7E+00,240.7E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,1.01E+00,1.01E+00,-143.6E+00,0.02E+00,0.02E+00,112.8E+00,0.00E+03,0.20E+03,0.01E+03,0.21E+03,0.00E+03,0.23E+03,0.01E+03,0.23E+03,0.00E+03,0.10E+03,0.00E+03,0.10E+03,0.000E+99,0.892E+00,0.918E+00,0.893E+00,0.017E+03,0.000E+03,0.009E+03,-0.000E+03,0.00000E+00,0.017E+03,0.000E+03,0.009E+03,-0.000E+03,0.21E+03,0.00E+03,0.10E+03,-0.00E+03,0.896E+00
2022-08-04 00:10:00,0000:10:00,00000000,49.97E+00,233.5E+00,233.5E+00,0.0E+00,225.0E+00,225.0E+00,-118.5E+00,240.2E+00,240.2E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,2.50E+00,2.49E+00,-144.7E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.50E+03,0.00E+03,0.50E+03,0.00E+03,0.56E+03,0.00E+03,0.56E+03,0.00E+03,0.25E+03,0.00E+03,0.25E+03,0.000E+99,0.892E+00,0.000E+99,0.892E+00,0.059E+03,0.000E+03,0.030E+03,-0.000E+03,0.00000E+00,0.042E+03,0.000E+03,0.021E+03,0.000E+03,0.50E+03,0.00E+03,0.25E+03,0.00E+03,0.892E+00
2022-08-04 00:15:00,0000:15:00,00000000,49.97E+00,233.6E+00,233.5E+00,0.0E+00,225.1E+00,225.1E+00,-118.5E+00,240.2E+00,240.1E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,2.81E+00,2.78E+00,-144.1E+00,1.39E+00,1.36E+00,92.3E+00,0.00E+03,0.56E+03,0.29E+03,0.85E+03,0.00E+03,0.63E+03,0.33E+03,0.96E+03,0.00E+03,0.28E+03,0.17E+03,0.46E+03,0.000E+99,0.892E+00,0.856E+00,0.879E+00,0.130E+03,0.000E+03,0.068E+03,-0.000E+03,0.00000E+00,0.071E+03,0.000E+03,0.038E+03,0.000E+03,0.85E+03,0.00E+03,0.46E+03,0.00E+03,0.880E+00
2022-08-04 00:20:00,0000:20:00,00000000,49.99E+00,233.6E+00,233.6E+00,0.0E+00,225.3E+00,225.3E+00,-118.5E+00,240.5E+00,240.4E+00,121.3E+00,0.00E+00,0.00E+00,-2.3E+00,0.63E+00,0.63E+00,-145.6E+00,0.52E+00,0.51E+00,90.0E+00,0.00E+03,0.13E+03,0.10E+03,0.23E+03,0.00E+03,0.14E+03,0.12E+03,0.27E+03,0.00E+03,0.07E+03,0.07E+03,0.13E+03,0.000E+99,0.882E+00,0.837E+00,0.861E+00,0.149E+03,0.000E+03,0.079E+03,-0.000E+03,0.00000E+00,0.019E+03,0.000E+03,0.011E+03,0.000E+03,0.23E+03,0.00E+03,0.13E+03,0.00E+03,0.862E+00
2022-08-04 00:25:00,0000:25:00,00000000,50.00E+00,233.6E+00,233.5E+00,0.0E+00,225.1E+00,225.1E+00,-118.5E+00,240.5E+00,240.4E+00,121.3E+00,2.68E+00,2.66E+00,-41.9E+00,3.58E+00,3.56E+00,-144.3E+00,0.01E+00,0.01E+00,121.8E+00,0.46E+03,0.72E+03,0.00E+03,1.18E+03,0.63E+03,0.80E+03,0.00E+03,1.43E+03,0.42E+03,0.36E+03,0.00E+03,0.81E+03,0.738E+00,0.892E+00,-0.957E+00,0.825E+00,0.247E+03,0.000E+03,0.146E+03,-0.000E+03,0.00000E+00,0.098E+03,0.000E+03,0.067E+03,-0.000E+03,1.18E+03,0.00E+03,0.81E+03,-0.00E+03,0.826E+00
2022-08-04 00:30:00,0000:30:00,00000000,50.01E+00,233.4E+00,233.3E+00,0.0E+00,225.5E+00,225.5E+00,-118.5E+00,240.8E+00,240.8E+00,121.3E+00,4.87E+00,4.84E+00,-44.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.81E+03,0.00E+03,0.00E+03,0.81E+03,1.14E+03,0.00E+03,0.00E+03,1.14E+03,0.80E+03,0.00E+03,0.00E+03,0.80E+03,0.713E+00,0.000E+99,0.000E+99,0.713E+00,0.315E+03,0.000E+03,0.213E+03,-0.000E+03,0.00000E+00,0.068E+03,0.000E+03,0.066E+03,0.000E+03,0.81E+03,0.00E+03,0.80E+03,0.00E+03,0.713E+00
2022-08-04 00:35:00,0000:35:00,00000000,50.00E+00,233.9E+00,233.9E+00,0.0E+00,225.6E+00,225.5E+00,-118.4E+00,241.0E+00,241.0E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,3.52E+00,3.49E+00,-144.6E+00,1.10E+00,1.08E+00,89.2E+00,0.00E+03,0.70E+03,0.22E+03,0.92E+03,0.00E+03,0.79E+03,0.26E+03,1.06E+03,0.00E+03,0.36E+03,0.15E+03,0.51E+03,0.000E+99,0.888E+00,0.831E+00,0.874E+00,0.392E+03,0.000E+03,0.255E+03,-0.000E+03,0.00000E+00,0.077E+03,0.000E+03,0.042E+03,-0.000E+03,0.92E+03,0.00E+03,0.51E+03,-0.00E+03,0.875E+00
2022-08-04 00:40:00,0000:40:00,00000000,50.00E+00,233.8E+00,233.7E+00,0.0E+00,225.7E+00,225.6E+00,-118.4E+00,240.8E+00,240.8E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.98E+00,0.96E+00,90.6E+00,0.00E+03,0.00E+03,0.20E+03,0.20E+03,0.00E+03,0.00E+03,0.24E+03,0.24E+03,0.00E+03,0.00E+03,0.13E+03,0.13E+03,0.000E+99,0.000E+99,0.842E+00,0.842E+00,0.408E+03,0.000E+03,0.266E+03,-0.000E+03,0.00000E+00,0.017E+03,0.000E+03,0.011E+03,0.000E+03,0.20E+03,0.00E+03,0.13E+03,0.00E+03,0.843E+00
2022-08-04 00:45:00,0000:45:00,00000000,50.00E+00,233.9E+00,233.8E+00,0.0E+00,225.4E+00,225.3E+00,-118.5E+00,240.9E+00,240.8E+00,121.3E+00,0.00E+00,0.00E+00,-2.4E+00,3.50E+00,3.47E+00,-144.5E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.70E+03,0.00E+03,0.70E+03,0.00E+03,0.79E+03,0.00E+03,0.79E+03,0.00E+03,0.36E+03,0.00E+03,0.36E+03,0.000E+99,0.889E+00,0.000E+99,0.889E+00,0.467E+03,0.000E+03,0.295E+03,-0.000E+03,0.00000E+00,0.058E+03,0.000E+03,0.030E+03,-0.000E+03,0.70E+03,0.00E+03,0.36E+03,-0.00E+03,0.891E+00
