"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-09-06 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-09-06 00:00:00
2022-09-06 00:05:00,0000:05:00,00000000,49.98E+00,233.8E+00,233.8E+00,0.0E+00,225.9E+00,225.9E+00,-118.8E+00,239.9E+00,239.9E+00,121.0E+00,0.00E+00,0.00E+00,-2.3E+00,4.59E+00,4.58E+00,-121.3E+00,0.02E+00,0.02E+00,157.9E+00,0.00E+03,1.01E+03,0.00E+03,1.01E+03,0.00E+03,1.04E+03,0.00E+03,1.04E+03,0.00E+03,0.04E+03,-0.00E+03,0.04E+03,0.000E+99,0.974E+00,-0.682E+00,0.973E+00,0.084E+03,0.000E+03,0.008E+03,-0.005E+03,0.00000E+00,0.084E+03,0.000E+03,0.008E+03,-0.005E+03,1.01E+03,0.00E+03,0.10E+03,-0.06E+03,0.995E+00
2022-09-06 00:10:00,0000:10:00,00000000,49.99E+00,234.2E+00,234.1E+00,0.0E+00,225.7E+00,225.7E+00,-118.9E+00,240.3E+00,240.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,10.62E+00,10.62E+00,-115.3E+00,0.01E+00,0.01E+00,121.2E+00,0.00E+03,2.39E+03,0.00E+03,2.39E+03,0.00E+03,2.40E+03,0.00E+03,2.40E+03,0.00E+03,-0.16E+03,0.00E+03,-0.17E+03,0.000E+99,-0.998E+00,-0.963E+00,-0.998E+00,0.284E+03,0.000E+03,0.008E+03,-0.019E+03,0.00000E+00,0.199E+03,0.000E+03,0.000E+03,-0.014E+03,2.39E+03,0.00E+03,0.00E+03,-0.17E+03,1.000E+00
2022-09-06 00:15:00,0000:15:00,00000000,50.00E+00,234.3E+00,234.2E+00,0.0E+00,225.9E+00,225.9E+00,-119.0E+00,240.3E+00,240.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,10.59E+00,10.59E+00,-115.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,2.39E+03,0.00E+03,2.39E+03,0.00E+03,2.39E+03,0.00E+03,2.39E+03,0.00E+03,-0.16E+03,0.00E+03,-0.16E+03,0.000E+99,-0.998E+00,0.000E+99,-0.998E+00,0.483E+03,0.000E+03,0.008E+03,-0.033E+03,0.00000E+00,0.199E+03,0.000E+03,0.000E+03,-0.014E+03,2.39E+03,0.00E+03,0.00E+03,-0.16E+03,1.000E+00
2022-09-06 00:20:00,0000:20:00,00000000,50.00E+00,234.4E+00,234.4E+00,0.0E+00,226.3E+00,226.3E+00,-118.9E+00,240.5E+00,240.4E+00,120.9E+00,0.75E+00,0.75E+00,-40.5E+00,6.38E+00,6.35E+00,-139.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.13E+03,1.34E+03,0.00E+03,1.47E+03,0.18E+03,1.44E+03,0.00E+03,1.62E+03,0.12E+03,0.51E+03,0.00E+03,0.64E+03,0.750E+00,0.927E+00,0.000E+99,0.907E+00,0.605E+03,0.000E+03,0.062E+03,-0.033E+03,0.00000E+00,0.122E+03,0.000E+03,0.054E+03,-0.001E+03,1.47E+03,0.00E+03,0.65E+03,-0.01E+03,0.915E+00
2022-09-06 00:25:00,0000:25:00,00000000,50.00E+00,234.1E+00,234.1E+00,0.0E+00,225.8E+00,225.8E+00,-118.9E+00,240.3E+00,240.3E+00,120.9E+00,5.76E+00,5.73E+00,-43.7E+00,9.78E+00,9.73E+00,-143.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.97E+03,2.00E+03,0.00E+03,2.97E+03,1.35E+03,2.21E+03,0.00E+03,3.56E+03,0.94E+03,0.93E+03,0.00E+03,1.96E+03,0.718E+00,0.907E+00,0.000E+99,0.835E+00,0.853E+03,0.000E+03,0.225E+03,-0.033E+03,0.00000E+00,0.248E+03,0.000E+03,0.163E+03,0.000E+03,2.97E+03,0.00E+03,1.96E+03,0.00E+03,0.835E+00
2022-09-06 00:30:00,0000:30:00,00000000,49.99E+00,234.2E+00,234.2E+00,0.0E+00,226.2E+00,226.1E+00,-118.8E+00,240.3E+00,240.3E+00,121.0E+00,1.33E+00,1.32E+00,-45.6E+00,4.35E+00,4.32E+00,-144.4E+00,0.00E+00,0.00E+00,-2.4E+00,0.22E+03,0.88E+03,0.00E+03,1.09E+03,0.31E+03,0.98E+03,0.00E+03,1.29E+03,0.22E+03,0.44E+03,0.00E+03,0.68E+03,0.695E+00,0.894E+00,0.000E+99,0.846E+00,0.944E+03,0.000E+03,0.282E+03,-0.033E+03,0.00000E+00,0.091E+03,0.000E+03,0.057E+03,-0.000E+03,1.09E+03,0.00E+03,0.68E+03,-0.00E+03,0.849E+00
2022-09-06 00:35:00,0000:35:00,00000000,50.00E+00,234.3E+00,234.2E+00,0.0E+00,226.4E+00,226.3E+00,-118.7E+00,240.4E+00,240.4E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.82E+00,2.81E+00,-145.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.57E+03,0.00E+03,0.57E+03,0.00E+03,0.64E+03,0.00E+03,0.64E+03,0.00E+03,0.29E+03,0.00E+03,0.29E+03,0.000E+99,0.890E+00,0.000E+99,0.890E+00,0.991E+03,0.000E+03,0.306E+03,-0.033E+03,0.00000E+00,0.047E+03,0.000E+03,0.024E+03,0.000E+03,0.57E+03,0.00E+03,0.29E+03,0.00E+03,0.890E+00
2022-09-06 00:40:00,0000:40:00,00000000,50.00E+00,234.1E+00,234.0E+00,0.0E+00,226.4E+00,226.3E+00,-118.8E+00,240.6E+00,240.5E+00,121.1E+00,2.85E+00,2.83E+00,-42.1E+00,3.10E+00,3.08E+00,-145.2E+00,0.02E+00,0.02E+00,160.2E+00,0.49E+03,0.62E+03,0.00E+03,1.11E+03,0.67E+03,0.70E+03,0.01E+03,1.37E+03,0.45E+03,0.32E+03,-0.00E+03,0.78E+03,0.736E+00,0.887E+00,-0.643E+00,0.813E+00,1.084E+03,0.000E+03,0.371E+03,-0.033E+03,0.00000E+00,0.093E+03,0.000E+03,0.065E+03,-0.000E+03,1.11E+03,0.00E+03,0.78E+03,-0.00E+03,0.821E+00
2022-09-06 00:45:00,0000:45:00,00000000,50.00E+00,233.7E+00,233.7E+00,0.0E+00,226.0E+00,226.0E+00,-118.8E+00,240.3E+00,240.3E+00,121.1E+00,4.11E+00,4.09E+00,-45.4E+00,3.05E+00,3.03E+00,-145.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.67E+03,0.61E+03,0.00E+03,1.28E+03,0.96E+03,0.69E+03,0.00E+03,1.65E+03,0.69E+03,0.31E+03,0.00E+03,1.03E+03,0.698E+00,0.889E+00,0.000E+99,0.778E+00,1.191E+03,0.000E+03,0.456E+03,-0.033E+03,0.00000E+00,0.107E+03,0.000E+03,0.086E+03,0.000E+03,1.28E+03,0.00E+03,1.03E+03,0.00E+03,0.781E+00
2022-09-06 00:50:00,0000:50:00,00000000,50.01E+00,233.6E+00,233.6E+00,0.0E+00,225.8E+00,225.8E+00,-118.7E+00,239.8E+00,239.8E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,2.12E+00,2.10E+00,-144.5E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.43E+03,0.00E+03,0.43E+03,0.00E+03,0.48E+03,0.00E+03,0.48E+03,0.00E+03,0.21E+03,0.00E+03,0.21E+03,0.000E+99,0.893E+00,0.000E+99,0.893E+00,1.227E+03,0.000E+03,0.474E+03,-0.033E+03,0.00000E+00,0.036E+03,0.000E+03,0.018E+03,-0.000E+03,0.43E+03,0.00E+03,0.21E+03,-0.00E+03,0.894E+00
2022-09-06 00:55:00,0000:55:00,00000000,50.01E+00,233.6E+00,233.5E+00,0.0E+00,225.9E+00,225.9E+00,-118.7E+00,240.0E+00,239.9E+00,121.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.90E+00,0.89E+00,-145.7E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.18E+03,0.00E+03,0.18E+03,0.00E+03,0.20E+03,0.00E+03,0.20E+03,0.00E+03,0.09E+03,0.00E+03,0.09E+03,0.000E+99,0.885E+00,0.000E+99,0.885E+00,1.241E+03,0.000E+03,0.482E+03,-0.033E+03,0.00000E+00,0.015E+03,0.000E+03,0.008E+03,0.000E+03,0.18E+03,0.00E+03,0.09E+03,0.00E+03,0.886E+00
